week,pos,score,n,cells,spearman,topN,hit,bias,MAE,RMSE,pearson,dsp,dtopN,dMAE
2,TE,z,14,1,0.26402656240833466,,,,,,,"+0.240 [-0.120,+0.684]",,
2,TE,z_pp,14,1,0.396039843612502,,,,,,,"+0.372 [-0.165,+0.896]",,
both,skill,ours,237,8,0.27791619500409787,19.709999999999997,0.5416666666666667,0.2689664318836322,6.572065682583478,8.371624167178823,0.49047667859829513,,,
both,skill,ecr_only,237,8,0.37974363487155394,18.69,0.5,,,,,"+0.102 [+0.013,+0.209]",-1.019999999999996,
both,skill,ecr_pts_only,237,8,0.39132898476225964,18.210833333333333,0.5,0.7468660068317018,6.304734273806851,8.10645162305597,0.535307156646608,"+0.113 [+0.003,+0.234]",-1.4991666666666639,-0.2673314087766272
both,skill,rank,237,8,0.3432093841486235,19.082500000000003,0.5,,,,,"+0.065 [+0.009,+0.128]",-0.6274999999999942,
both,skill,rank_pp,237,8,0.3682828750708663,19.709999999999997,0.5416666666666667,,,,,"+0.090 [+0.018,+0.176]",0.0,
both,skill,pts,237,8,0.3851392738981563,18.69,0.5,0.6034961343472812,6.347569078467734,8.129593560451589,0.5343935656611726,"+0.107 [+0.022,+0.196]",-1.019999999999996,-0.22449660411574435
both,skill,pts_pp,237,8,0.3832954360440704,19.709999999999997,0.5416666666666667,0.3364324420197023,6.390876192090639,8.203534222243494,0.5205622104627953,"+0.105 [+0.026,+0.196]",0.0,-0.18118949049283906
both,skill,z,237,8,0.3547143725479801,19.082500000000003,0.5,,,,,"+0.077 [+0.014,+0.133]",-0.6274999999999942,
both,skill,z_pp,237,8,0.37185563330842886,19.709999999999997,0.5416666666666667,,,,,"+0.094 [+0.006,+0.186]",0.0,
both,QB,ours,49,2,0.2504363725001346,19.709999999999997,0.5416666666666667,-1.3017948740407355,7.136311442917731,8.571217017517837,0.2860516040270544,,,
both,QB,ecr_only,49,2,0.25986962408441644,18.69,0.5,,,,,"+0.009 [-0.139,+0.125]",-1.019999999999996,
both,QB,ecr_pts_only,49,2,0.2860454371227734,18.210833333333333,0.5,0.43830638411632533,6.783069127462749,8.181164067707465,0.3712266449638576,"+0.036 [-0.096,+0.180]",-1.4991666666666639,-0.35324231545498197
both,QB,rank,49,2,0.25990977329034815,19.082500000000003,0.5,,,,,"+0.009 [-0.083,+0.096]",-0.6274999999999942,
both,QB,rank_pp,49,2,0.2504363725001346,19.709999999999997,0.5416666666666667,,,,,"+0.000 [+0.000,+0.000]",0.0,
both,QB,pts,49,2,0.2738285797968528,18.69,0.5,-0.08372399333079301,6.85276362939345,8.211066076060348,0.3555746291454911,"+0.023 [-0.094,+0.139]",-1.019999999999996,-0.28354781352428127
both,QB,pts_pp,49,2,0.2504363725001346,19.709999999999997,0.5416666666666667,-1.3017948740407355,7.136311442917731,8.571217017517837,0.2860516040270544,"+0.000 [+0.000,+0.000]",0.0,0.0
both,QB,z,49,2,0.2565474138250767,19.082500000000003,0.5,,,,,"+0.006 [-0.092,+0.088]",-0.6274999999999942,
both,QB,z_pp,49,2,0.2504363725001346,19.709999999999997,0.5416666666666667,,,,,"+0.000 [+0.000,+0.000]",0.0,
both,RB,ours,67,2,0.47014001759390234,,,0.5993346346189643,6.3712541218596686,8.214194553987323,0.5037937741525433,,,
both,RB,ecr_only,67,2,0.5872722753683267,,,,,,,"+0.117 [+0.030,+0.230]",,
both,RB,ecr_pts_only,67,2,0.6094664528532492,,,0.4987883116993117,5.8417073730623565,7.641792999664806,0.6006237918320017,"+0.139 [+0.046,+0.243]",,-0.529546748797312
both,RB,rank,67,2,0.5443126791449384,,,,,,,"+0.074 [+0.008,+0.144]",,
both,RB,rank_pp,67,2,0.5695516340737437,,,,,,,"+0.099 [+0.010,+0.202]",,
both,RB,pts,67,2,0.5868726638062022,,,0.5289522085752074,5.966469551720651,7.766665852995901,0.5871727753200475,"+0.117 [+0.027,+0.208]",,-0.40478457013901714
both,RB,pts_pp,67,2,0.5868726638062022,,,0.5289522085752074,5.966469551720651,7.766665852995901,0.5871727753200475,"+0.117 [+0.027,+0.225]",,-0.40478457013901714
both,RB,z,67,2,0.5515766058416123,,,,,,,"+0.081 [+0.015,+0.157]",,
both,RB,z_pp,67,2,0.5679613601176348,,,,,,,"+0.098 [+0.020,+0.181]",,
both,WR,ours,92,2,0.42460441899488005,,,0.33897370594076787,6.711285314185431,8.73348663249194,0.5001490936388198,,,
both,WR,ecr_only,92,2,0.4347961357711891,,,,,,,"+0.010 [-0.106,+0.127]",,
both,WR,ecr_pts_only,92,2,0.4355863889335245,,,0.8472626299057302,6.76391563221905,8.74750343869454,0.4773153802601449,"+0.011 [-0.111,+0.126]",,0.052630318033619616
both,WR,rank,92,2,0.45104289410326165,,,,,,,"+0.026 [-0.028,+0.091]",,
both,WR,rank_pp,92,2,0.45104289410326165,,,,,,,"+0.026 [-0.028,+0.085]",,
both,WR,pts,92,2,0.4616550477304533,,,0.6947759527162412,6.706825362717509,8.701514492458925,0.4980354375368857,"+0.037 [-0.064,+0.126]",,-0.0044599514679219965
both,WR,pts_pp,92,2,0.4616550477304533,,,0.6947759527162412,6.706825362717509,8.701514492458925,0.4980354375368857,"+0.037 [-0.068,+0.135]",,-0.0044599514679219965
both,WR,z,92,2,0.4420475009452626,,,,,,,"+0.017 [-0.045,+0.071]",,
both,WR,z_pp,92,2,0.439698925318157,,,,,,,"+0.015 [-0.051,+0.075]",,
both,TE,ours,29,2,-0.03351602907252567,,,1.9376548868412296,5.6409665861951135,7.125060859529407,0.23364956404332554,,,
both,TE,ecr_only,29,2,0.23703650426228362,,,,,,,"+0.271 [-0.066,+0.674]",,
both,TE,ecr_pts_only,29,2,0.23421766013949158,,,1.522870757318357,5.109551844386832,6.803597603683547,0.3552704454074434,"+0.268 [-0.081,+0.669]",,-0.5314147418082813
both,TE,rank,29,2,0.1175721900559459,,,,,,,"+0.151 [-0.035,+0.388]",,
both,TE,rank_pp,29,2,0.20210059960632565,,,,,,,"+0.236 [-0.050,+0.544]",,
both,TE,pts,29,2,0.2182008042591166,,,1.647305996175219,5.234726221423425,6.828747974895406,0.3412150881528238,"+0.252 [-0.006,+0.531]",,-0.4062403647716888
both,TE,pts_pp,29,2,0.23421766013949158,,,1.522870757318357,5.109551844386832,6.803597603683547,0.3552704454074434,"+0.268 [-0.060,+0.643]",,-0.5314147418082813
both,TE,z,29,2,0.16868596957996893,,,,,,,"+0.202 [-0.027,+0.451]",,
both,TE,z_pp,29,2,0.22932587529778894,,,,,,,"+0.263 [-0.027,+0.607]",,
