arm,pop,train,test,pos,score,w,n,cells,spearman,topN,hit,bias,MAE,RMSE,pearson,dsp,dtn,dMAE,weeks
baseline,played,2021,2020,skill,ecr_pts_only,,3127,44,0.592663526629589,15.674027777777775,0.5571338383838383,-0.2791397540791324,4.961662386718233,6.787394770404684,0.6410979834655499,"-0.010 [-0.018,+0.001]","-0.053 [-0.316,+0.195]","+0.049 [-0.045,+0.139]",11.0
baseline,played,2021,2020,QB,ecr_pts_only,,337,11,0.5036924649792488,22.021818181818183,0.537878787878788,-1.134510251919467,7.00195637706948,8.65728854274284,0.5141615138446749,"-0.076 [-0.102,-0.045]","-0.480 [-0.996,+0.000]","+0.445 [+0.233,+0.637]",11.0
baseline,played,2021,2020,RB,ecr_pts_only,,860,11,0.6693797395898758,14.338636363636363,0.6174242424242424,0.25419500940359285,4.772571008321406,6.6326099836885515,0.6049793026625677,"+0.019 [+0.002,+0.034]","+0.208 [-0.146,+0.556]","+0.043 [-0.115,+0.214]",11.0
baseline,played,2021,2020,WR,ecr_pts_only,,1302,11,0.6212464925489158,14.725353535353532,0.5732323232323232,-0.4457858354851134,5.12694439987709,7.008550207976029,0.5864337100022375,"+0.011 [-0.002,+0.022]","-0.397 [-0.671,-0.111]","-0.060 [-0.154,+0.028]",11.0
baseline,played,2021,2020,TE,ecr_pts_only,,628,11,0.5763354094003156,11.610303030303031,0.5,-0.20499141145550748,3.7830673700622945,5.204812654687851,0.5546667025261431,"+0.007 [-0.011,+0.023]","+0.456 [+0.078,+0.860]","+0.071 [-0.025,+0.180]",11.0
baseline,played,2021,2020,skill,rank,0.5,3127,44,0.6096391094098584,15.861041666666665,0.5621843434343434,,,,,"+0.007 [+0.002,+0.013]","+0.134 [-0.045,+0.324]",,11.0
baseline,played,2021,2020,QB,rank,0.5,337,11,0.5626506103008858,22.62227272727273,0.5681818181818182,,,,,"-0.017 [-0.037,+0.002]","+0.120 [-0.178,+0.424]",,11.0
baseline,played,2021,2020,RB,rank,0.5,860,11,0.6751016634842741,14.518560606060607,0.6174242424242423,,,,,"+0.025 [+0.016,+0.032]","+0.388 [+0.094,+0.713]",,11.0
baseline,played,2021,2020,WR,rank,0.5,1302,11,0.6226624602174599,14.928636363636365,0.5858585858585859,,,,,"+0.012 [+0.006,+0.018]","-0.193 [-0.452,+0.057]",,11.0
baseline,played,2021,2020,TE,rank,0.5,628,11,0.5781417036368143,11.37469696969697,0.4772727272727273,,,,,"+0.009 [-0.003,+0.019]","+0.220 [+0.041,+0.433]",,11.0
baseline,played,2021,2020,skill,rank_pp,"{'QB': 0, 'RB': 0.7, 'WR': 0.5, 'TE': 0.7}",3127,44,0.6154091612341417,15.78840909090909,0.5565025252525252,,,,,"+0.013 [+0.008,+0.017]","+0.061 [-0.108,+0.212]",,11.0
baseline,played,2021,2020,QB,rank_pp,"{'QB': 0, 'RB': 0.7, 'WR': 0.5, 'TE': 0.7}",337,11,0.5793227640811648,22.501818181818184,0.5530303030303032,,,,,"+0.000 [+0.000,+0.000]","+0.000 [+0.000,+0.000]",,11.0
baseline,played,2021,2020,RB,rank_pp,"{'QB': 0, 'RB': 0.7, 'WR': 0.5, 'TE': 0.7}",860,11,0.6790297871652153,14.368181818181819,0.6174242424242423,,,,,"+0.029 [+0.016,+0.039]","+0.238 [-0.187,+0.615]",,11.0
baseline,played,2021,2020,WR,rank_pp,"{'QB': 0, 'RB': 0.7, 'WR': 0.5, 'TE': 0.7}",1302,11,0.6226624602174599,14.928636363636365,0.5858585858585859,,,,,"+0.012 [+0.006,+0.018]","-0.193 [-0.452,+0.057]",,11.0
baseline,played,2021,2020,TE,rank_pp,"{'QB': 0, 'RB': 0.7, 'WR': 0.5, 'TE': 0.7}",628,11,0.5806216334727266,11.355,0.4696969696969697,,,,,"+0.012 [-0.005,+0.025]","+0.201 [-0.135,+0.553]",,11.0
baseline,played,2021,2020,skill,pts,1.0,3127,44,0.592663526629589,15.674027777777775,0.5571338383838383,-0.2791397540791324,4.961662386718233,6.787394770404684,0.6410979834655499,"-0.010 [-0.018,+0.001]","-0.053 [-0.316,+0.195]","+0.049 [-0.045,+0.139]",11.0
baseline,played,2021,2020,QB,pts,1.0,337,11,0.5036924649792488,22.021818181818183,0.537878787878788,-1.134510251919467,7.00195637706948,8.65728854274284,0.5141615138446749,"-0.076 [-0.102,-0.045]","-0.480 [-0.996,+0.000]","+0.445 [+0.233,+0.637]",11.0
baseline,played,2021,2020,RB,pts,1.0,860,11,0.6693797395898758,14.338636363636363,0.6174242424242424,0.25419500940359285,4.772571008321406,6.6326099836885515,0.6049793026625677,"+0.019 [+0.002,+0.034]","+0.208 [-0.146,+0.556]","+0.043 [-0.115,+0.214]",11.0
baseline,played,2021,2020,WR,pts,1.0,1302,11,0.6212464925489158,14.725353535353532,0.5732323232323232,-0.4457858354851134,5.12694439987709,7.008550207976029,0.5864337100022375,"+0.011 [-0.002,+0.022]","-0.397 [-0.671,-0.111]","-0.060 [-0.154,+0.028]",11.0
baseline,played,2021,2020,TE,pts,1.0,628,11,0.5763354094003156,11.610303030303031,0.5,-0.20499141145550748,3.7830673700622945,5.204812654687851,0.5546667025261431,"+0.007 [-0.011,+0.023]","+0.456 [+0.078,+0.860]","+0.071 [-0.025,+0.180]",11.0
baseline,played,2021,2020,skill,pts_pp,"{'QB': 1.0, 'RB': 0.7, 'WR': 1.0, 'TE': 1.0}",3127,44,0.5935187664179652,15.691641414141412,0.5561868686868686,-0.31162697595927674,4.94189603825875,6.771917522839916,0.643355132754818,"-0.009 [-0.017,+0.001]","-0.035 [-0.264,+0.195]","+0.029 [-0.054,+0.109]",11.0
baseline,played,2021,2020,QB,pts_pp,"{'QB': 1.0, 'RB': 0.7, 'WR': 1.0, 'TE': 1.0}",337,11,0.5036924649792488,22.021818181818183,0.537878787878788,-1.134510251919467,7.00195637706948,8.65728854274284,0.5141615138446749,"-0.076 [-0.102,-0.045]","-0.480 [-0.996,+0.000]","+0.445 [+0.233,+0.637]",11.0
baseline,played,2021,2020,RB,pts_pp,"{'QB': 1.0, 'RB': 0.7, 'WR': 1.0, 'TE': 1.0}",860,11,0.6728006987433808,14.409090909090908,0.6136363636363635,0.13606995961381188,4.7006996459576795,6.574834708595188,0.6110366327730216,"+0.022 [+0.010,+0.033]","+0.279 [+0.026,+0.565]","-0.029 [-0.150,+0.097]",11.0
baseline,played,2021,2020,WR,pts_pp,"{'QB': 1.0, 'RB': 0.7, 'WR': 1.0, 'TE': 1.0}",1302,11,0.6212464925489158,14.725353535353532,0.5732323232323232,-0.4457858354851134,5.12694439987709,7.008550207976029,0.5864337100022375,"+0.011 [-0.002,+0.022]","-0.397 [-0.671,-0.111]","-0.060 [-0.154,+0.028]",11.0
baseline,played,2021,2020,TE,pts_pp,"{'QB': 1.0, 'RB': 0.7, 'WR': 1.0, 'TE': 1.0}",628,11,0.5763354094003156,11.610303030303031,0.5,-0.20499141145550748,3.7830673700622945,5.204812654687851,0.5546667025261431,"+0.007 [-0.011,+0.023]","+0.456 [+0.078,+0.860]","+0.071 [-0.025,+0.180]",11.0
baseline,played,2021,2020,skill,z,0.5,3127,44,0.6073489230383551,15.794128787878787,0.5552398989898991,,,,,"+0.005 [-0.001,+0.012]","+0.067 [-0.125,+0.258]",,11.0
baseline,played,2021,2020,QB,z,0.5,337,11,0.5522266728456847,22.541363636363634,0.5530303030303031,,,,,"-0.027 [-0.050,-0.004]","+0.040 [-0.376,+0.484]",,11.0
baseline,played,2021,2020,RB,z,0.5,860,11,0.6745002702297267,14.487878787878788,0.6174242424242424,,,,,"+0.024 [+0.013,+0.035]","+0.358 [+0.039,+0.694]",,11.0
baseline,played,2021,2020,WR,z,0.5,1302,11,0.6230762400360381,14.925606060606059,0.5883838383838383,,,,,"+0.013 [+0.005,+0.019]","-0.196 [-0.426,+0.034]",,11.0
baseline,played,2021,2020,TE,z,0.5,628,11,0.5795925090419712,11.221666666666666,0.46212121212121215,,,,,"+0.011 [-0.003,+0.022]","+0.067 [-0.124,+0.275]",,11.0
baseline,played,2021,2020,skill,z_pp,"{'QB': 0, 'RB': 0.5, 'WR': 0.4, 'TE': 0.7}",3127,44,0.6141528683080749,15.886300505050501,0.5621843434343435,,,,,"+0.012 [+0.007,+0.016]","+0.159 [+0.022,+0.305]",,11.0
baseline,played,2021,2020,QB,z_pp,"{'QB': 0, 'RB': 0.5, 'WR': 0.4, 'TE': 0.7}",337,11,0.5793227640811648,22.501818181818184,0.5530303030303032,,,,,"+0.000 [+0.000,+0.000]","+0.000 [+0.000,+0.000]",,11.0
baseline,played,2021,2020,RB,z_pp,"{'QB': 0, 'RB': 0.5, 'WR': 0.4, 'TE': 0.7}",860,11,0.6745002702297267,14.487878787878788,0.6174242424242424,,,,,"+0.024 [+0.013,+0.035]","+0.358 [+0.039,+0.694]",,11.0
baseline,played,2021,2020,WR,z_pp,"{'QB': 0, 'RB': 0.5, 'WR': 0.4, 'TE': 0.7}",1302,11,0.6215951905025713,15.032323232323233,0.5934343434343433,,,,,"+0.011 [+0.005,+0.017]","-0.090 [-0.273,+0.101]",,11.0
baseline,played,2021,2020,TE,z_pp,"{'QB': 0, 'RB': 0.5, 'WR': 0.4, 'TE': 0.7}",628,11,0.5811932484188369,11.523181818181818,0.4848484848484849,,,,,"+0.012 [-0.004,+0.026]","+0.369 [+0.008,+0.769]",,11.0
baseline,all,2020,2021,skill,ours,,5146,64,0.6289262405781131,15.611371527777777,0.5833333333333333,0.37164362133093676,4.590402400959905,6.250673895576097,0.6806722862029543,,,,
baseline,all,2020,2021,QB,ours,,474,16,0.49743695520290077,21.414479166666666,0.6145833333333333,0.12270264467541939,6.355301970844838,8.007436778442868,0.5251817514704006,,,,
baseline,all,2020,2021,RB,ours,,1417,16,0.6983146391953539,15.100937499999999,0.6197916666666667,0.24600298274246432,4.7358549227504145,6.456193991866476,0.6547074416662085,,,,
baseline,all,2020,2021,WR,ours,,2074,16,0.6708918497680181,14.220173611111111,0.5885416666666667,0.4287159833375124,4.756117862772595,6.40297977725714,0.6231394329471297,,,,
baseline,all,2020,2021,TE,ours,,1181,16,0.6490615181461794,11.709895833333334,0.5104166666666667,0.5220777695214049,3.4165137580283784,4.743404625656402,0.6231629472533828,,,,
baseline,all,2020,2021,skill,ecr_only,,5146,64,0.6423019184507488,15.679010416666667,0.595703125,,,,,"+0.013 [+0.003,+0.023]","+0.068 [-0.073,+0.207]",,16.0
baseline,all,2020,2021,QB,ecr_only,,474,16,0.4769294927166964,21.163333333333334,0.6145833333333333,,,,,"-0.021 [-0.042,+0.001]","-0.251 [-0.520,+0.011]",,16.0
baseline,all,2020,2021,RB,ecr_only,,1417,16,0.7280810105646628,15.6728125,0.6588541666666666,,,,,"+0.030 [+0.010,+0.048]","+0.572 [+0.228,+0.878]",,16.0
baseline,all,2020,2021,WR,ecr_only,,2074,16,0.6825073483708359,14.103854166666668,0.5885416666666667,,,,,"+0.012 [+0.001,+0.021]","-0.116 [-0.258,+0.001]",,16.0
baseline,all,2020,2021,TE,ecr_only,,1181,16,0.6816898221508005,11.776041666666668,0.5208333333333334,,,,,"+0.033 [+0.019,+0.045]","+0.066 [-0.440,+0.518]",,16.0
baseline,all,2020,2021,skill,ecr_pts_only,,5146,64,0.6412325891769277,15.730716145833334,0.5980902777777778,0.1724072720519576,4.44693887201631,6.310940156505191,0.675109883370057,"+0.012 [-0.001,+0.023]","+0.119 [-0.013,+0.244]","-0.143 [-0.231,-0.054]",16.0
baseline,all,2020,2021,QB,ecr_pts_only,,474,16,0.47711948875482196,21.368333333333332,0.625,1.0345774479734327,6.617932341249132,8.239972165409526,0.5009290939718661,"-0.020 [-0.046,+0.003]","-0.046 [-0.321,+0.206]","+0.263 [-0.072,+0.606]",16.0
baseline,all,2020,2021,RB,ecr_pts_only,,1417,16,0.7258411234246123,15.498072916666668,0.65625,-0.3373494779883765,4.405483073046429,6.412497914412083,0.6608567369942205,"+0.028 [+0.006,+0.047]","+0.397 [+0.129,+0.677]","-0.330 [-0.451,-0.186]",16.0
baseline,all,2020,2021,WR,ecr_pts_only,,2074,16,0.6803503955243395,14.129375,0.5850694444444444,0.38416167135370394,4.6997237804116745,6.4544123112297385,0.6196310725381502,"+0.009 [-0.001,+0.019]","-0.091 [-0.203,+0.020]","-0.056 [-0.152,+0.041]",16.0
baseline,all,2020,2021,TE,ecr_pts_only,,1181,16,0.6816193490039375,11.927083333333334,0.5260416666666667,0.0661227904842628,3.1814147930256063,4.878070283670872,0.5945773777039913,"+0.033 [+0.019,+0.047]","+0.217 [-0.125,+0.569]","-0.235 [-0.325,-0.139]",16.0
baseline,all,2020,2021,skill,rank,0.5,5146,64,0.6445219238496871,15.66921875,0.5859375,,,,,"+0.016 [+0.010,+0.020]","+0.058 [-0.025,+0.130]",,16.0
baseline,all,2020,2021,QB,rank,0.5,474,16,0.4933694728967559,21.381979166666667,0.609375,,,,,"-0.004 [-0.015,+0.006]","-0.032 [-0.232,+0.150]",,16.0
baseline,all,2020,2021,RB,rank,0.5,1417,16,0.7261494973888678,15.491041666666668,0.6458333333333334,,,,,"+0.028 [+0.017,+0.038]","+0.390 [+0.078,+0.674]",,16.0
baseline,all,2020,2021,WR,rank,0.5,2074,16,0.6841833639611419,14.179374999999999,0.5885416666666667,,,,,"+0.013 [+0.009,+0.017]","-0.041 [-0.129,+0.048]",,16.0
baseline,all,2020,2021,TE,rank,0.5,1181,16,0.674385361151983,11.624479166666667,0.5,,,,,"+0.025 [+0.019,+0.031]","-0.085 [-0.241,+0.032]",,16.0
baseline,all,2020,2021,skill,rank_pp,"{'QB': 0, 'RB': 0.7, 'WR': 0.7, 'TE': 0.7}",5146,64,0.6478913760580409,15.760199652777777,0.5959201388888888,,,,,"+0.019 [+0.013,+0.025]","+0.149 [+0.052,+0.249]",,16.0
baseline,all,2020,2021,QB,rank_pp,"{'QB': 0, 'RB': 0.7, 'WR': 0.7, 'TE': 0.7}",474,16,0.49743695520290077,21.414479166666666,0.6145833333333333,,,,,"+0.000 [+0.000,+0.000]","+0.000 [+0.000,+0.000]",,16.0
baseline,all,2020,2021,RB,rank_pp,"{'QB': 0, 'RB': 0.7, 'WR': 0.7, 'TE': 0.7}",1417,16,0.7305482282716104,15.611875,0.65625,,,,,"+0.032 [+0.017,+0.047]","+0.511 [+0.165,+0.834]",,16.0
