slate,rank,pts,pct,cash,stack,bb,split,dst_own,dst_opp_total,dst_sal,own_sum,n_low,n_chalk,sal,flex_pos,entry,mine,stack_bin,bb_bin,dst_tier,dst_opp_tier,own_q,sal_bin
wk1_main,96,213.83998,0.9939987365761213,True,1,1,2-4,18.06,15.69,3400,161.06,1,3,50000,RB,danooc111,False,1,1,12-25%,low O/U,Q4 chalk,>49.9k
wk1_main,97,213.80002,0.9939355653821857,True,2,2,3-3,18.06,15.69,3400,126.5,1,2,50000,RB,IndyNico,False,2,2,12-25%,low O/U,Q3,>49.9k
wk1_main,98,213.7,0.9938723941882501,True,1,1,2-4,1.0,23.39,2700,98.14,3,1,49700,WR,bettntibetn,False,1,1,<5%,high O/U,Q2,49.6-49.9k
wk1_main,98,213.69998,0.9938723941882501,True,3,1,4-2,5.82,18.69,2900,105.02,1,1,49800,RB,seminolefs,False,3,1,5-12%,low O/U,Q2,49.6-49.9k
wk1_main,100,213.64,0.993746051800379,True,1,0,2-4,0.91,24.94,2500,97.81,4,2,50000,WR,Smithwickk2,False,1,0,<5%,high O/U,Q2,>49.9k
wk1_main,101,213.59999,0.9936828806064435,True,2,2,3-3,18.06,15.69,3400,173.6,0,3,49900,TE,DDEMERIT3,False,2,2,12-25%,low O/U,Q4 chalk,49.6-49.9k
wk1_main,102,213.46,0.9936197094125079,True,0,0,1-5,18.06,15.69,3400,87.91,1,0,50000,WR,MarkyJr2,False,0,0,12-25%,low O/U,Q2,>49.9k
wk1_main,103,213.36,0.9935565382185724,True,0,0,2-4,7.73,24.42,2100,122.28999999999999,1,2,50000,RB,nelskyl11,False,0,0,5-12%,high O/U,Q3,>49.9k
wk1_main,104,213.33998,0.9934933670246368,True,0,0,1-5,0.91,24.94,2500,109.89,3,2,50000,RB,gkmills1,False,0,0,<5%,high O/U,Q3,>49.9k
wk1_main,105,213.32,0.9934301958307012,True,1,0,2-4,3.75,22.22,2800,98.78999999999999,2,1,50000,RB,pseifert8184,False,1,0,<5%,high O/U,Q2,>49.9k
wk1_main,106,213.3,0.9933670246367656,True,1,1,2-4,18.06,15.69,3400,112.97,1,1,50000,WR,goherd2304,False,1,1,12-25%,low O/U,Q3,>49.9k
wk1_main,107,213.16,0.9933038534428301,True,2,0,3-3,18.06,15.69,3400,114.8,1,1,49900,RB,SidDavis97,False,2,0,12-25%,low O/U,Q3,49.6-49.9k
wk1_main,108,213.13998,0.9932406822488945,True,2,2,3-3,15.21,20.06,2500,154.05,1,3,50000,RB,g0hoos,False,2,2,12-25%,mid,Q4 chalk,>49.9k
wk1_main,108,213.13998,0.9932406822488945,True,2,1,3-3,11.05,17.17,3300,111.31,2,1,49900,RB,ktwowey,False,2,1,5-12%,low O/U,Q3,49.6-49.9k
wk1_main,110,213.09999,0.9931143398610234,True,2,2,3-3,18.06,15.69,3400,167.29999999999998,0,3,50000,WR,willy1225,False,2,2,12-25%,low O/U,Q4 chalk,>49.9k
wk1_main,111,212.76,0.9930511686670878,True,1,1,2-4,5.82,18.69,2900,84.33,1,1,50000,RB,Grunedawg,False,1,1,5-12%,low O/U,Q1 low,>49.9k
wk1_main,112,212.64,0.9929879974731523,True,2,2,3-3,4.86,18.97,3500,123.08,2,2,49600,TE,rickybobbyns,False,2,2,<5%,mid,Q3,49-49.6k
wk1_main,113,212.6,0.9929248262792166,True,1,2,2-4,11.05,17.17,3300,143.64,2,3,50000,TE,pac10joe,False,1,2,5-12%,low O/U,Q4 chalk,>49.9k
wk1_main,114,212.54,0.9928616550852811,True,1,1,2-4,15.21,20.06,2500,143.68,1,3,49900,RB,tselles,False,1,1,12-25%,mid,Q4 chalk,49.6-49.9k
wk1_main,114,212.54,0.9928616550852811,True,2,3,3-3,1.37,25.56,2400,130.72,1,2,49900,RB,tbird8642,False,2,2,<5%,high O/U,Q3,49.6-49.9k
wk1_main,116,212.48,0.99273531269741,True,2,1,3-3,18.06,15.69,3400,107.00999999999999,3,1,50000,WR,GreenBayKev,False,2,1,12-25%,low O/U,Q2,>49.9k
wk1_main,117,212.36,0.9926721415034744,True,0,1,3-3,15.21,20.06,2500,115.44,1,1,49900,TE,ztkerwin,False,0,1,12-25%,mid,Q3,49.6-49.9k
wk1_main,117,212.36,0.9926721415034744,True,0,1,3-3,15.21,20.06,2500,115.44,1,1,49900,TE,bjscrj,False,0,1,12-25%,mid,Q3,49.6-49.9k
