player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,estimated_ownership_pct_heuristic,roster_role,slate_format,ownership_available
00-0039814,Erick All Jr.,TE,CIN,2500,44221296,3.3609,3.3609,1.0,1.0345766709249928,3.477149752237156,PIT,23.03,42.5,1.0,0.5,4.546,statline_mc+recal_10_4b,1.5453998898831804,6.709675449638127,0.0,0.0,0.0,0.0,0.0,0.0,1.12175,0.7535,8.034998623539751,0.06175,1.9317498623539755,1.5453998898831804,1.3,,39.492849001302645,0.19436156422707102,0.29881670897784124,,classic,True
00-0040894,Malik Benson,WR,LV,3000,44220838,3.7683,3.7683,1.0,0.9159799531116197,3.4517314740191227,NO,20.39,43.89,2.0,1.0,5.1341,statline_mc+recal_10_4b,1.1744605419304812,7.057506459026513,0.0,0.0,0.0,0.25875,1.536768779704817,0.011,1.36375,0.816,9.0859405411816,0.051,2.2772709320886415,1.1744605419304812,0.4,,49.83378044128324,0.2595667332919498,0.8861434870238677,,classic,True
00-0041100,Josh Cameron,WR,JAX,3000,44221004,3.1777,3.1777,1.0,1.0857888899807675,3.4503162970762182,NE,24.17,45.39,2.0,1.0,5.1464,statline_mc+recal_10_4b,1.2810651003126954,7.378937183025716,0.0,0.0,0.0,0.01925,0.09929285851755068,0.00025,1.1225,0.71225,9.895719109117671,0.0715,2.169251196763523,1.2810651003126954,5.0,,60.20126010607533,0.4165073914335462,1.6306445281988036,,classic,True
00-0040556,Corey Kiner,RB,NE,4000,44220550,3.6123,3.6123,1.0,0.9532660424241574,3.443507550891123,JAX,21.22,45.39,2.0,1.0,5.0075,statline_mc+recal_10_4b,1.3760538563919813,7.637565076766899,0.0,0.0,0.0,3.06,10.980191669856508,0.086,0.35725,0.27075,2.022882280466125,0.00875,2.136557395032263,1.3069501558588597,0.6,,51.64968114905537,0.22953281879709964,0.48747514452145535,,classic,True
00-0040198,Ollie Gordon II,RB,MIA,4000,44220558,4.4048,4.4048,1.0,0.7798632656212711,3.43510484870671,KC,17.36,46.11,1.0,0.5,4.7841,statline_mc+recal_10_4b,1.4409656072291597,6.426619552098651,0.0,0.0,0.0,2.01375,6.5558251623941075,0.04625,0.7955,0.60025,3.836417217831469,0.019,2.0227242380225574,1.4123806106841528,0.4,,30.844789245485433,0.19152582929980905,0.07354411969767712,,classic,True
00-0035631,Drew Sample,TE,CIN,2600,44221174,3.3198,3.3198,1.0,1.0345766709249928,3.4345523149388297,PIT,23.03,42.5,1.0,0.5,4.8906,statline_mc+recal_10_4b,0.7321731171919472,7.963717457733296,0.0,0.0,0.0,0.0,0.0,0.0,1.50275,1.03975,11.378791977468824,0.08525,2.7023791977468825,0.7321731171919472,2.5,,41.58213471558837,0.2200029377841244,0.3378930859314409,,classic,True
00-0037805,Jeremy Ruckert,TE,NYJ,2500,44221304,3.7296,3.7296,1.0,0.9195737930453582,3.4296578194224177,DET,20.47,47.5,2.0,1.0,4.7038,statline_mc+recal_10_4b,0.9322272889420864,7.6439321662423,0.0,0.0,0.0,0.0,0.0,0.0,1.521,1.05525,9.60930530480331,0.07925,2.4974305304803313,0.9322272889420864,2.0,,58.32410623823998,0.26394501636211093,0.9046529467587572,,classic,True
00-0038046,Charlie Kolar,TE,LAC,2500,44221192,3.5219,3.5219,1.0,0.9658444821922425,3.4015697149564734,BUF,21.5,50.28,2.0,1.0,4.9828,statline_mc+recal_10_4b,0.3428840833103881,8.24064207502369,0.0,0.0,0.0,0.0,0.0,0.0,1.7885,1.227,12.474356316460854,0.095,3.0586856316460853,0.3428840833103881,2.6,,63.314517296280215,0.2965902019219087,1.213307011072087,,classic,True
00-0035021,Ashton Dulin,WR,IND,3200,44220782,3.8083,3.8083,1.0,0.8921707635506017,3.3976495292788687,HOU,19.86,42.56,1.0,0.5,4.7993,statline_mc+recal_10_4b,1.510066457457275,6.449793281756328,0.0,0.0,0.0,0.04725,0.3392289801391689,0.0015,1.15725,0.6835,8.266601738076766,0.05425,1.8875830718215936,1.510066457457275,0.0,,30.602147887107293,0.19702065199157826,0.28588978903927387,,classic,True
00-0040187,Mitchell Evans,TE,CAR,2500,44221278,3.3818,3.3818,1.0,1.0044782614799321,3.396991833396447,CLE,22.36,41.94,2.0,1.0,4.6798,statline_mc+recal_10_4b,1.1324203290900114,7.323751085964835,0.0,0.0,0.0,0.0,0.0,0.0,1.31075,0.87225,9.850715043064355,0.0665,2.2645715043064354,1.1324203290900114,2.1,,54.14459400781589,0.2520850435419012,0.7074717683248036,,classic,True
