site,season,week,slate_id,slate_type,player_id,player_name,position,roster_role,slate_format,final_projection,actual_fpts,error,abs_error,source,logged_at
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0036389,Jalen Hurts,QB,,classic,17.892576087855044,24.72,6.827423912144955,6.827423912144955,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0037240,Jameson Williams,WR,,classic,12.436904375945945,8.5,-3.936904375945945,3.936904375945945,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0040129,Emeka Egbuka,WR,,classic,5.572947888086026,11.3,5.727052111913975,5.727052111913975,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0034796,Lamar Jackson,QB,,classic,13.531908444154473,28.96,15.428091555845528,15.428091555845528,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,DST_LV,Raiders,DST,,classic,8.722147292999999,13.0,4.277852707000001,4.277852707000001,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0032764,Derrick Henry,RB,,classic,14.617645095604482,38.3,23.68235490439552,23.68235490439552,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0039811,MarShawn Lloyd,RB,,classic,3.378244192809745,3.7,0.3217558071902551,0.3217558071902551,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0035685,David Montgomery,RB,,classic,8.131658179335892,28.9,20.768341820664105,20.768341820664105,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0038128,Malik Willis,QB,,classic,7.439285758599666,17.7,10.260714241400333,10.260714241400333,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0039065,Sam LaPorta,TE,,classic,9.91908542682592,9.8,-0.1190854268259187,0.1190854268259187,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,DST_PHI,Eagles,DST,,classic,8.030586618,3.0,-5.030586617999999,5.030586617999999,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,DST_LAC,Chargers,DST,,classic,8.619927259500002,1.0,-7.619927259500002,7.619927259500002,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0039918,Caleb Williams,QB,,classic,12.746820036667769,37.26,24.513179963332227,24.513179963332227,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,DST_HOU,Texans,DST,,classic,6.4563653655,-2.0,-8.4563653655,8.4563653655,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0036971,Trevor Lawrence,QB,,classic,12.131618012627746,26.1,13.968381987372256,13.968381987372256,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0038120,Breece Hall,RB,,classic,8.758533644933046,22.8,14.041466355066955,14.041466355066955,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,DST_TEN,Titans,DST,,classic,9.6909051285,0.0,-9.6909051285,9.6909051285,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0034753,Mark Andrews,TE,,classic,7.308299002752692,8.9,1.5917009972473082,1.5917009972473082,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0038117,Wan'Dale Robinson,WR,,classic,8.415651682678634,8.8,0.3843483173213666,0.3843483173213666,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
dk,2026,1,dk_classic_wk1_main_13Sep2026,regular_season,00-0035261,Tony Pollard,RB,,classic,11.27486039931067,4.4,-6.87486039931067,6.87486039931067,"DK contest results export (dk_classic_wk1_main_final_results_13Sep2026.csv), 2026-09-14",2026-09-14T12:15:00+00:00
