Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
WR,Jimmy Horn Jr. (43670708),Jimmy Horn Jr.,43670708,WR/FLEX,3000,CAR@NYJ 07/31/2026 02:00PM ET,CAR,0.2,,Jimmy Horn Jr.,dk,3000,jimmy horn,CAR,WR,00-0040218,auto_exact,high
TE,Cole Kmet (43670720),Cole Kmet,43670720,TE/FLEX,3000,CHI@BAL 07/31/2026 12:00PM ET,CHI,9.4,,Cole Kmet,dk,3000,cole kmet,CHI,TE,00-0036290,auto_exact,high
DST,Cardinals (43670750),Cardinals,43670750,DST,2900,HOU@ARI 07/31/2026 04:00PM ET,ARI,2.5,,Cardinals,dk,2900,cardinals,ARI,DST,DST_ARI,team_defense,high
DST,Bears (43670751),Bears,43670751,DST,2800,CHI@BAL 07/31/2026 12:00PM ET,CHI,2.3,,Bears,dk,2800,bears,CHI,DST,DST_CHI,team_defense,high
TE,Isaiah Likely (43670722),Isaiah Likely,43670722,TE/FLEX,2700,CHI@BAL 07/31/2026 12:00PM ET,BAL,3.9,,Isaiah Likely,dk,2700,isaiah likely,BAL,TE,00-0037838,auto_exact,high
TE,Colston Loveland (43670724),Colston Loveland,43670724,TE/FLEX,2600,CHI@BAL 07/31/2026 12:00PM ET,CHI,3.8,,Colston Loveland,dk,2600,colston loveland,CHI,TE,00-0040126,auto_exact,high
TE,Cade Stover (43670726),Cade Stover,43670726,TE/FLEX,2500,HOU@ARI 07/31/2026 04:00PM ET,HOU,2.1,,Cade Stover,dk,2500,cade stover,HOU,TE,00-0039359,auto_exact,high
TE,Tip Reiman (43670728),Tip Reiman,43670728,TE/FLEX,2500,HOU@ARI 07/31/2026 04:00PM ET,ARI,2.6,,Tip Reiman,dk,2500,tip reiman,ARI,TE,00-0039737,auto_exact,high
TE,Tommy Tremble (43670730),Tommy Tremble,43670730,TE/FLEX,2500,CAR@NYJ 07/31/2026 02:00PM ET,CAR,2.2,,Tommy Tremble,dk,2500,tommy tremble,CAR,TE,00-0037005,auto_exact,high
TE,Jeremy Ruckert (43670732),Jeremy Ruckert,43670732,TE/FLEX,2500,CAR@NYJ 07/31/2026 02:00PM ET,NYJ,1.3,,Jeremy Ruckert,dk,2500,jeremy ruckert,NYJ,TE,00-0037805,auto_exact,high
TE,Durham Smythe (43670734),Durham Smythe,43670734,TE/FLEX,2500,CHI@BAL 07/31/2026 12:00PM ET,CHI,0.4,,Durham Smythe,dk,2500,durham smythe,CHI,TE,00-0034798,auto_exact,high
TE,Harrison Bryant (43670736),Harrison Bryant,43670736,TE/FLEX,2500,HOU@ARI 07/31/2026 04:00PM ET,HOU,0.3,,Harrison Bryant,dk,2500,harrison bryant,HOU,TE,00-0036232,auto_exact,high
TE,Charlie Kolar (43670738),Charlie Kolar,43670738,TE/FLEX,2500,CHI@BAL 07/31/2026 12:00PM ET,BAL,0.5,,Charlie Kolar,dk,2500,charlie kolar,BAL,TE,00-0038046,auto_exact,high
TE,Elijah Higgins (43670740),Elijah Higgins,43670740,TE/FLEX,2500,HOU@ARI 07/31/2026 04:00PM ET,ARI,0.2,,Elijah Higgins,dk,2500,elijah higgins,ARI,TE,00-0039041,auto_exact,high
TE,James Mitchell (43670742),James Mitchell,43670742,TE/FLEX,2500,CAR@NYJ 07/31/2026 02:00PM ET,CAR,0.1,,James Mitchell,dk,2500,james mitchell,CAR,TE,00-0037282,auto_exact,high
TE,Stone Smartt (43670744),Stone Smartt,43670744,TE/FLEX,2500,CAR@NYJ 07/31/2026 02:00PM ET,NYJ,0.0,,Stone Smartt,dk,2500,stone smartt,NYJ,TE,00-0037475,auto_exact,high
