Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,roster_role,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
WR,Antwane Wells Jr. (44225907),Antwane Wells Jr.,44225907,FLEX,200,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,,FLEX,Antwane Wells Jr.,dk,200,antwane wells,ATL,WR,showdown,00-0040438,auto_exact,high
WR,Dylan Drummond (44225908),Dylan Drummond,44225908,FLEX,200,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,,FLEX,Dylan Drummond,dk,200,dylan drummond,ATL,WR,showdown,00-0038953,auto_exact,high
WR,Vinny Anthony II (44225909),Vinny Anthony II,44225909,FLEX,200,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,,FLEX,Vinny Anthony II,dk,200,vinny anthony,ATL,WR,showdown,00-0041185,auto_exact,high
WR,Isaiah Neyor (44225910),Isaiah Neyor,44225910,FLEX,200,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,FLEX,Isaiah Neyor,dk,200,isaiah neyor,GB,WR,showdown,00-0040558,auto_exact,high
TE,Josh Whyle (44225911),Josh Whyle,44225911,FLEX,200,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,FLEX,Josh Whyle,dk,200,josh whyle,GB,TE,showdown,00-0038589,auto_exact,high
TE,Mark Redman (44225912),Mark Redman,44225912,FLEX,200,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,FLEX,Mark Redman,dk,200,mark redman,GB,TE,showdown,00-0040598,auto_exact,high
TE,Jack Velling (44225913),Jack Velling,44225913,FLEX,200,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,,FLEX,Jack Velling,dk,200,jack velling,ATL,TE,showdown,00-0041195,auto_exact,high
TE,Thomas Yassmin (44225914),Thomas Yassmin,44225914,FLEX,200,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,IR,FLEX,Thomas Yassmin,dk,200,thomas yassmin,GB,TE,showdown,00-0039936,auto_exact,high
TE,Drake Dabney (44225915),Drake Dabney,44225915,FLEX,200,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,,FLEX,Drake Dabney,dk,200,drake dabney,GB,TE,showdown,00-0040628,auto_exact,high
TE,Nick Muse (44225916),Nick Muse,44225916,FLEX,200,ATL@GB 09/24/2026 08:15PM ET,ATL,0.0,,FLEX,Nick Muse,dk,200,nick muse,ATL,TE,showdown,00-0037317,auto_exact,high
TE,Luke Musgrave (44225917),Luke Musgrave,44225917,FLEX,200,ATL@GB 09/24/2026 08:15PM ET,GB,0.0,OUT,FLEX,Luke Musgrave,dk,200,luke musgrave,GB,TE,showdown,00-0039144,auto_exact,high
