Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 14,Unnamed: 15,Roster Position,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
133104-87731,WR,Dominique,Dominique Robinson,Robinson,0.0,12,4000,BUF@HOU,HOU,BUF,Q,Calf,,,,WR/FLEX,Dominique Robinson,fd,4000,dominique robinson,HOU,WR,classic,00-0037082,auto_fallback_name_only_position_mismatch,low
133104-104117,TE,Joshua,Joshua Simon,Simon,,0,4000,WAS@PHI,WAS,PHI,,,,,,TE/FLEX,Joshua Simon,fd,4000,joshua simon,WAS,TE,classic,00-0040552,auto_exact,high
133104-69302,TE,Feleipe,Feleipe Franks,Franks,0.0800000011920929,5,4000,CHI@CAR,CAR,CHI,,,,,,TE/FLEX,Feleipe Franks,fd,4000,feleipe franks,CAR,TE,classic,00-0036825,auto_fallback_team_mismatch,medium
133104-158399,RB,Jackson,Jackson Acker,Acker,,0,4000,BUF@HOU,BUF,HOU,,,,,,RB/FLEX,Jackson Acker,fd,4000,jackson acker,BUF,RB,classic,,,
133104-185024,TE,Ethan,Ethan Conner,Conner,,0,4000,MIA@LV,MIA,LV,,,,,,TE/FLEX,Ethan Conner,fd,4000,ethan conner,MIA,TE,classic,00-0041207,auto_exact,high
133104-128717,WR,Corey,Corey Rucker,Rucker,,0,4000,MIA@LV,LV,MIA,IR,Undisclosed,,,,WR/FLEX,Corey Rucker,fd,4000,corey rucker,LV,WR,classic,00-0041005,auto_exact,high
133104-92882,TE,Connor,Connor Heyward,Heyward,2.158333301544189,12,4000,MIA@LV,LV,MIA,,,,,,TE/FLEX,Connor Heyward,fd,4000,connor heyward,LV,TE,classic,00-0037304,auto_fallback_name_only_position_mismatch,low
133104-174801,TE,RJ,RJ Maryland,Maryland,,0,4000,GB@MIN,GB,MIN,Q,Hamstring,,,,TE/FLEX,RJ Maryland,fd,4000,rj maryland,GB,TE,classic,,,
133104-111325,RB,Ulysses,Ulysses Bentley IV,Bentley IV,0.0,1,4000,BAL@IND,IND,BAL,,,,,,RB/FLEX,Ulysses Bentley IV,fd,4000,ulysses bentley,IND,RB,classic,00-0040476,auto_exact,high
133104-104165,RB,Lew,Lew Nichols,Nichols,0.0,1,4000,ATL@PIT,PIT,ATL,,,,,,RB/FLEX,Lew Nichols,fd,4000,lew nichols,PIT,RB,classic,00-0038409,auto_exact,high
133104-152295,RB,Gregory,Gregory Desrosiers,Desrosiers,,0,4000,ARI@LAC,LAC,ARI,,,,,,RB/FLEX,Gregory Desrosiers,fd,4000,gregory desrosiers,LAC,RB,classic,00-0041376,auto_exact,high
133104-252646,TE,Connor,Connor Hulstein,Hulstein,,0,4000,NYJ@TEN,NYJ,TEN,Q,Undisclosed,,,,TE/FLEX,Connor Hulstein,fd,4000,connor hulstein,NYJ,TE,classic,00-0041577,auto_exact,high
133104-137966,WR,AJ,AJ Henning,Henning,,0,4000,MIA@LV,MIA,LV,,,,,,WR/FLEX,AJ Henning,fd,4000,aj henning,MIA,WR,classic,00-0040302,auto_exact,high
133104-156400,RB,Roman,Roman Hemby,Hemby,,0,4000,MIA@LV,LV,MIA,,,,,,RB/FLEX,Roman Hemby,fd,4000,roman hemby,LV,RB,classic,00-0040998,auto_exact,high
133104-128759,WR,Keelan,Keelan Marion,Marion,,0,4000,ATL@PIT,ATL,PIT,,,,,,WR/FLEX,Keelan Marion,fd,4000,keelan marion,ATL,WR,classic,00-0041266,auto_exact,high
133104-56059,WR,Trent,Trent Sherfield Sr.,Sherfield Sr.,0.8999999761581421,4,4000,BUF@HOU,BUF,HOU,,,,,,WR/FLEX,Trent Sherfield Sr.,fd,4000,trent sherfield,BUF,WR,classic,00-0034487,auto_fallback_team_mismatch,medium
133104-86778,TE,Devin,Devin Culp,Culp,3.549999952316284,2,4000,TB@CIN,TB,CIN,,,,,,TE/FLEX,Devin Culp,fd,4000,devin culp,TB,TE,classic,00-0039754,auto_exact,high
133104-86780,RB,Salvon,Salvon Ahmed,Ahmed,,0,4000,CHI@CAR,CHI,CAR,,,,,,RB/FLEX,Salvon Ahmed,fd,4000,salvon ahmed,CHI,RB,classic,00-0036020,auto_exact,high
