Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
WR,Malik Washington (44096057),Malik Washington,44096057,WR/FLEX,4200,MIA@LV 09/13/2026 04:25PM ET,MIA,6.9,,Malik Washington,dk,4200,malik washington,MIA,WR,classic,00-0039880,auto_exact,high
WR,Antonio Williams (44096059),Antonio Williams,44096059,WR/FLEX,4200,WAS@PHI 09/13/2026 04:25PM ET,WAS,0.0,,Antonio Williams,dk,4200,antonio williams,WAS,WR,classic,00-0041040,auto_exact,high
QB,Gardner Minshew II (44095913),Gardner Minshew II,44095913,QB,4100,ARI@LAC 09/13/2026 04:25PM ET,ARI,0.2,,Gardner Minshew II,dk,4100,gardner minshew,ARI,QB,classic,00-0035289,auto_fallback_team_mismatch,medium
QB,Carson Beck (44095914),Carson Beck,44095914,QB,4100,ARI@LAC 09/13/2026 04:25PM ET,ARI,0.0,,Carson Beck,dk,4100,carson beck,ARI,QB,classic,00-0041561,auto_exact,high
RB,Roman Hemby (44095979),Roman Hemby,44095979,RB/FLEX,4100,MIA@LV 09/13/2026 04:25PM ET,LV,0.0,,Roman Hemby,dk,4100,roman hemby,LV,RB,classic,00-0040998,auto_exact,high
RB,Will Shipley (44095981),Will Shipley,44095981,RB/FLEX,4100,WAS@PHI 09/13/2026 04:25PM ET,PHI,1.3,,Will Shipley,dk,4100,will shipley,PHI,RB,classic,00-0039746,auto_exact,high
WR,Dontayvion Wicks (44096061),Dontayvion Wicks,44096061,WR/FLEX,4100,WAS@PHI 09/13/2026 04:25PM ET,PHI,5.4,,Dontayvion Wicks,dk,4100,dontayvion wicks,PHI,WR,classic,00-0038393,auto_fallback_team_mismatch,medium
TE,Dallas Goedert (44096181),Dallas Goedert,44096181,TE/FLEX,4100,WAS@PHI 09/13/2026 04:25PM ET,PHI,13.0,,Dallas Goedert,dk,4100,dallas goedert,PHI,TE,classic,00-0034351,auto_exact,high
QB,Kyle McCord (44095915),Kyle McCord,44095915,QB,4000,MIA@LV 09/13/2026 04:25PM ET,MIA,0.0,,Kyle McCord,dk,4000,kyle mccord,MIA,QB,classic,00-0040014,auto_exact,high
QB,Brady Cook (44095916),Brady Cook,44095916,QB,4000,MIA@LV 09/13/2026 04:25PM ET,MIA,7.3,,Brady Cook,dk,4000,brady cook,MIA,QB,classic,00-0040398,auto_fallback_team_mismatch,medium
QB,Aidan O'Connell (44095917),Aidan O'Connell,44095917,QB,4000,MIA@LV 09/13/2026 04:25PM ET,LV,4.8,,Aidan O'Connell,dk,4000,aidan oconnell,LV,QB,classic,00-0038579,auto_exact,high
QB,Trey Lance (44095918),Trey Lance,44095918,QB,4000,ARI@LAC 09/13/2026 04:25PM ET,LAC,3.9,,Trey Lance,dk,4000,trey lance,LAC,QB,classic,00-0037012,auto_exact,high
QB,DJ Uiagalelei (44095919),DJ Uiagalelei,44095919,QB,4000,ARI@LAC 09/13/2026 04:25PM ET,LAC,0.0,,DJ Uiagalelei,dk,4000,dj uiagalelei,LAC,QB,classic,00-0040464,auto_exact,high
QB,Athan Kaliakmanis (44095920),Athan Kaliakmanis,44095920,QB,4000,WAS@PHI 09/13/2026 04:25PM ET,WAS,0.0,,Athan Kaliakmanis,dk,4000,athan kaliakmanis,WAS,QB,classic,00-0041117,auto_exact,high
