Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
QB,Geno Smith (44246767),Geno Smith,44246767,QB,4900,NYJ@DET 09/27/2026 01:00PM ET,NYJ,12.4,,Geno Smith,dk,4900,geno smith,NYJ,QB,classic,00-0030565,auto_fallback_team_mismatch,medium
QB,Malik Willis (44246768),Malik Willis,44246768,QB,4900,KC@MIA 09/27/2026 01:00PM ET,MIA,15.1,,Malik Willis,dk,4900,malik willis,MIA,QB,classic,00-0038128,auto_fallback_team_mismatch,medium
RB,Emanuel Wilson (44246852),Emanuel Wilson,44246852,RB/FLEX,4900,SEA@WAS 09/27/2026 01:00PM ET,SEA,4.8,,Emanuel Wilson,dk,4900,emanuel wilson,SEA,RB,classic,00-0038797,auto_fallback_team_mismatch,medium
RB,Tyjae Spears (44246854),Tyjae Spears,44246854,RB/FLEX,4900,TEN@NYG 09/27/2026 01:00PM ET,TEN,6.7,,Tyjae Spears,dk,4900,tyjae spears,TEN,RB,classic,00-0039032,auto_exact,high
WR,Quentin Johnston (44247066),Quentin Johnston,44247066,WR/FLEX,4900,LAC@BUF 09/27/2026 01:00PM ET,LAC,3.1,,Quentin Johnston,dk,4900,quentin johnston,LAC,WR,classic,00-0038544,auto_exact,high
WR,Jakobi Meyers (44247068),Jakobi Meyers,44247068,WR/FLEX,4800,NE@JAX 09/27/2026 01:00PM ET,JAX,8.0,,Jakobi Meyers,dk,4800,jakobi meyers,JAX,WR,classic,00-0034960,auto_exact,high
WR,Khalil Shakir (44247070),Khalil Shakir,44247070,WR/FLEX,4800,LAC@BUF 09/27/2026 01:00PM ET,BUF,7.9,,Khalil Shakir,dk,4800,khalil shakir,BUF,WR,classic,00-0037261,auto_exact,high
QB,Deshaun Watson (44246769),Deshaun Watson,44246769,QB,4700,CAR@CLE 09/27/2026 01:00PM ET,CLE,17.4,,Deshaun Watson,dk,4700,deshaun watson,CLE,QB,classic,00-0033537,auto_exact,high
RB,Najee Harris (44246856),Najee Harris,44246856,RB/FLEX,4700,TEN@NYG 09/27/2026 01:00PM ET,NYG,0.6,,Najee Harris,dk,4700,najee harris,NYG,RB,classic,00-0036893,auto_fallback_team_mismatch,medium
RB,Rico Dowdle (44246858),Rico Dowdle,44246858,RB/FLEX,4700,CIN@PIT 09/27/2026 01:00PM ET,PIT,5.3,Q,Rico Dowdle,dk,4700,rico dowdle,PIT,RB,classic,00-0036139,auto_fallback_team_mismatch,medium
