Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,player_id,match_method,match_confidence
DST,Steelers (43670383),Steelers,43670383,DST,3100,ATL@PIT 07/30/2026 04:00PM ET,PIT,2.8,,Steelers,dk,3100,steelers,PIT,DST,DST_PIT,team_defense,high
RB,Tyler Allgeier (43670242),Tyler Allgeier,43670242,RB/FLEX,3000,ATL@PIT 07/30/2026 04:00PM ET,ATL,1.3,,Tyler Allgeier,dk,3000,tyler allgeier,ATL,RB,00-0037263,auto_exact,high
RB,Julius Chestnut (43670244),Julius Chestnut,43670244,RB/FLEX,3000,GB@TEN 07/30/2026 02:00PM ET,TEN,0.7,,Julius Chestnut,dk,3000,julius chestnut,TEN,RB,00-0037594,auto_exact,high
RB,Kaleb Johnson (43670246),Kaleb Johnson,43670246,RB/FLEX,3000,ATL@PIT 07/30/2026 04:00PM ET,PIT,1.4,,Kaleb Johnson,dk,3000,kaleb johnson,PIT,RB,00-0040142,auto_exact,high
RB,Tyjae Spears (43670248),Tyjae Spears,43670248,RB/FLEX,3000,GB@TEN 07/30/2026 02:00PM ET,TEN,0.8,,Tyjae Spears,dk,3000,tyjae spears,TEN,RB,00-0039032,auto_exact,high
RB,MarShawn Lloyd (43670250),MarShawn Lloyd,43670250,RB/FLEX,3000,GB@TEN 07/30/2026 02:00PM ET,GB,0.3,,MarShawn Lloyd,dk,3000,marshawn lloyd,GB,RB,,,
RB,Kenneth Gainwell (43670252),Kenneth Gainwell,43670252,RB/FLEX,3000,ATL@PIT 07/30/2026 04:00PM ET,PIT,0.0,,Kenneth Gainwell,dk,3000,kenneth gainwell,PIT,RB,00-0036919,manual_override,high
RB,Ty Chandler (43670254),Ty Chandler,43670254,RB/FLEX,3000,MIN@TB 07/30/2026 12:00PM ET,MIN,0.0,,Ty Chandler,dk,3000,ty chandler,MIN,RB,00-0037276,auto_exact,high
RB,Kalel Mullings (43670256),Kalel Mullings,43670256,RB/FLEX,3000,GB@TEN 07/30/2026 02:00PM ET,TEN,0.0,,Kalel Mullings,dk,3000,kalel mullings,TEN,RB,00-0040205,auto_exact,high
RB,Jashaun Corbin (43670258),Jashaun Corbin,43670258,RB/FLEX,3000,ATL@PIT 07/30/2026 04:00PM ET,ATL,0.0,,Jashaun Corbin,dk,3000,jashaun corbin,ATL,RB,,,
