Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,MVP 1.5x Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Unnamed: 15,Unnamed: 16,Roster Position,roster_role,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
132913-140407,RB,Miles,Miles Davis,Davis,,0,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Miles Davis,fd,8000,miles davis,CAR,RB,showdown,00-0041485,auto_exact,high
132913-119670,QB,Carson,Carson Beck,Beck,,0,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Carson Beck,fd,8000,carson beck,ARI,QB,showdown,00-0041561,auto_exact,high
132913-71032,WR,Devin,Devin Duvernay,Duvernay,0.1894736791911878,19,8000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Devin Duvernay,fd,8000,devin duvernay,ARI,WR,showdown,00-0036331,auto_fallback_team_mismatch,medium
132913-158968,RB,Jonathon,Jonathon Brooks,Brooks,2.0,3,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Jonathon Brooks,fd,8000,jonathon brooks,CAR,RB,showdown,00-0039344,auto_exact,high
132913-157438,WR,Jimmy,Jimmy Horn Jr.,Horn Jr.,2.109090978449041,11,8000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,FLEX,Jimmy Horn Jr.,fd,8000,jimmy horn,CAR,WR,showdown,00-0040218,auto_exact,high
132913-12546,D,Arizona,Arizona Cardinals,Cardinals,4.529411764705882,17,12000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,MVP,Arizona Cardinals,fd,12000,arizona cardinals,ARI,D,showdown,DST_ARI,team_defense,high
132913-137990,TE,Tip,Tip Reiman,Reiman,1.099999984105428,3,12000,12000,CAR@ARI,ARI,CAR,,Ankle,,,,MVP - 1.5X Points/AnyFLEX,MVP,Tip Reiman,fd,12000,tip reiman,ARI,TE,showdown,00-0039737,auto_exact,high
132913-158983,TE,Ja'Tavion,Ja'Tavion Sanders,Sanders,3.590909090909091,11,12000,12000,CAR@ARI,CAR,ARI,Q,Ankle,,,,MVP - 1.5X Points/AnyFLEX,MVP,Ja'Tavion Sanders,fd,12000,jatavion sanders,CAR,TE,showdown,00-0039356,auto_exact,high
132913-12553,D,Carolina,Carolina Panthers,Panthers,5.944444444444445,18,12000,12000,CAR@ARI,CAR,ARI,,,,,,MVP - 1.5X Points/AnyFLEX,MVP,Carolina Panthers,fd,12000,carolina panthers,CAR,D,showdown,DST_CAR,team_defense,high
132913-188171,RB,Jeremiyah,Jeremiyah Love,Love,,0,12000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,MVP,Jeremiyah Love,fd,12000,jeremiyah love,ARI,RB,showdown,00-0041027,auto_exact,high
132913-89613,WR,Simi,Simi Fehoko,Fehoko,0.0,1,12000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,MVP,Simi Fehoko,fd,12000,simi fehoko,ARI,WR,showdown,00-0036646,auto_exact,high
132913-89612,WR,Michael,Michael Wilson,Wilson,11.211765064912685,17,12000,12000,CAR@ARI,ARI,CAR,,,,,,MVP - 1.5X Points/AnyFLEX,MVP,Michael Wilson,fd,12000,michael wilson,ARI,WR,showdown,00-0038559,auto_exact,high
