Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status,name,site,salary,normalized_name,normalized_team,position_upper,slate_format,player_id,match_method,match_confidence
WR,DK Metcalf (43727675),DK Metcalf,43727675,WR/FLEX,5400,ATL@PIT 09/13/2026 01:00PM ET,PIT,12.5,Q,DK Metcalf,dk,5400,dk metcalf,PIT,WR,classic,00-0035640,auto_exact,high
WR,Rome Odunze (43727677),Rome Odunze,43727677,WR/FLEX,5400,CHI@CAR 09/13/2026 01:00PM ET,CHI,11.8,,Rome Odunze,dk,5400,rome odunze,CHI,WR,classic,00-0039919,auto_exact,high
QB,Malik Willis (43727248),Malik Willis,43727248,QB,5300,MIA@LV 09/13/2026 04:25PM ET,MIA,13.0,,Malik Willis,dk,5300,malik willis,MIA,QB,classic,00-0038128,auto_fallback_team_mismatch,medium
QB,Aaron Rodgers (43727249),Aaron Rodgers,43727249,QB,5300,ATL@PIT 09/13/2026 01:00PM ET,PIT,14.1,,Aaron Rodgers,dk,5300,aaron rodgers,PIT,QB,classic,00-0023459,auto_exact,high
RB,Aaron Jones Sr. (43727371),Aaron Jones Sr.,43727371,RB/FLEX,5300,GB@MIN 09/13/2026 04:25PM ET,MIN,10.0,,Aaron Jones Sr.,dk,5300,aaron jones,MIN,RB,classic,00-0033293,auto_exact,high
RB,Jacory Croskey-Merritt (43727373),Jacory Croskey-Merritt,43727373,RB/FLEX,5300,WAS@PHI 09/13/2026 04:25PM ET,WAS,8.7,Q,Jacory Croskey-Merritt,dk,5300,jacory croskey merritt,WAS,RB,classic,00-0040242,auto_exact,high
WR,Carnell Tate (43727679),Carnell Tate,43727679,WR/FLEX,5300,NYJ@TEN 09/13/2026 01:00PM ET,TEN,0.0,Q,Carnell Tate,dk,5300,carnell tate,TEN,WR,classic,00-0041438,auto_exact,high
WR,Michael Wilson (43727681),Michael Wilson,43727681,WR/FLEX,5300,ARI@LAC 09/13/2026 04:25PM ET,ARI,13.5,,Michael Wilson,dk,5300,michael wilson,ARI,WR,classic,00-0038559,auto_exact,high
TE,Colston Loveland (43728219),Colston Loveland,43728219,TE/FLEX,5300,CHI@CAR 09/13/2026 01:00PM ET,CHI,11.4,,Colston Loveland,dk,5300,colston loveland,CHI,TE,classic,00-0040126,auto_exact,high
QB,C.J. Stroud (43727250),C.J. Stroud,43727250,QB,5200,BUF@HOU 09/13/2026 01:00PM ET,HOU,15.0,,C.J. Stroud,dk,5200,cj stroud,HOU,QB,classic,00-0039163,auto_exact,high
QB,Bryce Young (43727251),Bryce Young,43727251,QB,5200,CHI@CAR 09/13/2026 01:00PM ET,CAR,15.4,,Bryce Young,dk,5200,bryce young,CAR,QB,classic,00-0039150,auto_exact,high
RB,Rico Dowdle (43727375),Rico Dowdle,43727375,RB/FLEX,5200,ATL@PIT 09/13/2026 01:00PM ET,PIT,12.7,,Rico Dowdle,dk,5200,rico dowdle,PIT,RB,classic,00-0036139,auto_fallback_team_mismatch,medium
RB,Kenny Gainwell (43727377),Kenny Gainwell,43727377,RB/FLEX,5200,TB@CIN 09/13/2026 01:00PM ET,TB,12.8,,Kenny Gainwell,dk,5200,kenny gainwell,TB,RB,classic,00-0036919,auto_fallback_team_mismatch,medium
RB,Rachaad White (43727379),Rachaad White,43727379,RB/FLEX,5200,WAS@PHI 09/13/2026 04:25PM ET,WAS,8.4,Q,Rachaad White,dk,5200,rachaad white,WAS,RB,classic,00-0037256,auto_fallback_team_mismatch,medium
WR,Chris Godwin Jr. (43727683),Chris Godwin Jr.,43727683,WR/FLEX,5200,TB@CIN 09/13/2026 01:00PM ET,TB,9.6,,Chris Godwin Jr.,dk,5200,chris godwin,TB,WR,classic,00-0033921,auto_exact,high
WR,Josh Downs (43727685),Josh Downs,43727685,WR/FLEX,5200,BAL@IND 09/13/2026 01:00PM ET,IND,8.6,Q,Josh Downs,dk,5200,josh downs,IND,WR,classic,00-0038997,auto_exact,high
WR,Stefon Diggs (43824688),Stefon Diggs,43824688,WR/FLEX,5200,WAS@PHI 09/13/2026 04:25PM ET,WAS,12.2,,Stefon Diggs,dk,5200,stefon diggs,WAS,WR,classic,00-0031588,auto_fallback_team_mismatch,medium
QB,Cam Ward (43727252),Cam Ward,43727252,QB,5100,NYJ@TEN 09/13/2026 01:00PM ET,TEN,11.8,,Cam Ward,dk,5100,cam ward,TEN,QB,classic,00-0040676,auto_exact,high
QB,Jacoby Brissett (43727253),Jacoby Brissett,43727253,QB,5100,ARI@LAC 09/13/2026 04:25PM ET,ARI,18.0,,Jacoby Brissett,dk,5100,jacoby brissett,ARI,QB,classic,00-0033119,auto_exact,high
RB,Kyle Monangai (43727381),Kyle Monangai,43727381,RB/FLEX,5100,CHI@CAR 09/13/2026 01:00PM ET,CHI,8.9,Q,Kyle Monangai,dk,5100,kyle monangai,CHI,RB,classic,00-0040236,auto_exact,high
RB,Tyjae Spears (43727383),Tyjae Spears,43727383,RB/FLEX,5100,NYJ@TEN 09/13/2026 01:00PM ET,TEN,8.6,,Tyjae Spears,dk,5100,tyjae spears,TEN,RB,classic,00-0039032,auto_exact,high
RB,Chris Rodriguez Jr. (43727385),Chris Rodriguez Jr.,43727385,RB/FLEX,5100,CLE@JAX 09/13/2026 01:00PM ET,JAX,7.1,,Chris Rodriguez Jr.,dk,5100,chris rodriguez,JAX,RB,classic,00-0038611,auto_fallback_team_mismatch,medium
WR,Jordyn Tyson (43727687),Jordyn Tyson,43727687,WR/FLEX,5100,NO@DET 09/13/2026 01:00PM ET,NO,0.0,IR,Jordyn Tyson,dk,5100,jordyn tyson,NO,WR,classic,00-0041029,auto_exact,high
WR,Makai Lemon (43727689),Makai Lemon,43727689,WR/FLEX,5100,WAS@PHI 09/13/2026 04:25PM ET,PHI,0.0,,Makai Lemon,dk,5100,makai lemon,PHI,WR,classic,00-0040867,auto_exact,high
QB,Kirk Cousins (43727254),Kirk Cousins,43727254,QB,5000,MIA@LV 09/13/2026 04:25PM ET,LV,11.3,,Kirk Cousins,dk,5000,kirk cousins,LV,QB,classic,00-0029604,auto_fallback_team_mismatch,medium
QB,Fernando Mendoza (43727255),Fernando Mendoza,43727255,QB,5000,MIA@LV 09/13/2026 04:25PM ET,LV,0.0,,Fernando Mendoza,dk,5000,fernando mendoza,LV,QB,classic,00-0041562,auto_exact,high
