lineup_id,roster_slot,player_id,player_name,position,team,salary,projection,opponent,site_player_id,stack_target
3,WR3,00-0036554,Nico Collins,WR,HOU,9600,11.032532453769,JAX,,
3,TE,00-0034383,Dalton Schultz,TE,HOU,4200,11.278455852300024,JAX,,
3,FLEX,00-0035719,Deebo Samuel Sr.,WR,WAS,6200,10.24414371694328,DET,,
4,QB,00-0035710,Daniel Jones,QB,IND,7200,16.239987951856136,ATL,,
4,DEF,DST_MIA,Dolphins ,DEF,MIA,3500,1.9862612800726285,LV,,
4,RB1,00-0036223,Jonathan Taylor,RB,IND,9200,25.27317962749135,ATL,,
4,RB2,00-0039040,De'Von Achane,RB,MIA,7400,18.31463025252271,BUF,,
4,WR1,00-0036252,Michael Pittman Jr.,WR,IND,4400,12.728912645638523,ATL,,
4,WR2,00-0036613,Jaylen Waddle,WR,MIA,7200,11.166083732026754,BUF,,
4,WR3,00-0036554,Nico Collins,WR,HOU,9600,11.032532453769,JAX,,
4,TE,00-0034383,Dalton Schultz,TE,HOU,4200,11.278455852300024,JAX,,
4,FLEX,00-0035719,Deebo Samuel Sr.,WR,WAS,6200,10.24414371694328,DET,,
5,QB,00-0035710,Daniel Jones,QB,IND,7200,16.239987951856136,ATL,,
5,DEF,DST_WAS,Commanders ,DEF,WAS,3600,1.840554963306296,PHI,,
5,RB1,00-0036223,Jonathan Taylor,RB,IND,9200,25.27317962749135,ATL,,
5,RB2,00-0039040,De'Von Achane,RB,MIA,7400,18.31463025252271,BUF,,
5,WR1,00-0036252,Michael Pittman Jr.,WR,IND,4400,12.728912645638523,ATL,,
5,WR2,00-0036613,Jaylen Waddle,WR,MIA,7200,11.166083732026754,BUF,,
5,WR3,00-0036554,Nico Collins,WR,HOU,9600,11.032532453769,JAX,,
5,TE,00-0034383,Dalton Schultz,TE,HOU,4200,11.278455852300024,JAX,,
5,FLEX,00-0035719,Deebo Samuel Sr.,WR,WAS,6200,10.24414371694328,DET,,
6,QB,00-0035710,Daniel Jones,QB,IND,7200,16.239987951856136,ATL,,
6,DEF,DST_HOU,Texans ,DEF,HOU,4000,2.615662992125984,BUF,,
6,RB1,00-0036223,Jonathan Taylor,RB,IND,9200,25.27317962749135,ATL,,
6,RB2,00-0039040,De'Von Achane,RB,MIA,7400,18.31463025252271,BUF,,
6,WR1,00-0036252,Michael Pittman Jr.,WR,IND,4400,12.728912645638523,ATL,,
6,WR2,00-0036613,Jaylen Waddle,WR,MIA,7200,11.166083732026754,BUF,,
6,WR3,00-0036554,Nico Collins,WR,HOU,9600,11.032532453769,JAX,,
6,TE,00-0034383,Dalton Schultz,TE,HOU,4200,11.278455852300024,JAX,,
6,FLEX,00-0038997,Josh Downs,WR,IND,4000,9.044941070926845,ATL,,
7,QB,00-0035710,Daniel Jones,QB,IND,7200,16.239987951856136,ATL,,
7,DEF,DST_CLE,Browns ,DEF,CLE,3800,2.615512666666667,JAX,,
7,RB1,00-0036223,Jonathan Taylor,RB,IND,9200,25.27317962749135,ATL,,
7,RB2,00-0039040,De'Von Achane,RB,MIA,7400,18.31463025252271,BUF,,
7,WR1,00-0036252,Michael Pittman Jr.,WR,IND,4400,12.728912645638523,ATL,,
7,WR2,00-0036613,Jaylen Waddle,WR,MIA,7200,11.166083732026754,BUF,,
7,WR3,00-0036554,Nico Collins,WR,HOU,9600,11.032532453769,JAX,,
7,TE,00-0034383,Dalton Schultz,TE,HOU,4200,11.278455852300024,JAX,,
7,FLEX,00-0038997,Josh Downs,WR,IND,4000,9.044941070926845,ATL,,
8,QB,00-0035710,Daniel Jones,QB,IND,7200,16.239987951856136,ATL,,
8,DEF,DST_IND,Colts ,DEF,IND,3700,1.3993954667691126,BAL,,
8,RB1,00-0036223,Jonathan Taylor,RB,IND,9200,25.27317962749135,ATL,,
8,RB2,00-0039040,De'Von Achane,RB,MIA,7400,18.31463025252271,BUF,,
8,WR1,00-0036252,Michael Pittman Jr.,WR,IND,4400,12.728912645638523,ATL,,
8,WR2,00-0036613,Jaylen Waddle,WR,MIA,7200,11.166083732026754,BUF,,
8,WR3,00-0036554,Nico Collins,WR,HOU,9600,11.032532453769,JAX,,
8,TE,00-0034383,Dalton Schultz,TE,HOU,4200,11.278455852300024,JAX,,
8,FLEX,00-0035719,Deebo Samuel Sr.,WR,WAS,6200,10.24414371694328,DET,,
9,QB,00-0032268,Marcus Mariota,QB,WAS,6000,12.839665347378675,DET,,
9,DEF,DST_IND,Colts ,DEF,IND,3700,1.3993954667691126,BAL,,
9,RB1,00-0040583,Woody Marks,RB,HOU,3600,7.212501972273421,JAX,,
9,RB2,00-0037267,Jerome Ford,RB,CLE,9600,2.6367978914686345,NYJ,,
9,WR1,00-0038997,Josh Downs,WR,IND,4000,9.044941070926845,ATL,,
9,WR2,00-0037664,Alec Pierce,WR,IND,4700,8.790832941693418,ATL,,
9,WR3,00-0034775,Christian Kirk,WR,HOU,5600,5.444304401619104,JAX,,
9,TE,00-0033885,David Njoku,TE,CLE,5500,7.400932563001555,NYJ,,
9,FLEX,00-0036407,Jerry Jeudy,WR,CLE,7000,3.014822983973372,NYJ,,
10,QB,00-0032268,Marcus Mariota,QB,WAS,6000,12.839665347378675,DET,,
10,DEF,DST_HOU,Texans ,DEF,HOU,4000,2.615662992125984,BUF,,
10,RB1,00-0040583,Woody Marks,RB,HOU,3600,7.212501972273421,JAX,,
10,RB2,00-0037267,Jerome Ford,RB,CLE,9600,2.6367978914686345,NYJ,,
10,WR1,00-0037664,Alec Pierce,WR,IND,4700,8.790832941693418,ATL,,
10,WR2,00-0034775,Christian Kirk,WR,HOU,5600,5.444304401619104,JAX,,
10,WR3,00-0036407,Jerry Jeudy,WR,CLE,7000,3.014822983973372,NYJ,,
10,TE,00-0033885,David Njoku,TE,CLE,5500,7.400932563001555,NYJ,,
10,FLEX,00-0030061,Zach Ertz,TE,WAS,4000,7.055509485403608,DET,,
11,QB,00-0032268,Marcus Mariota,QB,WAS,6000,12.839665347378675,DET,,
11,DEF,DST_CLE,Browns ,DEF,CLE,3800,2.615512666666667,JAX,,
11,RB1,00-0040583,Woody Marks,RB,HOU,3600,7.212501972273421,JAX,,
11,RB2,00-0037267,Jerome Ford,RB,CLE,9600,2.6367978914686345,NYJ,,
11,WR1,00-0037664,Alec Pierce,WR,IND,4700,8.790832941693418,ATL,,
