Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Status
WR,Anthony Gould (44191058),Anthony Gould,44191058,FLEX,200,IND@KC 09/20/2026 08:20PM ET,IND,0,
WR,Andrew Armstrong (44191059),Andrew Armstrong,44191059,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0,
TE,Carson Towt (44191060),Carson Towt,44191060,FLEX,200,IND@KC 09/20/2026 08:20PM ET,IND,0,IR
TE,Will Mallory (44191061),Will Mallory,44191061,FLEX,200,IND@KC 09/20/2026 08:20PM ET,IND,0,IR
TE,John Michael Gyllenborg (44191062),John Michael Gyllenborg,44191062,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0,IR
TE,Kenny Fletcher Jr. (44191063),Kenny Fletcher Jr.,44191063,FLEX,200,IND@KC 09/20/2026 08:20PM ET,IND,0,
TE,James Winchester (44191064),James Winchester,44191064,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0,
TE,Thomas Odukoya (44191065),Thomas Odukoya,44191065,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0,
TE,Pharaoh Brown (44191066),Pharaoh Brown,44191066,FLEX,200,IND@KC 09/20/2026 08:20PM ET,IND,0,
TE,Jared Wiley (44191067),Jared Wiley,44191067,FLEX,200,IND@KC 09/20/2026 08:20PM ET,KC,0,
