Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
134516-133180,TE,Ben,Ben Yurosek,Yurosek,0.8000000317891439,3,4000,MIN@TB,MIN,TB,IR,Undisclosed,,,,TE/FLEX
134516-166977,WR,Jordan,Jordan Hudson,Hudson,,0,4000,BAL@DAL,DAL,BAL,,,,,,WR/FLEX
134516-86612,TE,Brayden,Brayden Willis,Willis,0,1,4000,ARI@SF,SF,ARI,,,,,,TE/FLEX
134516-152669,TE,Jameson,Jameson Geers,Geers,,0,4000,ARI@SF,ARI,SF,IR,Undisclosed,,,,TE/FLEX
134516-154730,WR,Dean,Dean Patterson IV,Patterson IV,,0,4000,MIN@TB,TB,MIN,,,,,,WR/FLEX
134516-68714,TE,Ko,Ko Kieft,Kieft,,0,4000,MIN@TB,TB,MIN,,,,,,TE/FLEX
134516-183404,TE,Josh,Josh Cuevas,Cuevas,,0,4000,BAL@DAL,BAL,DAL,,,,,,TE/FLEX
134516-56947,TE,Chris,Chris Myarick,Myarick,,0,4000,LV@NO,LV,NO,,,,,,TE/FLEX
134516-61555,WR,David,David Sills V,Sills V,3.3416665395100913,12,4000,MIN@TB,TB,MIN,IR,Undisclosed,,,,WR/FLEX
134516-104054,RB,Sincere,Sincere McCormick,McCormick,,0,4000,ARI@SF,SF,ARI,,,,,,RB/FLEX
134516-201342,RB,Chris,Chris Collier,Collier,,0,4000,LV@NO,LV,NO,IR,Undisclosed,,,,RB/FLEX
134516-172675,WR,Jordyn,Jordyn Tyson,Tyson,,0,4000,LV@NO,NO,LV,IR,Hamstring,,,,WR/FLEX
134516-28827,RB,Dare,Dare Ogunbowale,Ogunbowale,1.7363636710427024,11,4000,LV@NO,LV,NO,,,,,,RB/FLEX
134516-157858,TE,Michael,Michael Trigg,Trigg,,0,4000,BAL@DAL,DAL,BAL,,,,,,TE/FLEX
134516-105648,RB,Tyler,Tyler Goodson,Goodson,0.4199999809265137,10,4000,BAL@DAL,DAL,BAL,,,,,,RB/FLEX
134516-152756,WR,Will,Will Pauling,Pauling,,0,4000,ARI@SF,SF,ARI,,,,,,WR/FLEX
134516-86203,WR,Justin,Justin Shorter,Shorter,,0,4000,LV@NO,LV,NO,IR,Undisclosed,,,,WR/FLEX
134516-129219,RB,Israel,Israel Abanikanda,Abanikanda,,0,4000,BAL@DAL,DAL,BAL,,,,,,RB/FLEX
134516-128717,WR,Corey,Corey Rucker,Rucker,,0,4000,LV@NO,LV,NO,IR,Undisclosed,,,,WR/FLEX
134516-93391,TE,Payne,Payne Durham,Durham,0.3200000047683716,5,4000,MIN@TB,TB,MIN,,,,,,TE/FLEX
134516-171212,WR,Wesley,Wesley Grimes,Grimes,,0,4000,ARI@SF,SF,ARI,,,,,,WR/FLEX
134516-152272,WR,De'Zhaun,De'Zhaun Stribling,Stribling,,0,4000,ARI@SF,SF,ARI,IR,Ankle,,,,WR/FLEX
134516-92882,TE,Connor,Connor Heyward,Heyward,0.10000000149011612,2,4000,LV@NO,LV,NO,,,,,,TE/FLEX
134516-142042,RB,Trey,Trey Benson,Benson,7.224999904632568,4,4000,ARI@SF,ARI,SF,IR,Knee,,,,RB/FLEX
134516-40687,RB,James,James Conner,Conner,9.766666412353516,3,4000,ARI@SF,ARI,SF,IR,Foot,,,,RB/FLEX
134516-156400,RB,Roman,Roman Hemby,Hemby,,0,4000,LV@NO,LV,NO,,,,,,RB/FLEX
134516-61693,TE,Danny,Danny Pinter,Pinter,0,1,4000,BAL@DAL,BAL,DAL,IR,Knee,,,,TE/FLEX
134516-91401,WR,Ronnie,Ronnie Bell,Bell,4.650000095367432,2,4000,LV@NO,LV,NO,,,,,,WR/FLEX
134516-133900,WR,Anthony,Anthony Smith,Smith,,0,4000,BAL@DAL,DAL,BAL,,,,,,WR/FLEX
134516-94481,WR,Deven,Deven Thompkins,Thompkins,0.6714285441807338,7,4000,LV@NO,LV,NO,,,,,,WR/FLEX
134516-170769,WR,Camden,Camden Brown,Brown,,0,4000,BAL@DAL,DAL,BAL,,,,,,WR/FLEX
134516-110868,RB,Josh,Josh Williams,Williams,0,1,4000,MIN@TB,TB,MIN,,,,,,RB/FLEX
134516-152363,TE,Gavin,Gavin Bartholomew,Bartholomew,,0,4000,MIN@TB,MIN,TB,,,,,,TE/FLEX
134516-158511,RB,Max,Max Bredeson,Bredeson,,0,4000,MIN@TB,MIN,TB,,,,,,RB/FLEX
134516-171332,WR,Reggie,Reggie Virgil,Virgil,,0,4000,ARI@SF,ARI,SF,,,,,,WR/FLEX
134516-69451,TE,Jack,Jack Stoll,Stoll,1.7000000476837158,8,4000,ARI@SF,SF,ARI,,,,,,TE/FLEX
134516-87371,RB,Ty,Ty Chandler,Chandler,2.433333396911621,3,4000,LV@NO,NO,LV,IR,Knee,,,,RB/FLEX
134516-91467,TE,Jake,Jake Tonges,Tonges,7.049999872843425,12,4000,ARI@SF,SF,ARI,IR,Knee - mcl,,,,TE/FLEX
134516-103252,RB,Bam,Bam Knight,Knight,2.4000000953674316,1,4000,ARI@SF,ARI,SF,,,,,,RB/FLEX
134516-178011,WR,Xavier,Xavier Guillory,Guillory,,0,4000,BAL@DAL,BAL,DAL,,,,,,WR/FLEX
134516-86875,RB,Jordan,Jordan Mason,Mason,11.899999618530273,1,4000,MIN@TB,MIN,TB,IR,Thumb,,,,RB/FLEX
134516-201564,TE,Cam,Cam Grandy,Grandy,0.8500000238418579,2,4000,MIN@TB,MIN,TB,,,,,,TE/FLEX
134516-185699,WR,Eric,Eric Rivers Jr.,Rivers Jr.,,0,4000,MIN@TB,TB,MIN,,,,,,WR/FLEX
134516-93026,TE,Teagan,Teagan Quitoriano,Quitoriano,0,1,4000,ARI@SF,ARI,SF,,,,,,TE/FLEX
134516-192358,TE,Shawn,Shawn Bowman,Bowman,,0,4000,ARI@SF,ARI,SF,,,,,,TE/FLEX
134516-151909,WR,Dont'e,Dont'e Thornton Jr.,Thornton Jr.,1.6818181818181819,11,4000,LV@NO,LV,NO,IR,Undisclosed,,,,WR/FLEX
134516-151914,TE,Moliki,Moliki Matavao,Matavao,2,1,4000,LV@NO,NO,LV,IR,Knee,,,,TE/FLEX
