player_id,player_name,position,team,salary,OLD,FIX_NS,FIX,stack_delta,proj_pass_att,act,slate_id,week,sub
00-0039893,Brian Thomas Jr.,WR,JAX,5500,7.552131700094037,7.063486532946935,10.540752896025854,3.477266363078919,0.0,7.0,dk_classic_wk1_main_13Sep2026,1,main
00-0040663,Harold Fannin Jr.,TE,CLE,4200,7.445557752468275,8.009027517299026,10.977021491187774,2.9679939738887477,0.0,4.1,dk_classic_wk1_main_13Sep2026,1,main
00-0038128,Malik Willis,QB,MIA,5300,7.439285758599666,32.82356365627771,21.66380843165063,-11.159755224627084,59.86,17.7,dk_classic_wk1_main_13Sep2026,1,main
00-0040735,Luther Burden III,WR,CHI,5500,7.385647826057469,8.07970100819456,11.49600512944706,3.4163041212525,0.0,10.5,dk_classic_wk1_main_13Sep2026,1,main
00-0039032,Tyjae Spears,RB,TEN,5100,7.333757653521223,10.400367281958664,9.875464491819216,-0.5249027901394481,0.0,4.4,dk_classic_wk1_main_13Sep2026,1,main
00-0034753,Mark Andrews,TE,BAL,3900,7.308299002752692,7.462388243661353,9.013223368866663,1.550835125205312,0.0,8.9,dk_classic_wk1_main_13Sep2026,1,main
00-0034827,DJ Moore,WR,BUF,5600,7.239863204887245,8.787458048051723,10.968031717147662,2.1805736690959385,0.0,24.0,dk_classic_wk1_main_13Sep2026,1,main
00-0038555,Tank Bigsby,RB,PHI,4900,7.036042534434411,7.813036891809325,8.321898084866204,0.5088611930568785,0.0,0.3,dk_classic_wk1_main_13Sep2026,1,main
00-0036040,Juwan Johnson,TE,NO,3700,6.946276996840371,8.975655405491102,8.441027424323194,-0.5346279811679082,0.0,14.4,dk_classic_wk1_main_13Sep2026,1,main
00-0031588,Stefon Diggs,WR,WAS,5200,6.74341092298988,11.783342903156065,11.850597889818802,0.0672549866627374,0.0,15.5,dk_classic_wk1_main_13Sep2026,1,main
00-0039915,Ladd McConkey,WR,LAC,5900,6.672118075465703,7.129685589324726,10.991471272094708,3.861785682769982,0.0,19.2,dk_classic_wk1_main_13Sep2026,1,main
00-0036259,Jauan Jennings,WR,MIN,4300,6.545062803658985,7.737891261302925,8.720599129239062,0.9827078679361368,0.0,0.0,dk_classic_wk1_main_13Sep2026,1,main
00-0033921,Chris Godwin Jr.,WR,TB,5200,6.332676568387415,7.469813253491103,9.984171389131092,2.5143581356399904,0.0,8.3,dk_classic_wk1_main_13Sep2026,1,main
00-0038544,Quentin Johnston,WR,LAC,4700,6.237687786363486,6.674259263431248,9.133709777411765,2.459450513980517,0.0,3.7,dk_classic_wk1_main_13Sep2026,1,main
00-0036555,Chuba Hubbard,RB,CAR,5500,6.200513117401381,7.198731266041212,9.899204726935404,2.700473460894192,0.0,23.7,dk_classic_wk1_main_13Sep2026,1,main
00-0037261,Khalil Shakir,WR,BUF,4800,6.2004167429646575,7.711751223694752,10.205481577077585,2.493730353382833,0.0,9.0,dk_classic_wk1_main_13Sep2026,1,main
00-0038933,Dalton Kincaid,TE,BUF,4600,6.166101587750041,7.519088347942655,8.72357844759002,1.2044900996473649,0.0,21.0,dk_classic_wk1_main_13Sep2026,1,main
00-0040784,Quinshon Judkins,RB,CLE,5500,5.883666450579569,6.661919828847507,10.592420225342169,3.93050039649466,0.0,7.0,dk_classic_wk1_main_13Sep2026,1,main
00-0040242,Jacory Croskey-Merritt,RB,WAS,5300,5.687438368865241,6.686382235700577,9.173376119251484,2.4869938835509053,0.0,12.6,dk_classic_wk1_main_13Sep2026,1,main
