Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
65,5262534766,blueorange34,0,188.66,DST Patriots  FLEX Terry McLaurin QB Dak Prescott RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR George Pickens WR Rashod Bateman,,Jake Ferguson,TE,4.02%,20.3
66,5263090584,aabruss,0,188.01999,DST Jaguars  FLEX Caleb Douglas QB Carson Wentz RB Christian McCaffrey RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Stefon Diggs,,Tetairoa McMillan,WR,3.98%,18.1
67,5258506401,Dentev22,0,187.9,DST Panthers  FLEX Quentin Johnston QB Lamar Jackson RB Christian McCaffrey RB Ashton Jeanty TE Dalton Schultz WR CeeDee Lamb WR Stefon Diggs WR Rashod Bateman,,T.J. Hockenson,TE,3.97%,5.9
68,5262340690,xrayvsn326,0,187.56,DST Titans  FLEX Michael Mayer QB Dak Prescott RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Caleb Douglas,,Trevor Lawrence,QB,3.96%,7.16
69,5260448765,NikeDFS,0,187.48001,DST Panthers  FLEX Jaxon Smith-Njigba QB Baker Mayfield RB Derrick Henry RB Chuba Hubbard TE Dalton Schultz WR Emeka Egbuka WR Parker Washington WR Jalen Coker,,Jordan Love,QB,3.77%,13.8
70,5257865378,bcyoung89,0,187.26001,DST 49ers  FLEX Dalton Schultz QB Dak Prescott RB Christian McCaffrey RB Derrick Henry TE Jake Ferguson WR CeeDee Lamb WR Terry McLaurin WR Jalen Coker,,Mike Gesicki,TE,3.73%,0
71,5260912443,rsumrall,0,186.84,DST Panthers  FLEX CeeDee Lamb QB Jayden Daniels RB Christian McCaffrey RB Derrick Henry TE Dalton Schultz WR Stefon Diggs WR Terry McLaurin WR Matthew Golden,,Chuba Hubbard,RB,3.71%,14.4
72,5257721329,jn783112,0,186.56,DST Seahawks  FLEX Bijan Robinson QB Dak Prescott RB Aaron Jones Sr. RB J.K. Dobbins TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Roman Wilson,,Trey McBride,TE,3.67%,18.1
73,5262814096,PunaRay,0,186.38,DST 49ers  FLEX Jaxon Smith-Njigba QB Bryce Young RB Christian McCaffrey RB Aaron Jones Sr. TE Darren Waller WR Tetairoa McMillan WR Stefon Diggs WR Jalen Coker,,Seahawks ,DST,3.66%,8
74,5262202027,thatkiddoug,0,186.08,DST Panthers  FLEX George Kittle QB Brock Purdy RB Derrick Henry RB David Montgomery TE Dalton Schultz WR Jaxon Smith-Njigba WR George Pickens WR Terry McLaurin,,Chris Godwin Jr.,WR,3.48%,8.8
75,5260453903,dhmandell,0,185.72,DST Panthers  FLEX Demarcus Robinson QB C.J. Stroud RB Christian McCaffrey RB Saquon Barkley TE Dalton Schultz WR Jaxon Smith-Njigba WR Ja'Marr Chase WR Kayshon Boutte,,Jordan Addison,WR,3.41%,4.1
76,5257050306,invertedcheese,0,185.66,DST Panthers  FLEX Michael Mayer QB Dak Prescott RB Christian McCaffrey RB Derrick Henry TE Dalton Schultz WR CeeDee Lamb WR George Pickens WR Terry McLaurin,,Kayshon Boutte,WR,3.37%,6.7
77,5262485734,jconway78,0,185.56,DST 49ers  FLEX Derrick Henry QB Dak Prescott RB Bucky Irving RB Aaron Jones Sr. TE Dalton Schultz WR CeeDee Lamb WR Stefon Diggs WR Jalen Coker,,Chris Olave,WR,3.29%,22.6
78,5261840126,frywoman,0,185.48,DST Panthers  FLEX Derrick Henry QB Bryce Young RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR Garrett Wilson WR DeMario Douglas,,Broncos ,DST,3.25%,8
79,5260190602,robertebert10,0,185.46,DST Broncos  FLEX Dalton Schultz QB Dak Prescott RB Derrick Henry RB De'Von Achane TE Jake Ferguson WR CeeDee Lamb WR Mike Evans WR Stefon Diggs,,Jacory Croskey-Merritt,RB,3.07%,5.8
80,5257809019,shinsplints19,0,185.26001,DST 49ers  FLEX George Pickens QB Dak Prescott RB Christian McCaffrey RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR Jalen Coker WR Adonai Mitchell,,Kalif Raymond,WR,3.06%,9
81,5263111719,Ekuznear,0,185.16,DST 49ers  FLEX Rashod Bateman QB Dak Prescott RB Derrick Henry RB Bucky Irving TE Jake Ferguson WR CeeDee Lamb WR Stefon Diggs WR Jalen Coker,,DeVonta Smith,WR,2.96%,30.7
82,5262823953,ricket17,0,184.68001,DST Patriots  FLEX Stefon Diggs QB Joe Burrow RB Javonte Williams RB Bhayshul Tuten TE Dalton Schultz WR Ja'Marr Chase WR CeeDee Lamb WR Matthew Golden,,Rhamondre Stevenson,RB,2.92%,4.6
83,5263232069,BobbyZywicki,0,184.58002,DST Chargers  FLEX Dalton Schultz QB Tyler Shough RB Derrick Henry RB Aaron Jones Sr. TE Juwan Johnson WR Ja'Marr Chase WR CeeDee Lamb WR Chris Olave,,Antonio Williams,WR,2.75%,5.4
84,5261343702,Stevomania25,0,184.46,DST Broncos  FLEX Aaron Jones Sr. QB Dak Prescott RB Bijan Robinson RB Omarion Hampton TE Dalton Schultz WR CeeDee Lamb WR Stefon Diggs WR Jalen Coker,,George Kittle,TE,2.71%,18
85,5257353840,bjnfan,0,184.38,DST Raiders  FLEX Christian McCaffrey QB Brock Purdy RB Jacory Croskey-Merritt RB Rico Dowdle TE Dalton Schultz WR Jaxon Smith-Njigba WR Jaylen Waddle WR Matthew Golden,,Tee Higgins,WR,2.64%,14.5
86,5263329315,Project_1king,0,184.26,DST Panthers  FLEX Caleb Douglas QB Dak Prescott RB Christian McCaffrey RB Derrick Henry TE Dalton Schultz WR CeeDee Lamb WR George Pickens WR Terry McLaurin,,Jadarian Price,RB,2.63%,6
87,5263425524,PoppaBair,0,184.18001,DST Jaguars  FLEX Aaron Jones Sr. QB Brock Purdy RB Christian McCaffrey RB Derrick Henry TE Dalton Schultz WR Jaxon Smith-Njigba WR Jalen Coker WR Matthew Golden,,Bhayshul Tuten,RB,2.57%,14.2
87,5262323786,peezy164,0,184.18,DST Patriots  FLEX George Kittle QB Brock Purdy RB Bijan Robinson RB Christian McCaffrey TE Dalton Schultz WR CeeDee Lamb WR Terry McLaurin WR Malik Washington,,Jaylen Waddle,WR,2.51%,24.8
89,5263374202,RyanEller,0,183.98001,DST Ravens  FLEX Michael Mayer QB Brock Purdy RB Bijan Robinson RB Aaron Jones Sr. TE Dalton Schultz WR Jaxon Smith-Njigba WR CeeDee Lamb WR Matthew Golden,,Justin Herbert,QB,2.50%,9.88
90,5263234215,bohntrpa,0,183.96,DST Cardinals  FLEX Roman Wilson QB Dak Prescott RB Bijan Robinson RB Derrick Henry TE Dalton Schultz WR Ja'Marr Chase WR CeeDee Lamb WR Rashod Bateman,,Dontayvion Wicks,WR,2.46%,12.4
91,5262433981,jdubbs,0,183.8,DST Panthers  FLEX Jaxon Smith-Njigba QB Lamar Jackson RB Bijan Robinson RB Christian McCaffrey TE Dalton Schultz WR Jalen Coker WR Devaughn Vele WR Roman Wilson,,Omarion Hampton,RB,2.45%,18.5
92,5263416486,whelanjm11,0,183.76001,DST Panthers  FLEX CeeDee Lamb QB Dak Prescott RB Christian McCaffrey RB Aaron Jones Sr. TE Mark Andrews WR Ja'Marr Chase WR Jalen Coker WR Chris Moore,,De'Von Achane,RB,2.42%,12.3
93,5261700960,ducttapeandcaulk,0,183.58,DST 49ers  FLEX Quinshon Judkins QB Brock Purdy RB Ashton Jeanty RB Aaron Jones Sr. TE Darren Waller WR Jaxon Smith-Njigba WR CeeDee Lamb WR Devaughn Vele,,Tyler Shough,QB,2.38%,22.38
93,5262344661,kitty64,0,183.58,DST Texans  FLEX Garrett Wilson QB Tyler Shough RB Derrick Henry RB Breece Hall TE Dalton Schultz WR Jaxon Smith-Njigba WR Emeka Egbuka WR Rashod Bateman,,Tucker Kraft,TE,2.38%,3.5
95,5262224693,ian.mccarthy11,0,183.45999,DST Ravens  FLEX Jake Ferguson QB Dak Prescott RB Derrick Henry RB Javonte Williams TE Dalton Schultz WR CeeDee Lamb WR DeVonta Smith WR DK Metcalf,,David Montgomery,FLEX,2.36%,4.4
