Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
65,5253305083,NO87,0,216.1,DST Bears  FLEX Bucky Irving QB Tyler Shough RB Jahmyr Gibbs RB Bijan Robinson TE Juwan Johnson WR Chris Olave WR Chris Godwin Jr. WR Jalen Coker,,Sam LaPorta,FLEX,3.62%,9.8
65,5253687427,steveb12,0,216.1,DST Jaguars  FLEX Bijan Robinson QB Tyler Shough RB Jahmyr Gibbs RB D'Andre Swift TE Juwan Johnson WR Alec Pierce WR Chris Godwin Jr. WR Jalen Coker,,Rico Dowdle,RB,3.51%,4.1
67,5253269178,OldroadKing,0,215.9,DST Browns  FLEX D'Andre Swift QB Tyler Shough RB Jahmyr Gibbs RB Derrick Henry TE Juwan Johnson WR Chris Olave WR Parker Washington WR Luther Burden III,,Daniel Jones,QB,3.42%,10.04
68,5252890483,troystro,0,215.8,DST Jaguars  FLEX D'Andre Swift QB Tyler Shough RB Breece Hall RB Bhayshul Tuten TE Mark Andrews WR Amon-Ra St. Brown WR Chris Olave WR Jalen Coker,,Bucky Irving,FLEX,3.31%,21.3
68,5253194155,dshelby15,0,215.8,DST Jets  FLEX Colston Loveland QB Tyler Shough RB Jahmyr Gibbs RB David Montgomery TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Jalen Coker,,Josh Allen,QB,3.26%,38.66
70,5253108331,kduds11,0,215.73997,DST Jets  FLEX Bucky Irving QB Bryce Young RB Jahmyr Gibbs RB Jonathan Taylor TE Juwan Johnson WR Nico Collins WR Garrett Wilson WR Jalen Coker,,Jonathan Taylor,FLEX,3.24%,26.1
71,5250734689,Julius88,0,215.7,DST Steelers  FLEX Jahmyr Gibbs QB Tyler Shough RB Bijan Robinson RB Travis Etienne Jr. TE Juwan Johnson WR Chris Olave WR Parker Washington WR Devaughn Vele,,D'Andre Swift,FLEX,3.13%,35.4
72,5253630469,skinsfan4ever88,0,215.54001,DST Steelers  FLEX Bucky Irving QB Aaron Rodgers RB Jahmyr Gibbs RB Bijan Robinson TE Mike Gesicki WR Chris Olave WR DK Metcalf WR Jalen Coker,,Geno Smith,QB,3.09%,9.3
73,5249991720,thermezi15,0,215.09999,DST Steelers  FLEX Bucky Irving QB Tyler Shough RB Jahmyr Gibbs RB Travis Etienne Jr. TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Devaughn Vele,,Ja'Marr Chase,FLEX,3.06%,3.2
73,5250132874,mrsthermezi,0,215.09999,DST Steelers  FLEX Bucky Irving QB Tyler Shough RB Jahmyr Gibbs RB Travis Etienne Jr. TE Juwan Johnson WR Amon-Ra St. Brown WR Chris Olave WR Devaughn Vele,,Carnell Tate,WR,3.06%,7.8
