player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available,injury_raw_status,injury_status
00-0033119,Jacoby Brissett,QB,ARI,6800,134503-30231,14.4868,14.4868,1.0,0.8823645209370341,12.782629145196086,SF,19.61,47.83,2.0,1.0,7.3212,statline_mc+recal_10_4b,4.525721251574922,22.73952037340544,33.5885,184.65614187217164,1.21125,2.7865,10.1013347030922,0.10225,0.0,0.0,0.0,0.0,12.782629145196086,0.0,11.989999771118164,62.36922591122339,1.1634390248752273,,classic,True,,ACTIVE
00-0036997,Javonte Williams,RB,DAL,7300,134503-93541,11.4208,11.4208,1.0,1.1059928569419837,12.63133805439722,BAL,24.58,52.5,2.0,1.0,8.1946,statline_mc+recal_10_4b,2.4812720300134976,27.045095937192112,0.0,0.0,0.0,11.81,48.4154234344117,0.42325,4.21725,3.2825,27.415457109560485,0.17275,12.63133805439722,0.0,14.100000381469728,90.90882277231971,16.461766640956178,,classic,True,,ACTIVE
00-0035710,Daniel Jones,QB,IND,7100,134503-63519,13.5574,13.5574,1.0,0.923760510700526,12.523783713763542,HOU,20.53,42.56,2.0,1.0,7.3095,statline_mc+recal_10_4b,4.376414221658051,22.15181042101576,31.54925,188.8587908162007,1.19625,1.92825,7.664320811155124,0.07225,0.0,0.0,0.0,0.0,12.523783713763542,0.0,11.220000267028809,61.221896427282566,1.071895085388965,,classic,True,,ACTIVE
00-0039361,Bucky Irving,RB,TB,7600,134503-152664,13.419,13.419,1.0,0.9273601619843076,12.444269500485614,MIN,20.61,42.5,2.0,1.0,7.8951,statline_mc+recal_10_4b,2.6277583399978544,25.829085042048654,0.0,0.0,0.0,12.80925,56.6416092696855,0.38475,4.22,3.416,22.37608573517061,0.11175,12.444269500485614,0.0,13.899999618530272,73.44553069629757,3.365136449555639,,classic,True,,ACTIVE
00-0039491,Jalen Coker,WR,CAR,6200,134503-201547,11.9222,11.9222,1.0,1.0025028825332545,11.9520387514152,CLE,22.28,42.11,2.0,1.0,7.6607,statline_mc+recal_10_4b,2.306293544068242,26.421161117584248,0.0,0.0,0.0,0.07675,0.5728246206492249,0.0025,7.62,5.32025,66.98131289350279,0.4305,11.9520387514152,0.0,21.700000762939453,76.56468108094681,4.148012156911803,,classic,True,Questionable,QUESTIONABLE
00-0038128,Malik Willis,QB,MIA,6500,134503-87691,14.972,14.972,1.0,0.7901234567901233,11.829717988844694,KC,17.56,45.89,2.0,1.0,7.275,statline_mc+recal_10_4b,3.927914287161319,20.94673404553528,30.84275,189.99368301136693,0.931,2.95,9.777206683900165,0.1065,0.0,0.0,0.0,0.0,11.829717988844694,0.0,15.09000015258789,53.414020209310706,0.6136827032308554,,classic,True,,ACTIVE
00-0030506,Travis Kelce,TE,KC,5500,134503-33076,9.2734,9.2734,1.0,1.2747265108692594,11.820989987366175,MIA,28.33,45.89,2.0,1.0,7.2376,statline_mc+recal_10_4b,2.1587360916456446,26.418447232040176,0.0,0.0,0.0,0.0,0.0,0.0,6.558,4.5505,68.13739987366178,0.466,11.820989987366175,0.0,16.100000381469727,91.38468492260186,6.926655945541063,,classic,True,,ACTIVE
00-0037744,Trey McBride,TE,ARI,7300,134503-91750,13.3292,13.3292,1.0,0.8823645209370341,11.761255678245426,SF,19.61,47.83,2.0,1.0,6.8189,statline_mc+recal_10_4b,2.940411339672756,24.03561298379756,0.0,0.0,0.0,0.0,0.0,0.0,9.53425,6.59775,56.573806782454255,0.4835,11.761255678245426,0.0,17.049999237060547,79.07393958477228,3.357563824403524,,classic,True,,ACTIVE
00-0039064,Zay Flowers,WR,BAL,7500,134503-112295,9.234,9.234,1.0,1.2562782980398777,11.60051004481065,DAL,27.92,52.5,1.0,0.676732140326588,7.8818,statline_mc+recal_10_4b,1.677107635407279,26.17996060265776,0.0,0.0,0.0,0.11625,0.7844288509007616,0.006,5.62575,3.60575,73.60692159720574,0.39475,11.60051004481065,0.0,26.5,73.84717173737977,3.535220700492429,,classic,True,Questionable,QUESTIONABLE
00-0036322,Justin Jefferson,WR,MIN,8400,134503-85671,11.6473,11.6473,1.0,0.9849545825248178,11.47203652024182,TB,21.89,42.5,2.0,1.0,7.6415,statline_mc+recal_10_4b,2.15158173997846,25.002528898705112,0.0,0.0,0.0,0.13575,0.7139383102761817,0.004,7.78375,5.04925,64.165176892142,0.415,11.47203652024182,0.0,17.100000381469727,80.31441127890514,5.1717006782717645,,classic,True,,ACTIVE
00-0038120,Breece Hall,RB,NYJ,7100,134503-103064,12.0566,12.0566,1.0,0.9210607722376892,11.104870539290989,DET,20.47,47.5,2.0,1.0,7.6184,statline_mc+recal_10_4b,2.223718600378043,23.62652403262445,0.0,0.0,0.0,13.7575,48.99342181867005,0.367,3.58875,2.82125,21.774033574239816,0.0965,11.104870539290989,0.0,16.75,76.15754644128877,4.306025831279562,,classic,True,,ACTIVE
00-0036555,Chuba Hubbard,RB,CAR,6700,134503-87467,10.7929,10.7929,1.0,1.0025028825332545,10.819922643395122,CLE,22.28,42.11,2.0,1.0,7.8473,statline_mc+recal_10_4b,1.5967019795607866,23.810011517527645,0.0,0.0,0.0,12.17525,53.59844907200626,0.4085,2.37975,1.86825,15.824527361944964,0.1085,10.819922643395122,0.0,17.799999237060547,73.21723904929426,3.296016855065948,,classic,True,,ACTIVE
00-0023459,Aaron Rodgers,QB,PIT,6900,134503-6894,12.2402,12.2402,1.0,0.8760651311904158,10.723202596614753,CIN,19.47,42.44,2.0,1.0,7.1765,statline_mc+recal_10_4b,3.4411628339374287,19.20996260352523,33.8815,171.16105074458372,0.955,1.917,6.532605668314028,0.06475,0.0,0.0,0.0,0.0,10.723202596614753,0.0,8.760000228881836,51.3443702634428,0.5293479073847258,,classic,True,,ACTIVE
00-0040666,Omarion Hampton,RB,LAC,7200,134503-174215,11.0789,11.0789,1.0,0.9660564132849628,10.702820134368602,BUF,21.47,50.17,2.0,1.0,8.1209,statline_mc+recal_10_4b,1.4265155801579923,23.706444725315613,0.0,0.0,0.0,14.039,55.66701839418309,0.503,1.9725,1.5345,11.808682949502924,0.0575,10.702820134368602,0.0,12.399999618530272,80.81309794499978,6.574820995740253,,classic,True,,ACTIVE
00-0039040,De'Von Achane,RB,MIA,7900,134503-138820,13.4732,13.4732,1.0,0.7901234567901233,10.645475783250207,KC,17.56,45.89,2.0,1.0,7.5423,statline_mc+recal_10_4b,2.5555231926426845,21.550569207973208,0.0,0.0,0.0,13.66875,41.832998930622416,0.25025,5.562,4.05775,24.298008901879644,0.114,10.645475783250207,0.0,9.699999809265137,68.07300828006349,2.0648495841839134,,classic,True,,ACTIVE
00-0040124,Tetairoa McMillan,WR,CAR,6800,134503-167620,10.5992,10.5992,1.0,1.0025028825332545,10.625724833121788,CLE,22.28,42.11,2.0,1.0,7.2964,statline_mc+recal_10_4b,1.989830999079121,24.229614381030636,0.0,0.0,0.0,0.06825,0.4524095223070984,0.0035,7.7435,4.66825,63.7735888089108,0.317,10.625724833121788,0.0,11.800000190734863,75.97763654653386,4.007217818673235,,classic,True,,ACTIVE
