player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available,injury_raw_status,injury_status
00-0036637,Noah Gray,TE,KC,4500,44191090,2.88555,2.88555,0.9888524590163934,1.1749300369644275,3.35249984530575,IND,26.17,46.33,1.0,1.0,7.13175,statline_mc+recal_10_4b,0.0,9.680445783816234,0.0,0.0,0.0,0.0,0.0,0.0,1.14175,0.76775,9.852498968705,0.07875,CPT,showdown,42.56944444444444,0.6013511090935656,True,,ACTIVE
00-0038104,Tyquan Thornton,WR,KC,3800,44191032,2.6153,2.6153,1.0464039008533117,1.1749300369644275,3.21543835661812,IND,26.17,46.33,1.0,1.0,5.8312,statline_mc+recal_10_4b,0.0,8.120551301218741,0.0,0.0,0.0,0.056,0.3459843521724259,0.00225,1.66,0.9945,15.47589921400877,0.0955,FLEX,showdown,63.125,11.62901542131612,True,,ACTIVE
00-0040547,Nate Carter,RB,KC,300,44191104,2.28405,2.28405,1.1366608368088251,1.1749300369644275,3.0504014889778936,IND,26.17,46.33,0.0,0.0,7.628400000000001,statline_mc+recal_10_4b,0.0,9.162261219996704,0.0,0.0,0.0,1.32875,7.57991888642568,0.0545,0.50425,0.37475,4.466091040093612,0.02025,CPT,showdown,68.49537037037038,3.386573877871832,True,,ACTIVE
00-0040078,Brashard Smith,RB,KC,600,44191100,2.2827,2.2827,1.1366608368088251,1.1749300369644275,3.0485893729795057,IND,26.17,46.33,0.0,0.0,7.6059,statline_mc+recal_10_4b,0.0,9.099428810194173,0.0,0.0,0.0,1.3535,7.773893789390389,0.058,0.50075,0.38425,3.9575353638063193,0.0205,CPT,showdown,67.56944444444444,3.1838474639350007,True,,ACTIVE
00-0040953,Jeff Caldwell,WR,KC,300,44191110,2.4118500000000003,2.4118500000000003,1.0464039008533117,1.1749300369644275,0.0,IND,26.17,46.33,0.0,0.0,7.691549999999999,statline_mc+recal_10_4b,0.0,8.490955191628128,0.0,0.0,0.0,0.0625,0.4401908875142694,0.00275,0.979,0.60725,9.452804655956392,0.058,CPT,showdown,66.64351851851852,2.9932566183896423,True,Injured Reserve,OUT
00-0040120,Jimmy Holiday,WR,KC,300,44191107,2.40495,2.40495,1.0464039008533117,1.1749300369644275,0.0,IND,26.17,46.33,0.0,0.0,7.746449999999999,statline_mc+recal_10_4b,0.0,8.382335108917667,0.0,0.0,0.0,0.05675,0.3509023616136235,0.00375,0.94875,0.57575,9.618717205502303,0.05825,CPT,showdown,65.7175925925926,2.814074884247129,True,Injured Reserve,OUT
00-0040298,Andrew Armstrong,WR,KC,300,44191113,2.30925,2.30925,1.0464039008533117,1.1749300369644275,2.8390341866551645,IND,26.17,46.33,0.0,0.0,7.54965,statline_mc+recal_10_4b,0.0,7.877625400529274,0.0,0.0,0.0,0.056,0.4030219899907349,0.003,0.9405,0.58,9.048872587710362,0.05475,CPT,showdown,64.79166666666667,2.6456192915430288,True,,ACTIVE
00-0040954,Omari Evans,WR,KC,300,44191111,2.3076,2.3076,1.0464039008533117,1.1749300369644275,2.837169340971852,IND,26.17,46.33,0.0,0.0,7.7802,statline_mc+recal_10_4b,0.0,7.288711197537053,0.0,0.0,0.0,0.06325,0.4963625476541103,0.003,0.928,0.5675,9.310599725491567,0.05,CPT,showdown,63.86574074074074,2.4872477541254967,True,,ACTIVE
00-0040959,Jaydn Ott,RB,KC,300,44191103,2.0991,2.0991,1.1366608368088251,1.1749300369644275,2.803396504067486,IND,26.17,46.33,0.0,0.0,7.35465,statline_mc+recal_10_4b,0.0,7.5859333316649185,0.0,0.0,0.0,1.31125,7.082225741400381,0.04875,0.483,0.369,3.907084285716193,0.017,CPT,showdown,62.93981481481481,2.338356622276584,True,,ACTIVE
00-0040890,Cyrus Allen,WR,KC,4200,44191091,2.256,2.256,1.0464039008533117,1.1749300369644275,2.773612786776341,IND,26.17,46.33,1.0,1.0,7.565399999999999,statline_mc+recal_10_4b,0.0,7.518074844623083,0.0,0.0,0.0,0.0365,0.2190568988857733,0.00175,0.9355,0.5565,8.979195012956499,0.057,CPT,showdown,37.19907407407408,0.420377989161042,True,,ACTIVE
00-0040906,Garrett Nussmeier,QB,KC,6000,44191024,2.1493,2.1493,1.0850026761819804,1.1749300369644275,2.7398697071880878,IND,26.17,46.33,0.0,0.0,6.865,statline_mc+recal_10_4b,0.2528622389213789,7.004367357358208,2.25075,20.96708015530857,0.13125,1.74875,9.469365009757444,0.096,0.0,0.0,0.0,0.0,FLEX,showdown,45.625,3.621312893150413,True,,ACTIVE
00-0036945,Justin Fields,QB,KC,6000,44191023,2.0845,2.0845,1.0850026761819804,1.1749300369644275,2.657302939933452,IND,26.17,46.33,0.0,0.0,6.8441,statline_mc+recal_10_4b,0.2327416449243782,6.956866617372062,2.21025,20.2825144005218,0.12775,1.74,9.152523639125796,0.09425,0.0,0.0,0.0,0.0,FLEX,showdown,44.05092592592592,3.26055806446558,True,,ACTIVE
