player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available
00-0038124,Christian Watson,WR,GB,6400,133647-169776,6.121,6.121,0.7647565203229334,1.008263533644387,4.719771105628363,MIN,22.42,46.22,10.0,0.8,5.6105,statline_mc+recal_10_4b,0.4898759346279805,11.337715047623727,0.0,0.0,0.0,0.05525,0.2554370461381735,0.00175,3.393,2.1285,25.409774010145462,0.185,71.2374817242843,9.886731796183645,,classic,True
00-0032268,Marcus Mariota,QB,WAS,6000,133647-29358,5.8531,5.8531,0.8918431675161723,0.8742481308673901,4.563593117172554,PHI,19.44,44.28,10.0,0.6,6.6697,statline_mc+recal_10_4b,0.8922805275623946,9.67680799390052,10.9915,63.658133700779274,0.39025,1.61325,6.627677691413835,0.04975,0.0,0.0,0.0,0.0,36.428052390113955,1.1726846724833475,,classic,True
00-0039338,Brock Bowers,TE,LV,6800,133647-151794,3.6842,3.6842,1.226793226877769,0.9718365281915791,4.392454553830321,MIA,21.61,40.17,12.0,0.6,4.7368,statline_mc+recal_10_4b,0.0,10.898797738685797,0.0,0.0,0.0,0.0,0.0,0.0,2.5675,1.8495,22.697045538303207,0.2035,52.55986371508169,2.3552755915942996,,classic,True
00-0040891,Cole Payton,QB,PHI,6000,133647-208491,3.1339,3.1339,1.2001471122452894,1.1166451177694081,4.19984742792837,WAS,24.83,44.28,0.0,0.0,6.6344,statline_mc+recal_10_4b,0.7888131013550247,9.148123079322655,5.32725,50.999022328551135,0.32675,1.25675,6.913865347863252,0.076,0.0,0.0,0.0,0.0,20.201143258842677,0.3975246914487637,,classic,True
00-0039066,Michael Mayer,TE,LV,4600,133647-138998,3.4484,3.4484,1.226793226877769,0.9718365281915791,4.111349588540268,MIA,21.61,40.17,13.0,0.8,4.5973,statline_mc+recal_10_4b,0.1257296250503298,10.070967071098956,0.0,0.0,0.0,0.0,0.0,0.0,2.77675,1.90275,22.844745885402677,0.15075,58.435458549808,3.4846376581417786,,classic,True
00-0040242,Jacory Croskey-Merritt,RB,WAS,5700,133647-117178,4.2443,4.2443,1.053358078465259,0.8742481308673901,3.908526027730129,PHI,19.44,44.28,17.0,1.0,5.8374,statline_mc+recal_10_4b,0.20257417540019512,10.68003175562366,0.0,0.0,0.0,6.30225,25.990260277301292,0.228,0.0,0.0,0.0,0.0,60.979971387696715,7.9128703774717195,,classic,True
00-0039874,Jaylen Wright,RB,MIA,4900,133647-152103,4.4436,4.4436,1.0438843689343742,0.8346731125976727,3.871726828101232,LV,18.56,40.17,9.0,1.0,5.5509,statline_mc+recal_10_4b,0.31128674424244446,9.590022975307544,0.0,0.0,0.0,6.023,21.356430924416543,0.1575,0.79175,0.5685,4.283337356595775,0.02375,50.187321173104436,3.8534952023641202,,classic,True
00-0038544,Quentin Johnston,WR,LAC,6000,133647-120639,3.1127,3.1127,0.9720574207207836,1.271797178031368,3.848125253678563,ARI,28.28,47.22,13.0,0.6,5.2571,statline_mc+recal_10_4b,0.0,9.899805057003457,0.0,0.0,0.0,0.0,0.0,0.0,2.1885,1.31025,21.815002536785634,0.17075,67.06924020185824,7.488068352979257,,classic,True
00-0037525,Jordan Mason,RB,MIN,5400,133647-86875,3.636,3.636,0.9663183721502544,1.0707740738658722,3.7621865537595047,GB,23.81,46.22,16.0,0.8,5.7142,statline_mc+recal_10_4b,0.23268206378498543,9.609238856211512,0.0,0.0,0.0,5.0935,24.826418659573353,0.18225,0.217,0.1705,1.1129468780217022,0.007,61.75335300429184,8.331548805878802,,classic,True
00-0039915,Ladd McConkey,WR,LAC,6500,133647-133472,2.8935,2.8935,0.9720574207207836,1.271797178031368,3.577102255829335,ARI,28.28,47.22,16.0,0.8,5.2877,statline_mc+recal_10_4b,0.0,9.367761823246074,0.0,0.0,0.0,0.0,0.0,0.0,2.17625,1.343,20.796022558293352,0.1405,78.61266330236286,16.165387905260342,,classic,True
