player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,salary_anchor,final_projection_pre_anchor,anchor_weight_used,points_above_anchor,chalk_score,estimated_ownership_pct
00-0036963,Amon-Ra St. Brown,WR,DET,5000,5928,9.181818181818182,13.235,0.9273537454357258,0.6398739164696612,8.463110275020572,DEN,14.5,42.0,11.46199172756504,6.650951964124721,0.3767,-2.9989,40.78367875647668,0.7776192661498236
00-0035628,D'Ernest Johnson,RB,CLE,4400,5746,8.05,10.077000000000002,0.8551389013394003,1.037037037037037,8.437045324610198,BAL,23.5,44.0,8.959385273972604,8.037608892744828,0.4333,-0.5223,51.57229848832861,1.675596909160414
00-0033895,Gerald Everett,TE,SEA,3500,4705,7.0600000000000005,7.072,1.114742141356483,1.1142631993695824,8.408881489322122,HOU,25.25,40.5,7.840291467576791,8.776792679863219,0.3929,0.5686,73.24611398963731,4.983298609917919
00-0032972,Devontae Booker,RB,NYG,4800,5468,9.245454545454546,8.039,1.0891054762672645,0.7612293144208038,8.388923521245765,LAC,17.25,44.0,10.414492777777776,7.1649164304002175,0.3767,-2.0256,43.97868703594893,1.009978155074802
00-0033955,Jeremy McNichols,RB,TEN,5200,5542,6.6,4.195,1.018022501594524,1.1694247438928291,8.369121555155896,JAX,26.5,44.5,11.147993363290702,6.425727545545281,0.4115,-2.7789,56.9882084290369,2.404231063181854
00-0036268,Laviska Shenault Jr.,WR,JAX,4300,5847,8.016666666666667,6.902000000000001,1.2559872888948915,0.7943262411347518,8.326247369513782,TEN,18.0,44.5,9.881468732506995,7.441905810164698,0.3625,-1.5552,42.4341537132988,0.8680668198180883
00-0032426,Alex Collins,RB,SEA,5200,5450,6.610000000000001,3.635,1.1119663324434224,1.1142631993695824,8.233041485849686,HOU,25.25,40.5,11.147993363290702,6.346896153387853,0.3929,-2.915,54.3440521339672,2.015672812897982
00-0036219,Marquez Callaway,WR,NO,4300,5877,8.741666666666667,6.149,0.9544346913923316,1.026004728132388,8.229966003106979,NYJ,23.25,42.0,9.881468732506995,7.290876215801088,0.3625,-1.6515,48.12392055267703,1.2684950570548486
DST_SEA,Seattle,DST,SEA,3100,7028,5.5,5.5,1.0,1.4859484777517564,8.196724458402493,HOU,25.25,40.5,8.3039,8.17271662763466,0.183,-0.1072,60.24611398963731,3.922934326996287
00-0031325,Sammy Watkins,WR,BAL,4600,5252,7.822222222222223,7.279000000000002,0.9524108484560728,0.9046493301812452,8.119286412029787,CLE,20.5,44.0,10.426721190130625,6.505590194665149,0.4115,-2.3074,45.13798934945308,1.0395304524255398
DST_TB,Tampa Bay,DST,TB,3200,7029,8.666666666666666,8.666666666666666,1.0,0.9249271137026238,8.068717077896345,BUF,28.0,52.5,8.3039,8.016034985422738,0.183,-0.2352,67.58419689119171,6.3983839671749445
DST_KC,Kansas City,DST,KC,3300,7015,6.666666666666667,6.666666666666667,1.0,1.1926691729323309,8.042326219228643,LV,29.0,48.0,8.449453292600136,7.951127819548873,0.183,-0.4071,63.361398963730565,4.828450416853285
DST_TEN,Tennessee,DST,TEN,3700,7030,6.166666666666667,6.166666666666667,1.0,1.2589285714285714,7.993047055581287,JAX,26.5,44.5,9.018267257098202,7.763392857142858,0.183,-1.0252,60.71243523316062,4.046806329740745
00-0036550,Rashod Bateman,WR,BAL,4700,5930,7.871428571428572,5.451,0.9524108484560728,0.9046493301812452,7.985849241952582,CLE,20.5,44.0,10.632787953555878,5.739287814457348,0.4591,-2.6469,45.06854490500864,1.0347289346426811
00-0033881,Evan Engram,TE,NYG,3500,4701,7.81,8.225999999999999,1.2862409323344035,0.7612293144208038,7.846561550064823,LAC,17.25,44.0,7.840291467576791,7.850618662262962,0.3929,0.0063,59.552784974093264,2.000112526442725
DST_CAR,Carolina,DST,CAR,2800,7005,6.833333333333333,6.833333333333333,1.0,1.1771799628942483,7.843820613235586,ATL,21.75,41.0,6.9499,8.044063079777365,0.183,0.8939,56.63860103626944,3.0843442161913392
00-0032063,Mike Davis,RB,ATL,4900,5320,8.625,9.15,0.8015587696765305,0.8494877856579984,7.759709730346556,CAR,19.25,41.0,10.76358007936508,6.051626590708572,0.3625,-3.0039,45.66930185353346,1.1304732569259268
00-0036898,Davis Mills,QB,HOU,5000,1574,8.7675,9.5718,0.9913405809708764,0.6729708431836092,7.74232704742321,SEA,15.25,40.5,9.867139296187672,6.117470621897445,0.4333,-2.1248,26.22444335527237,0.2708106409201523
