player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available,injury_status
00-0039910,Jayden Daniels,QB,WAS,7900,133104-102785,8.259,8.259,1.0,0.9318194405981725,7.695877827028757,PHI,21.03,46.69,0.0,0.0,6.9996,statline_mc+recal_10_4b,2.1304521007869703,14.971035476789323,15.03825,101.63659455616263,0.626,2.88525,11.53914044782252,0.1135,0.0,0.0,0.0,0.0,69.22933171479681,1.530949178719295,,classic,True,ACTIVE
00-0039919,Rome Odunze,WR,CHI,6700,133104-120033,6.9063,6.9063,1.0,1.1090556632511772,7.659511135168923,CAR,25.03,47.5,0.0,0.0,6.537,statline_mc+recal_10_4b,1.1818500575411786,17.813128822432184,0.0,0.0,0.0,0.138,0.9256513793275098,0.00525,5.09925,3.13725,43.25320997236172,0.2795,88.36628952651833,6.276785558312315,,classic,True,ACTIVE
DST_GB,Green Bay Packers,D,GB,4200,133104-12533,7.6345555995,7.6345555995,1.0703163238821334,0.998650571824196,7.6345555995,MIN,22.25,45.19,,,6.336,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.29166666666667,3.0852596138953423,,classic,True,ACTIVE
DST_DET,Detroit Lions,D,DET,4700,133104-12532,7.6168778355,7.6168778355,1.0678380133724588,1.086251499177196,7.6168778355,NO,28.09,49.19,,,6.1263,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.565406976744185,6.119937157573807,,classic,True,ACTIVE
DST_NYJ,New York Jets,D,NYJ,3400,133104-12544,7.603128463500001,7.603128463500001,1.0659104385316007,1.097176442416047,7.603128463500001,TEN,18.38,39.25,,,6.0726,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.33575581395348,2.370043755584388,,classic,True,ACTIVE
00-0035228,Kyler Murray,QB,MIN,7200,133104-63484,7.4421,7.4421,1.0,1.016449736914982,7.564477701358779,GB,22.94,45.19,0.0,0.0,6.9633,statline_mc+recal_10_4b,2.0064308725698274,14.526283876000791,13.7275,100.46017047431748,0.6245,2.43175,9.970708823860802,0.11125,0.0,0.0,0.0,0.0,72.9542550472783,1.9624940591058748,,classic,True,ACTIVE
00-0040129,Emeka Egbuka,WR,TB,6400,133104-152655,7.123,7.123,1.0,1.0549986153420106,7.514799212138588,CIN,23.81,51.38,0.0,0.0,6.3725,statline_mc+recal_10_4b,1.1829701313236742,17.345722086607903,0.0,0.0,0.0,0.15575,1.1790852529853373,0.0065,5.13175,3.156,41.95890686840053,0.27,90.00930650828175,7.00337699875148,,classic,True,QUESTIONABLE
00-0040124,Tetairoa McMillan,WR,CAR,6800,133104-167620,7.5194,7.5194,1.0,0.995624480753254,7.486530565855043,CHI,22.47,47.5,0.0,0.0,6.386,statline_mc+recal_10_4b,1.2847886434322051,16.83687888141453,0.0,0.0,0.0,0.1555,0.9823703223947066,0.0045,5.3685,3.3055,43.20043533615572,0.2375,83.6911807763092,4.595989516532303,,classic,True,ACTIVE
00-0038544,Quentin Johnston,WR,LAC,6000,133104-120639,5.9177,5.9177,1.0,1.2588202713929662,7.449265212278055,ARI,28.41,46.38,0.0,0.0,6.4446,statline_mc+recal_10_4b,1.0573371322859997,17.296186169658352,0.0,0.0,0.0,0.1665,1.2419636544272232,0.00675,4.4215,2.72425,42.889438468353326,0.278,89.00208612180023,6.54855513574999,,classic,True,QUESTIONABLE
DST_BAL,Baltimore Ravens,D,BAL,4300,133104-12555,7.442964648,7.442964648,1.0434564863675582,1.022268813817361,7.442964648,IND,25.91,48.31,,,6.2206,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.17635658914729,4.882293727648106,,classic,True,ACTIVE
