player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,chalk_score,estimated_ownership_pct
00-0035644,Noah Fant,TE,DEN,4300,4748,9.666666666666666,8.7375,1.7600247503480515,0.9411764705882352,15.243194749583026,BAL,22.5,44.0,69.74296618649787,3.78887953377645
00-0036358,CeeDee Lamb,WR,DAL,6700,5831,16.766666666666666,15.44375,0.7806747355698268,1.1712418300653595,14.725940672159592,CAR,28.0,51.5,72.68906944463917,6.422132330485047
00-0033293,Aaron Jones,RB,GB,7700,5543,21.1,21.71875,0.6295180722891566,1.077124183006536,14.517036479250333,PIT,25.75,45.0,70.33624497006576,5.598184035301701
00-0034681,Chase Edmonds,RB,ARI,5500,5619,13.866666666666667,13.9,0.98644578313253,1.0457516339869282,14.321731369924136,LA,25.0,53.5,67.3749141230739,4.59523643476342
00-0036328,Antonio Gibson,RB,WAS,6100,5827,12.833333333333334,13.468749999999996,1.072289156626506,1.0143790849673202,14.30448919862456,ATL,24.25,47.5,65.58057709294337,4.077148066127898
00-0033077,Dak Prescott,QB,DAL,6700,1501,18.34,17.994999999999997,0.6657464713477893,1.1712418300653595,14.166110222636627,CAR,28.0,51.5,51.079066175597006,1.4409502150448394
00-0036360,Clyde Edwards-Helaire,RB,KC,5400,5818,9.9,10.756249999999998,1.0677710843373496,1.2758169934640522,14.069803232537996,PHI,30.5,53.5,74.99946020217882,7.639432201299312
00-0033288,George Kittle,TE,SF,5900,4703,11.533333333333331,12.2125,1.039514618174318,1.1398692810457516,14.068346953776093,SEA,27.25,52.0,78.2503897977706,6.680761058310921
00-0031544,Amari Cooper,WR,DAL,6000,5376,16.633333333333333,13.8625,0.7806747355698268,1.1712418300653595,13.942068401725122,CAR,28.0,51.5,72.34745453780688,6.2775254998161225
00-0030431,Robert Woods,WR,LA,5300,5217,10.4,9.825,1.1442766672050886,1.192156862745098,13.79504051106621,ARI,28.5,53.5,72.12971271539334,6.18705838139902
00-0034367,Nyheim Hines,RB,IND,4900,5623,12.1,12.81875,1.3403614457831328,0.8156862745098039,13.622014528703051,MIA,19.5,41.5,53.81318088134263,1.8606105002765323
00-0033106,Jared Goff,QB,DET,5200,1490,18.813333333333333,16.965,0.9182955607996796,0.8156862745098039,13.399720807734765,CHI,19.5,42.0,36.06718545800166,0.5296762647379756
00-0035662,Marquise Brown,WR,BAL,5400,5730,17.0,15.7625,0.9081136478831662,0.8993464052287582,13.378710125147254,DEN,21.5,44.0,56.22632250466189,2.1430579091518496
00-0033871,Corey Davis,WR,NYJ,5000,5550,12.866666666666667,11.53125,1.339445351097545,0.8156862745098039,13.328181607002849,TEN,19.5,44.5,54.27901939065939,1.8821477236618105
00-0035685,David Montgomery,RB,CHI,5800,5713,12.4,11.3875,1.188253012048193,0.9411764705882352,13.30144401133948,DET,22.5,42.0,60.11365197762292,2.8318665887923773
00-0036936,Rondale Moore,WR,ARI,4600,5934,12.533333333333331,11.375,1.0605056339361802,1.0457516339869282,13.257475659097608,LA,25.0,53.5,63.01466567586894,3.369586208430604
00-0027942,A.J. Green,WR,ARI,4500,5091,11.366666666666667,12.4,1.0605056339361802,1.0457516339869282,13.178919686213447,LA,25.0,53.5,63.10783337773229,3.3905804473206618
00-0035243,Miles Sanders,RB,PHI,6400,5714,10.9,10.2,1.2981927710843375,0.962091503267974,13.17674147570675,KC,23.0,53.5,62.29041122779469,3.274133813211193
00-0022924,Ben Roethlisberger,QB,PIT,5500,1232,13.013333333333334,13.101249999999997,1.2260563693842117,0.8052287581699347,12.89088755389754,GB,19.25,45.0,28.481347273375317,0.3194316915608711
00-0036984,Trey Sermon,RB,SF,5000,5908,6.1000000000000005,6.983333333333333,1.6701807228915664,1.1398692810457516,12.453944536315197,SEA,27.25,52.0,67.00476003533223,4.483227764235587
00-0033040,Tyreek Hill,WR,KC,8000,5485,17.566666666666666,15.3625,0.5890707764973235,1.2758169934640522,12.373900093514562,PHI,30.5,53.5,67.99324902205458,4.69592685518569
00-0033375,Tim Patrick,WR,DEN,4900,5651,13.8,13.91875,0.947325620902655,0.9411764705882352,12.357026849127278,BAL,22.5,44.0,56.1571302384925,2.133195138670498
00-0033948,Jamaal Williams,RB,DET,5300,5541,15.466666666666669,14.775,1.0015060240963856,0.8156862745098039,12.352431293802663,CHI,19.5,42.0,53.508833055255664,1.823239392127544
00-0036893,Najee Harris,RB,PIT,6800,5904,17.733333333333334,19.78125,0.8177710843373495,0.8052287581699347,12.351541410741005,GB,19.25,45.0,55.58317793699088,2.093640598023416
00-0029701,Ryan Tannehill,QB,TEN,6300,1410,16.746666666666666,17.49875,0.6821318847677992,1.0457516339869282,12.214321890453302,NYJ,25.0,44.5,38.79024593085423,0.6351132716440605
00-0033611,Ricky Seals-Jones,TE,WAS,2500,4712,8.9,8.9,1.3310187174507142,1.0143790849673202,12.01640218327008,ATL,24.25,47.5,67.61240138698193,3.287188645934884
00-0035208,Olamide Zaccheaus,WR,ATL,4100,5799,8.2,8.866666666666667,1.431237015211349,0.9725490196078432,11.877957597612829,WAS,23.25,47.5,56.89307796923853,2.2404664995254127
00-0030578,Cordarrelle Patterson,RB,ATL,4900,5208,16.266666666666666,16.73125,0.7349397590361447,0.9725490196078432,11.792876998188836,WAS,23.25,47.5,56.18500343507705,2.179348902054326
00-0036415,Van Jefferson,WR,LA,3900,5844,8.866666666666667,8.337499999999999,1.1442766672050886,1.192156862745098,11.73459461685051,ARI,28.5,53.5,66.78809780856105,4.333398435203096
00-0033893,Dalvin Cook,RB,MIN,8100,5559,18.6,18.3,0.5903614457831327,1.0666666666666669,11.618313253012053,CLE,25.5,52.0,67.65904406713122,4.683108999703111
00-0034796,Lamar Jackson,QB,BAL,7500,1527,23.180000000000003,23.01625,0.5485551449307627,0.8993464052287582,11.395254341462309,DEN,21.5,44.0,38.05126529642391,0.6045824097529663
