player_id,player_name,position,team,salary,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,injury_status
00-0039163,C.J. Stroud,QB,HOU,5300,15.1225,14.612799999999998,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0033699,Austin Ekeler,RB,WAS,5600,6.55,6.191666666666666,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0035659,Terry McLaurin,WR,WAS,6500,9.825,11.04782608695652,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0039910,Jayden Daniels,QB,WAS,8300,18.593333333333334,17.7228,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0033077,Dak Prescott,QB,DAL,6700,18.76222222222222,16.6402,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,QUESTIONABLE
00-0033040,Tyreek Hill,WR,MIA,6600,13.375,13.8695652173913,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0036997,Javonte Williams,RB,DAL,6100,17.322222222222223,13.949999999999998,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0036358,CeeDee Lamb,WR,DAL,6400,18.06,17.339,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0026158,Joe Flacco,QB,CLE,5100,15.7075,24.373,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0037247,George Pickens,WR,DAL,4800,17.933333333333334,15.917000000000002,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0039398,Joe Milton III,QB,DAL,5000,2.9800000000000004,3.536666666666667,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0039164,Anthony Richardson Sr.,QB,IND,5000,1.0799999999999998,1.2766666666666666,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0040668,Shedeur Sanders,QB,CLE,5000,0.0,0.0,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0040466,Raheim Sanders,RB,CLE,3000,6.3,6.3,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0033591,Noah Brown,WR,WAS,3600,3.3,3.066666666666667,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
00-0031610,Darren Waller,TE,MIA,3900,11.425,8.895652173913042,1.0,1.0,0.0,BYE_OR_UNKNOWN,0.0,0.0,ACTIVE
