player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available
00-0039890,Adonai Mitchell,WR,NYJ,5400,134515-151789,9.5042,9.5042,1.0,0.9224616251232222,8.767231864977745,DET,20.47,47.5,2.0,1.0,6.8302,statline_mc+recal_10_4b,1.6799301029025075,19.40584473044723,0.0,0.0,0.0,0.047,0.3096895658227644,0.0005,7.02725,4.26475,49.60887908395466,0.28125,8.767231864977745,0.0,8.399999618530273,75.95255398671097,5.528640060523376,,classic,True
00-0039894,Xavier Worthy,WR,KC,6000,134515-158974,6.8251,6.8251,1.0,1.2780171806787777,8.722540401201996,MIA,28.36,45.89,2.0,1.0,6.8519,statline_mc+recal_10_4b,1.3149651921647856,20.259342398013803,0.0,0.0,0.0,0.046,0.4119949537106762,0.00175,5.54225,3.44125,47.7971590583093,0.3685,8.722540401201996,0.0,7.150000095367432,88.80684177740864,11.77615166276638,,classic,True
DST_NYG,New York Giants,D,NYG,4600,134515-12543,8.703487431,8.703487431,1.1988246513996061,1.2598762619181156,8.703487431,TEN,20.5,38.33,,,5.7849,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.703487431,0.0,3.5,53.4108382936508,3.955649479013105,,classic,True
00-0036900,Ja'Marr Chase,WR,CIN,8900,134515-85701,8.4029,8.4029,1.0,1.0351218138290383,8.698044385252604,PIT,22.97,42.44,2.0,1.0,6.8496,statline_mc+recal_10_4b,1.4691513622863412,19.721759907806458,0.0,0.0,0.0,0.154,0.9456611010145822,0.0055,5.87225,3.71425,46.17353275151146,0.35625,8.698044385252604,0.0,12.600000381469728,79.7689991694352,6.920158267581933,,classic,True
00-0039893,Brian Thomas Jr.,WR,JAX,5700,134515-151745,7.8395,7.8395,1.0,1.099112801013942,8.616522524866722,NE,24.39,45.83,2.0,1.0,6.76,statline_mc+recal_10_4b,1.426520205815869,19.738642162954026,0.0,0.0,0.0,0.04875,0.2660962091525607,0.002,5.98975,3.6095,50.80162903951468,0.2885,8.616522524866722,0.0,5.5,84.02940718438538,8.891100890665284,,classic,True
00-0037838,Isaiah Likely,TE,NYG,5600,134515-87260,9.3192,9.3192,1.0,0.923813547387692,8.609181441795117,TEN,20.5,38.33,2.0,1.0,6.0473,statline_mc+recal_10_4b,1.847955762934463,18.394590937290577,0.0,0.0,0.0,0.0,0.0,0.0,6.891,4.7125,41.33931441795117,0.36725,8.609181441795117,0.0,14.800000190734863,70.17376458628004,2.746150655302675,,classic,True
00-0034827,DJ Moore,WR,BUF,6700,134515-63043,6.6056,6.6056,1.0,1.2942402478524153,8.549263655547847,LAC,28.72,50.17,2.0,1.0,7.0289,statline_mc+recal_10_4b,1.0898427647646403,20.54597228518812,0.0,0.0,0.0,0.37575,2.777120884162734,0.0215,4.4895,2.77275,49.301765671315735,0.31,8.549263655547847,0.0,10.699999809265137,92.24953280730897,14.419589700182247,,classic,True
DST_SEA,Seattle Seahawks,D,SEA,4800,134515-12550,8.5130422605,8.5130422605,1.1725925959223724,1.3730803025672373,8.5130422605,WAS,23.81,40.17,,,5.866,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5130422605,0.0,10.5,57.27368551587301,5.117509797611686,,classic,True
DST_CAR,Carolina Panthers,D,CAR,3800,134515-12553,8.4922545195,8.4922545195,1.1697292774474184,1.132808560262229,8.4922545195,CLE,22.28,42.11,,,6.197,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4922545195,0.0,13.0,60.09362599206348,6.175957831069956,,classic,True
DST_BUF,Buffalo Bills,D,BUF,4400,134515-12526,8.399282575500001,8.399282575500001,1.1569232546617987,1.0477422458022387,8.399282575500001,LAC,28.72,50.17,,,6.3012,dst_simulated_session_10_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.399282575500001,0.0,4.5,76.53893849206348,18.486082496777243,,classic,True
00-0036875,Rhamondre Stevenson,RB,NE,5900,134515-111540,8.6786,8.6786,1.0,0.9661737783410789,8.385055463904836,JAX,21.44,45.83,2.0,1.0,6.8723,statline_mc+recal_10_4b,1.7074400438793707,18.582268891413317,0.0,0.0,0.0,8.512,34.30094069263747,0.1975,3.49875,2.632,20.169613946410895,0.0905,8.385055463904836,0.0,7.550000190734863,74.35666454081633,5.312139496029229,,classic,True
