player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct,roster_role,slate_format,ownership_available,injury_status
00-0038544,Quentin Johnston,WR,LAC,4700,44096049,5.4131,5.4131,0.980121153333867,1.2686768676867688,6.730969446224032,ARI,28.19,47.17,13.0,0.6,7.2556,statline_mc+recal_10_4b,0.5012401934078471,15.953263414587706,0.0,0.0,0.0,0.0,0.0,0.0,3.02075,1.826,31.659694462240328,0.2565,64.38307989775184,8.191278761402428,,classic,True,ACTIVE
00-0031588,Stefon Diggs,WR,WAS,5200,44096041,8.96,8.96,0.8700295417269427,0.8613861386138615,6.714899220490536,PHI,19.14,44.17,17.0,1.0,6.7026,statline_mc+recal_10_4b,1.169066232478167,14.276692864987782,0.0,0.0,0.0,0.0,0.0,0.0,3.96025,3.057,27.743992204905364,0.12475,66.20289047650259,9.116789409765197,,classic,True,ACTIVE
00-0039338,Brock Bowers,TE,LV,6900,44096175,5.5649,5.5649,1.2240159775667112,0.9761476147614764,0.0,MIA,21.69,40.39,12.0,0.6,6.3141,statline_mc+recal_10_4b,1.0647787175363417,15.06475094936064,0.0,0.0,0.0,0.0,0.0,0.0,3.11425,2.232,28.16363229318632,0.245,48.53564124214279,1.856059816990788,,classic,True,OUT
00-0038454,Keaton Mitchell,RB,LAC,4800,44095953,4.0519,4.0519,1.1940378460178651,1.2686768676867688,6.138081627602285,ARI,28.19,47.17,13.0,1.0,7.0335,statline_mc+recal_10_4b,0.4421169194828487,15.1155122078859,0.0,0.0,0.0,4.60025,36.325662505197336,0.18475,0.617,0.45625,5.502653770825507,0.0255,83.34114832535884,27.34091085176633,,classic,True,ACTIVE
00-0037252,Greg Dulcich,TE,MIA,3500,44096185,9.4496,9.4496,0.7564392199635259,0.8411341134113413,6.012438933719577,LV,18.69,40.39,9.0,1.0,5.6849,statline_mc+recal_10_4b,1.249982909502239,12.387136975706278,0.0,0.0,0.0,0.0,0.0,0.0,4.10425,2.94175,22.21938933719577,0.13125,59.750445632798574,3.589992950135493,,classic,True,ACTIVE
DST_ARI,Cardinals,DST,ARI,2000,44096284,5.9162114655,5.9162114655,0.7932691005175757,0.8082904415455767,5.9162114655,LAC,18.97,47.17,,,5.9928,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.55083732057416,5.548872786791186,,classic,True,ACTIVE
00-0038400,Tanner McKee,QB,PHI,4000,44095923,4.3574,4.3574,1.1995381395684492,1.1264626462646266,0.0,WAS,25.03,44.17,4.0,0.6,7.1405,statline_mc+recal_10_4b,1.501461248393236,11.890902308812365,9.51225,86.34423205006402,0.49825,0.847,4.213126901839452,0.04675,0.0,0.0,0.0,0.0,48.45570618465354,1.3720462353346703,,classic,True,OUT
00-0035659,Terry McLaurin,WR,WAS,5700,44096037,7.704,7.704,0.8700295417269427,0.8613861386138615,5.773623293412535,PHI,19.14,44.17,10.0,1.0,6.5295,statline_mc+recal_10_4b,0.8666020704811083,12.5157735553877,0.0,0.0,0.0,0.0,0.0,0.0,3.74925,2.32925,24.603732934125343,0.141,64.42206855869436,8.210086614147325,,classic,True,ACTIVE
00-0040242,Jacory Croskey-Merritt,RB,WAS,5300,44095943,6.4535,6.4535,1.0360113029154558,0.8613861386138615,5.759161693270026,PHI,19.14,44.17,17.0,1.0,7.1077,statline_mc+recal_10_4b,0.3605056513321112,15.066186737340756,0.0,0.0,0.0,8.93725,36.701616932700254,0.3175,0.0,0.0,0.0,0.0,65.5933014354067,5.446338347885352,,classic,True,ACTIVE
00-0037809,Chig Okonkwo,TE,WAS,4000,44096183,10.6394,10.6394,0.6272694818177075,0.8613861386138615,5.748668258542898,PHI,19.14,44.17,17.0,1.0,5.5453,statline_mc+recal_10_4b,1.2287186026751666,11.427681850792172,0.0,0.0,0.0,0.0,0.0,0.0,4.57825,3.1845,18.421682585428982,0.11575,67.19134065109297,5.5614003925152256,,classic,True,QUESTIONABLE
