player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,sigma,dst_p10,dst_p90,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available
00-0038559,Michael Wilson,WR,ARI,7600,43716700,12.976470588235294,19.874,0.8647810592275972,1.0,14.204232375709573,CAR,0.0,0.0,,,,FLEX,showdown,64.78658536585365,31.510563200472824,True
00-0033119,Jacoby Brissett,QB,ARI,7600,43716684,16.245714285714286,15.7014,0.8475616769546165,1.0,13.538574878930392,CAR,0.0,0.0,,,,FLEX,showdown,63.56707317073171,29.050102634101425,True
00-0040279,Ryan Fitzgerald,K,CAR,11400,43716751,12.103124999999999,12.103124999999999,1.0,1.0,12.103124999999999,ARI,0.0,0.0,7.295014639896538,3.0,22.5,CPT,showdown,57.46951219512196,3.8693248669266502,True
00-0036555,Chuba Hubbard,RB,CAR,11400,43716745,12.540000000000003,7.6245,1.1940378460178651,1.0,12.038588073013623,ARI,0.0,0.0,,,,CPT,showdown,56.25,3.567193762732024,True
00-0033553,James Conner,RB,ARI,7600,43716706,11.1,10.34375,1.0994897617548982,1.0,11.7885917893158,CAR,0.0,0.0,,,,FLEX,showdown,62.34756097560976,26.78176387019204,True
00-0039849,Marvin Harrison Jr.,WR,ARI,11400,43716748,15.975000000000001,10.056,0.8647810592275972,1.0,11.255557876376791,CAR,0.0,0.0,,,,CPT,showdown,55.03048780487805,3.2886541653922796,True
00-0038567,Chad Ryland,K,ARI,11400,43716752,11.12655,11.12655,1.0,1.0,11.12655,CAR,0.0,0.0,6.955828798584232,3.0,21.0,CPT,showdown,53.8109756097561,3.0318639633606175,True
00-0040124,Tetairoa McMillan,WR,CAR,7600,43716688,12.552941176470588,10.053999999999998,0.9815399007789108,1.0,11.094807399633806,ARI,0.0,0.0,,,,FLEX,showdown,61.12804878048781,24.690545332419592,True
00-0039921,Trey Benson,RB,ARI,7600,43716713,8.850000000000001,9.092391304347826,1.0994897617548982,1.0,9.863737770265276,CAR,0.0,0.0,,,,FLEX,showdown,59.90853658536585,22.762616822664707,True
00-0039491,Jalen Coker,WR,CAR,7600,43716701,8.218181818181819,11.357,0.9815399007789108,1.0,9.606911009773661,ARI,0.0,0.0,,,,FLEX,showdown,58.689024390243894,20.985228055498872,True
00-0037005,Tommy Tremble,TE,CAR,11400,43716750,6.390000000000001,8.538,1.2737366136715011,1.0,9.507170084444086,ARI,0.0,0.0,,,,CPT,showdown,52.59146341463414,2.795124883929011,True
00-0037263,Tyler Allgeier,RB,ARI,11400,43716757,10.852941176470589,6.243000000000001,1.0994897617548982,1.0,9.398406145546701,CAR,0.0,0.0,,,,CPT,showdown,51.3719512195122,2.576871261763107,True
DST_ARI,Cardinals,DST,ARI,11400,43716754,8.747012745000003,8.747012745000003,1.0536342894891848,0.8085860447249851,8.747012745000003,LAC,17.89,46.22,,,,CPT,showdown,67.59146341463415,7.5979371802579285,True
00-0039356,Ja'Tavion Sanders,TE,CAR,11400,43716761,6.75,6.6419999999999995,1.2737366136715011,1.0,8.528940365144372,ARI,0.0,0.0,,,,CPT,showdown,48.93292682926829,2.1901594464483485,True
00-0040279,Ryan Fitzgerald,K,CAR,7600,43716692,8.06875,8.06875,1.0,1.0,8.06875,ARI,0.0,0.0,4.863343093264358,2.0,15.0,FLEX,showdown,57.46951219512196,19.34662433463325,True
00-0036555,Chuba Hubbard,RB,CAR,7600,43716686,8.360000000000001,5.083,1.1940378460178651,1.0,8.025725382009082,ARI,0.0,0.0,,,,FLEX,showdown,56.25,17.83596881366012,True
