player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,roster_role,slate_format,chalk_score,estimated_ownership_pct,ownership_available,estimated_ownership_pct_heuristic,injury_raw_status,injury_status
00-0036970,Kyle Pitts Sr.,TE,ATL,6600,44225877,8.5012,8.5012,1.0,0.8514851485148516,7.238656159671576,GB,18.92,43.0,2.0,1.0,6.1565,statline_mc+recal_10_4b,1.5411706618076848,15.033125244249891,0.0,0.0,0.0,0.0,0.0,0.0,4.63275,2.906,30.95906159671576,0.1835,7.238656159671576,0.0,FLEX,showdown,57.617924528301884,1.5933425804587422,True,8.770489304556937,,ACTIVE
00-0039811,MarShawn Lloyd,RB,GB,7400,44225875,6.6237,6.6237,1.0,1.0837083708370836,7.17813918611441,ATL,24.08,43.0,2.0,1.0,7.021,statline_mc+recal_10_4b,1.0178950645727505,15.92019234013251,0.0,0.0,0.0,7.48275,30.927246160646305,0.2405,1.61225,1.21725,8.499145700497799,0.07425,7.17813918611441,0.0,FLEX,showdown,64.59905660377359,1.5933425804587422,True,13.968452622995306,,ACTIVE
00-0040142,Kaleb Johnson,RB,GB,6000,44225940,6.57615,6.57615,1.0,1.0837083708370836,7.12670653019554,ATL,24.08,43.0,2.0,1.0,10.218,statline_mc+recal_10_4b,0.2834154926319516,18.26320330441441,0.0,0.0,0.0,3.494,29.731519160718356,0.20025,0.24475,0.1855,1.4698577072519123,0.0155,4.751137686797026,0.0,CPT,showdown,58.37264150943396,0.8467848607762581,True,1.8526842002506827,,ACTIVE
DST_ATL,Falcons,DST,ATL,3400,44225889,5.938063146000001,5.938063146000001,0.8506820443586675,0.9334250415282392,5.938063146000001,GB,18.92,43.0,,,5.788,dst_simulated_session_10_4+recal_10_4b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.938063146000001,0.0,FLEX,showdown,60.825471698113205,8.44263427775869,True,10.861550498426812,,ACTIVE
00-0039146,Jayden Reed,WR,GB,6200,44225878,5.1716,5.1716,1.0,1.0837083708370836,0.0,ATL,24.08,43.0,2.0,1.0,6.5456,statline_mc+recal_10_4b,0.7897657360083392,12.531443519866706,0.0,0.0,0.0,0.02575,0.1336245552121323,0.00075,3.29275,1.95825,25.51900966002253,0.15875,5.604513421523466,0.0,FLEX,showdown,34.59905660377358,0.0,True,11.494088381251093,Out,OUT
00-0037746,Brian Robinson Jr.,RB,ATL,4400,44225886,6.519,6.519,1.0,0.8514851485148516,5.550813555969885,GB,18.92,43.0,2.0,1.0,6.4256,statline_mc+recal_10_4b,0.7225811126571353,12.56866626201096,0.0,0.0,0.0,6.86675,25.210161473469974,0.1455,1.4355,1.0965,7.54547408622888,0.03575,5.550813555969885,0.0,FLEX,showdown,52.995283018867916,18.34591436488344,True,6.323978835613458,,ACTIVE
00-0038685,Chris Brooks,RB,GB,5400,44225881,4.9963,4.9963,1.0,1.0837083708370836,5.414518432762204,ATL,24.08,43.0,2.0,1.0,6.4432,statline_mc+recal_10_4b,0.6381316350685746,12.205529952958836,0.0,0.0,0.0,4.616,19.89563685585676,0.16325,1.62575,1.17475,9.267047471765276,0.046,5.414518432762204,0.0,FLEX,showdown,61.014150943396224,1.5933425804587422,True,10.79345322690295,,ACTIVE
00-0037741,Jahan Dotson,WR,ATL,3000,44225890,6.0776,6.0776,1.0,0.8514851485148516,5.174965635551638,GB,18.92,43.0,2.0,1.0,6.4023,statline_mc+recal_10_4b,0.5085827666114423,11.57828533122921,0.0,0.0,0.0,0.016,0.0837226377582893,0.00025,3.3655,1.9755,22.96093371775808,0.1315,5.174965635551638,0.0,FLEX,showdown,58.08962264150943,30.473121246157508,True,8.881506683473972,,ACTIVE
00-0038090,Skyy Moore,WR,GB,3600,44225945,4.6188,4.6188,1.0,1.0837083708370836,5.005487266070913,ATL,24.08,43.0,2.0,1.0,8.538,statline_mc+recal_10_4b,0.0,12.897861708277846,0.0,0.0,0.0,0.01025,0.0544909064345744,0.001,2.02275,1.205,13.325424200704852,0.12625,3.336991510713942,0.0,CPT,showdown,58.46698113207547,0.8467848607762581,True,1.8643730209070757,,ACTIVE
00-0040142,Kaleb Johnson,RB,GB,4000,44225887,4.3841,4.3841,1.0,1.0837083708370836,4.751137686797026,ATL,24.08,43.0,2.0,1.0,6.812,statline_mc+recal_10_4b,0.1889436617546344,12.175468869609608,0.0,0.0,0.0,3.494,29.731519160718356,0.20025,0.24475,0.1855,1.4698577072519123,0.0155,4.751137686797026,0.0,FLEX,showdown,60.35377358490566,10.471872711733086,True,10.32857793857786,,ACTIVE
00-0035208,Olamide Zaccheaus,WR,ATL,3000,44225946,5.389950000000001,5.389950000000001,1.0,0.8514851485148516,4.589482404575354,GB,18.92,43.0,2.0,1.0,7.991849999999999,statline_mc+recal_10_4b,0.0,11.339763024383185,0.0,0.0,0.0,0.0145,0.0795577327996711,0.0005,2.20325,1.3095,12.181991631036018,0.08375,3.059654936383569,0.0,CPT,showdown,51.95754716981131,0.8467848607762581,True,1.207995712925746,,ACTIVE
00-0041044,Zachariah Branch,WR,ATL,5700,44225941,5.0946,5.0946,1.0,0.8514851485148516,4.3379514018101375,GB,18.92,43.0,2.0,1.0,8.0985,statline_mc+recal_10_4b,0.0,10.546564227141973,0.0,0.0,0.0,0.02525,0.1946576309749728,0.0015,1.88825,1.19975,12.74251838109261,0.06025,2.8919676012067583,0.0,CPT,showdown,43.561320754716974,0.8467848607762581,True,0.6320187664446678,,ACTIVE
00-0033858,Jonnu Smith,TE,GB,4200,44225944,3.95775,3.95775,1.0,1.0837083708370836,4.289036351474779,ATL,24.08,43.0,1.0,0.5,7.3479,statline_mc+recal_10_4b,0.0,11.730528435843686,0.0,0.0,0.0,0.0,0.0,0.0,1.673,1.1185,11.00107567649853,0.105,2.859357567649853,0.0,CPT,showdown,53.65566037735849,0.8467848607762581,True,1.352791313930923,,ACTIVE
00-0036463,Chris Blair,WR,ATL,1500,44225949,4.314,4.314,1.0,0.8514851485148516,3.6733474411810576,GB,18.92,43.0,2.0,1.0,7.419,statline_mc+recal_10_4b,0.0,8.398972688450497,0.0,0.0,0.0,0.014,0.0596550827266629,0.00025,1.785,1.0565,10.831827858480386,0.04575,2.448898294120705,0.0,CPT,showdown,58.84433962264151,0.2598544748563344,True,1.9118704335610588,,ACTIVE
00-0032392,Austin Hooper,TE,ATL,2400,44225947,4.305149999999999,4.305149999999999,1.0,0.8514851485148516,3.6657344204705096,GB,18.92,43.0,1.0,0.5,6.96735,statline_mc+recal_10_4b,0.0,9.570857484286645,0.0,0.0,0.0,0.0,0.0,0.0,1.621,1.06,9.6907294698034,0.068,2.44382294698034,0.0,CPT,showdown,57.240566037735846,0.8467848607762581,True,1.7180051280716429,,ACTIVE
00-0038090,Skyy Moore,WR,GB,2400,44225892,3.0792,3.0792,1.0,1.0837083708370836,3.336991510713942,ATL,24.08,43.0,2.0,1.0,5.692,statline_mc+recal_10_4b,0.0,8.59857447218523,0.0,0.0,0.0,0.01025,0.0544909064345744,0.001,2.02275,1.205,13.325424200704852,0.12625,3.336991510713942,0.0,FLEX,showdown,67.52358490566039,9.64574597033951,True,16.65819073970276,,ACTIVE
00-0035208,Olamide Zaccheaus,WR,ATL,2000,44225893,3.5933,3.5933,1.0,0.8514851485148516,3.059654936383569,GB,18.92,43.0,2.0,1.0,5.3279,statline_mc+recal_10_4b,0.0,7.559842016255457,0.0,0.0,0.0,0.0145,0.0795577327996711,0.0005,2.20325,1.3095,12.181991631036018,0.08375,3.059654936383569,0.0,FLEX,showdown,56.485849056603776,1.5933425804587422,True,7.98091427084331,,ACTIVE
00-0041044,Zachariah Branch,WR,ATL,3800,44225888,3.3964,3.3964,1.0,0.8514851485148516,2.8919676012067583,GB,18.92,43.0,2.0,1.0,5.399,statline_mc+recal_10_4b,0.0,7.031042818094648,0.0,0.0,0.0,0.02525,0.1946576309749728,0.0015,1.88825,1.19975,12.74251838109261,0.06025,2.8919676012067583,0.0,FLEX,showdown,44.221698113207545,1.5933425804587422,True,3.226482704160518,,ACTIVE
00-0037091,Bo Melton,WR,GB,1800,44225948,2.64945,2.64945,1.0,1.0837083708370836,2.8711748552017053,ATL,24.08,43.0,2.0,1.0,7.4307,statline_mc+recal_10_4b,0.0,9.135228701826264,0.0,0.0,0.0,0.0125,0.059325052594859,0.00025,0.97,0.597,8.41184064874984,0.0765,1.9141165701344705,0.0,CPT,showdown,62.429245283018865,0.8467848607762581,True,2.4280191447431,,ACTIVE
00-0033858,Jonnu Smith,TE,GB,2800,44225891,2.6385,2.6385,1.0,1.0837083708370836,2.859357567649853,ATL,24.08,43.0,1.0,0.5,4.8986,statline_mc+recal_10_4b,0.0,7.820352290562457,0.0,0.0,0.0,0.0,0.0,0.0,1.673,1.1185,11.00107567649853,0.105,2.859357567649853,0.0,FLEX,showdown,55.636792452830186,1.5933425804587422,True,7.541711921910981,,ACTIVE
00-0036463,Chris Blair,WR,ATL,1000,44225896,2.876,2.876,1.0,0.8514851485148516,2.448898294120705,GB,18.92,43.0,2.0,1.0,4.946,statline_mc+recal_10_4b,0.0,5.599315125633665,0.0,0.0,0.0,0.014,0.0596550827266629,0.00025,1.785,1.0565,10.831827858480386,0.04575,2.448898294120705,0.0,FLEX,showdown,52.33490566037736,4.314255586893011,True,6.051604330182719,,ACTIVE
00-0032392,Austin Hooper,TE,ATL,1600,44225894,2.8701,2.8701,1.0,0.8514851485148516,2.44382294698034,GB,18.92,43.0,1.0,0.5,4.6449,statline_mc+recal_10_4b,0.0,6.380571656191095,0.0,0.0,0.0,0.0,0.0,0.0,1.621,1.06,9.6907294698034,0.068,2.44382294698034,0.0,FLEX,showdown,51.39150943396226,7.834475394981895,True,5.682721945317158,,ACTIVE
00-0036429,Charlie Woerner,TE,ATL,900,44225951,2.29725,2.29725,1.0,0.8514851485148516,1.9560441904796544,GB,18.92,43.0,1.0,0.5,6.0342,statline_mc+recal_10_4b,0.0,4.845662933415702,0.0,0.0,0.0,0.0,0.0,0.0,0.89075,0.58475,5.070294603197695,0.0355,1.3040294603197695,0.0,CPT,showdown,48.75,0.2598544748563344,True,0.8932183261216544,,ACTIVE
00-0037091,Bo Melton,WR,GB,1200,44225895,1.7663,1.7663,1.0,1.0837083708370836,1.9141165701344705,ATL,24.08,43.0,2.0,1.0,4.9538,statline_mc+recal_10_4b,0.0,6.090152467884176,0.0,0.0,0.0,0.0125,0.059325052594859,0.00025,0.97,0.597,8.41184064874984,0.0765,1.9141165701344705,0.0,FLEX,showdown,58.56132075471698,7.834475394981895,True,8.392743308118511,,ACTIVE
00-0040948,J. Michael Sturdivant,WR,GB,1200,44225950,1.479,1.479,1.0,1.0837083708370836,1.6027478734191298,ATL,24.08,43.0,1.0,0.5,6.58095,statline_mc+recal_10_4b,0.0,4.300037105719555,0.0,0.0,0.0,0.0225,0.134678810334275,0.00125,0.54775,0.33975,4.682807012459923,0.039,1.06849858227942,0.0,CPT,showdown,56.580188679245275,0.2598544748563344,True,1.5054447007301917,,ACTIVE
00-0037317,Nick Muse,TE,ATL,300,44225969,1.75425,1.75425,1.0,0.8514851485148516,1.4936805037694694,GB,18.92,43.0,1.0,0.5,5.73435,statline_mc+recal_10_4b,0.0,3.940112800284716,0.0,0.0,0.0,0.0,0.0,0.0,0.668,0.454,3.985370025129796,0.0245,0.9957870025129796,0.0,CPT,showdown,46.20283018867924,0.2598544748563344,True,0.7537190730185048,,ACTIVE
00-0036429,Charlie Woerner,TE,ATL,600,44225898,1.5315,1.5315,1.0,0.8514851485148516,1.3040294603197695,GB,18.92,43.0,1.0,0.5,4.0228,statline_mc+recal_10_4b,0.0,3.230441955610468,0.0,0.0,0.0,0.0,0.0,0.0,0.89075,0.58475,5.070294603197695,0.0355,1.3040294603197695,0.0,FLEX,showdown,47.52358490566037,1.6141134449611985,True,4.020950767459092,,ACTIVE
00-0036212,Tua Tagovailoa,QB,ATL,12900,44225923,1.48665,1.48665,1.0,0.8514851485148516,1.2659015538264462,GB,18.92,43.0,0.0,0.0,9.50385,statline_mc+recal_10_4b,0.0,3.6121332341226977,0.0,0.0,0.0,1.74625,5.946843692176308,0.06125,0.0,0.0,0.0,0.0,0.8439343692176308,0.0,CPT,showdown,39.59905660377358,0.8467848607762581,True,0.3894137324135568,,ACTIVE
00-0028118,Tyrod Taylor,QB,GB,9000,44225932,1.08135,1.08135,1.0,1.0837083708370836,1.1717952217717278,ATL,24.08,43.0,0.0,0.0,9.57135,statline_mc+recal_10_4b,0.0,2.8905626500515584,0.0,0.0,0.0,1.1125,5.149468145144852,0.056,0.0,0.0,0.0,0.0,0.7811968145144852,0.0,CPT,showdown,44.69339622641509,0.8467848607762581,True,0.5468994689847103,,ACTIVE
