player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,chalk_score,estimated_ownership_pct
00-0026345,Pierre Garcon,WR,SF,5800,3754,16.2359,16.2359,1.1770119737451032,0.9509001636661211,18.171565956827653,DAL,20.75,48.0,16.592261262939665,statline_mc,4.907586199973529,38.12555490257423,0.0,0.0,0.0,0.0,0.0,0.0,10.38425,6.19225,89.50815956827651,0.3725,68.89107878316511,5.950073981953753
00-0031045,Carlos Hyde,RB,SF,5900,2933,16.471,16.471,1.1552283092477609,0.9509001636661211,18.09347017007265,DAL,20.75,48.0,15.913069647002562,statline_mc,4.196223422302031,38.07410478868422,0.0,0.0,0.0,14.16525,66.84477184643326,0.591,4.58225,3.516,28.997429854293237,0.128,68.28550819376507,5.1182463923150445
00-0027944,Julio Jones,WR,ATL,8500,5089,11.875,11.875,1.223837986168597,1.2258592471358427,17.815454477349775,NE,26.75,56.5,17.430949046776686,statline_mc,3.858474086471221,38.79506485907241,0.0,0.0,0.0,0.0,0.0,0.0,7.33725,4.769,97.64704477349777,0.40475,77.57371007371007,10.61476269693055
00-0032156,Trevor Siemian,QB,DEN,5400,1488,19.989,19.989,0.91820773941654,0.9623567921440261,17.663109754576823,LAC,21.0,41.0,10.49233857107986,statline_mc,6.002641241640787,31.38688705354392,39.6595,250.5109416392924,1.56675,3.04925,10.259220890051266,0.1235,0.0,0.0,0.0,0.0,44.46463209621105,1.162046775162816
00-0033899,DeShone Kizer,QB,CLE,4900,1517,16.3049,16.3049,1.243830022385194,0.8477905073649754,17.193605522315096,TEN,18.5,42.5,10.116248658768043,statline_mc,6.012627252315938,30.80754786217344,39.38625,238.5738408158972,1.241,4.59625,20.686518896792077,0.2295,0.0,0.0,0.0,0.0,47.59472391051339,1.4316901927000507
00-0027874,Demaryius Thomas,WR,DEN,5800,3997,16.6795,16.6795,1.0705323330226375,0.9623567921440261,17.183821923665477,LAC,21.0,41.0,16.046334141763808,statline_mc,4.306826245253174,35.88553116359447,0.0,0.0,0.0,0.0,0.0,0.0,9.65425,6.05175,82.2707192366548,0.3615,70.01082671945981,6.411245230803371
00-0031381,Davante Adams,WR,GB,5800,5263,14.4248,14.4248,1.228948174606796,0.9623567921440261,17.059997046124344,NO,21.0,45.5,16.612227108994432,statline_mc,3.687675874389342,36.71613227902603,0.0,0.0,0.0,0.0,0.0,0.0,8.63,5.0785,73.70997046124342,0.6615,69.68708571226557,6.27435557183628
00-0032144,Melvin Gordon,RB,LAC,7000,2991,25.5725,25.5725,0.7253145777240507,0.9165302782324058,16.999907258733273,DEN,20.0,41.0,13.279092066357084,statline_mc,4.998175423302047,33.67841280652606,0.0,0.0,0.0,17.55275,44.537295730362864,0.36225,7.80475,5.74325,28.69427685696986,0.22725,66.17226066767351,4.445661649757612
00-0021429,Carson Palmer,QB,ARI,6600,1207,18.1668,18.1668,0.95310348703251,0.9738134206219312,16.861393527236846,LA,21.25,45.5,10.102016534124727,statline_mc,5.822681816745566,30.501923212414475,37.36875,255.09870409892974,1.34725,2.70375,8.119453632796576,0.09625,0.0,0.0,0.0,0.0,49.7064528643476,1.648123930997885
00-0028237,Chris Hogan,WR,NE,7000,5167,11.6398,11.6398,1.0618762995456883,1.3633387888707036,16.850922318746232,ATL,29.75,56.5,17.81019054215279,statline_mc,3.1140361149659506,37.91445581285199,0.0,0.0,0.0,0.0,0.0,0.0,7.0305,4.222,77.4142231874623,0.70125,81.50195322857194,13.792550346643862
00-0031590,Jay Ajayi,RB,MIA,6200,2998,14.4337,14.4337,1.1736908621352822,0.9852700490998363,16.69111571290482,NYJ,21.5,40.0,16.680061438837843,statline_mc,3.0164358339116197,36.671764428284,0.0,0.0,0.0,21.76675,97.90639787541036,0.40875,2.45,1.73825,14.132259253637855,0.0695,71.92908504835111,6.5254962406412
00-0033280,Christian McCaffrey,RB,CAR,6100,5536,17.4189,17.4189,0.983936846346869,0.9623567921440261,16.49393636724066,CHI,21.0,39.5,15.156626496120586,statline_mc,4.6314650585464685,32.3508138238667,0.0,0.0,0.0,4.44725,14.365631630421118,0.09175,9.378,6.98425,53.391232041985525,0.2965,68.62807970606136,5.236482423571164
00-0031408,Mike Evans,WR,TB,7600,5253,16.8555,16.8555,0.9780274933352454,0.9967266775777414,16.431198859194257,BUF,21.75,46.5,16.050088380249814,statline_mc,3.989910585054559,34.48532102020564,0.0,0.0,0.0,0.0,0.0,0.0,9.213,5.3915,74.36448859194259,0.49575,71.24608912378697,6.961565260397777
00-0032765,Michael Thomas,WR,NO,7500,5459,14.4523,14.4523,1.0095229404441437,1.1227495908346972,16.380875908258353,GB,24.5,45.5,17.282441316654424,statline_mc,3.8594593520136,34.11087633026376,0.0,0.0,0.0,0.0,0.0,0.0,8.4675,5.33775,75.58875908258352,0.47325,75.84413059233204,9.458751907577007
00-0032058,Tevin Coleman,RB,ATL,4800,2994,10.3948,10.3948,1.2762606003992891,1.2258592471358427,16.262890203106036,NE,26.75,56.5,15.148041575417496,statline_mc,3.263051914745539,34.92894626574379,0.0,0.0,0.0,8.00225,60.612961598106544,0.37,3.5665,2.6365,36.000940432953826,0.16575,77.11499447737981,9.220638601366588
00-0032392,Austin Hooper,TE,ATL,4100,4677,9.7363,9.7363,1.3586187376167562,1.2258592471358427,16.215574933094132,NE,26.75,56.5,16.292240986334207,statline_mc,3.186976866029841,35.61848766827467,0.0,0.0,0.0,0.0,0.0,0.0,5.7385,4.057,83.77824933094129,0.50625,82.73854523854524,9.764659460213378
00-0022942,Philip Rivers,QB,LAC,5300,1231,18.9126,18.9126,0.9312668842298784,0.9165302782324058,16.142513264357863,DEN,20.0,41.0,9.708978768045771,statline_mc,5.6828669955801665,29.44370915060377,39.24225,238.91447960295378,1.491,1.67625,5.156840802397109,0.05875,0.0,0.0,0.0,0.0,40.04720031035821,0.8656171651324778
00-0027696,Jimmy Graham,TE,SEA,4900,4492,10.1169,10.1169,1.6143587352857929,0.9852700490998363,16.09180718784002,NYG,21.5,39.0,14.258782174913826,statline_mc,3.638181890580383,34.7453314794193,0.0,0.0,0.0,0.0,0.0,0.0,7.37325,4.64875,72.81807187840015,0.5895,77.17255717255718,6.7376002743759305
00-0027656,Rob Gronkowski,TE,NE,7300,4494,11.8234,11.8234,0.9909924909675164,1.3633387888707036,15.974046369008835,ATL,29.75,56.5,14.673146066260596,statline_mc,3.414515815540831,33.74898868267767,0.0,0.0,0.0,0.0,0.0,0.0,6.50075,4.2925,75.03296369008835,0.58625,81.22485622485623,8.827369711311828
00-0022921,Larry Fitzgerald,WR,ARI,7300,3501,18.937,18.937,0.8405738533036976,0.9738134206219312,15.501100119487724,LA,21.25,45.5,12.838623477244195,statline_mc,4.635701597081875,31.360223552711854,0.0,0.0,0.0,0.0,0.0,0.0,10.14425,6.58625,60.59850119487724,0.39125,66.98778569282166,5.241026873711062
00-0024389,Delanie Walker,TE,TEN,5800,4360,9.0588,9.0588,1.5317760277051664,1.099836333878887,15.261320560086832,CLE,24.0,42.5,14.428921635695733,statline_mc,3.356281608005116,32.15490093878609,0.0,0.0,0.0,0.0,0.0,0.0,6.4715,4.23375,76.1357056008683,0.45625,77.40637740637742,6.843448934455144
00-0031382,Jarvis Landry,WR,MIA,6800,5335,18.4324,18.4324,0.8306663451071902,0.9852700490998363,15.085632700574466,NYJ,21.5,40.0,12.18948701841065,statline_mc,4.7682515221283435,29.92921758367962,0.0,0.0,0.0,0.081,0.5500922499021633,0.00175,10.99025,7.09375,52.6712347558425,0.37725,69.07349795839005,6.022876275050843
00-0030431,Robert Woods,WR,LA,4000,5217,11.1105,11.1105,1.218102060370619,1.111292962356792,15.039916417135206,ARI,24.25,45.5,15.652037082348729,statline_mc,3.1038434894867835,34.08492172858796,0.0,0.0,0.0,0.245,2.4258967079844793,0.01225,6.86175,4.15225,78.32076746336756,0.3395,69.53674897919502,6.211785241646577
00-0031062,James White,RB,NE,5000,2954,13.1378,13.1378,0.8334523874938183,1.3633387888707036,14.928239380871556,ATL,29.75,56.5,13.958507838918239,statline_mc,4.0308732332054635,30.75146975183323,0.0,0.0,0.0,2.51225,12.279693763615494,0.074,7.797,5.98125,55.837700045100064,0.20925,78.20943128282578,9.918550101459813
00-0033906,Alvin Kamara,RB,NO,5600,5562,12.2742,12.2742,1.0703884828836747,1.1227495908346972,14.750812557469413,GB,24.5,45.5,12.999777416723663,statline_mc,3.766945194246401,30.491057733242357,0.0,0.0,0.0,5.322,32.3072488075568,0.2015,6.0695,4.55425,39.68587676713734,0.22225,74.55345670942002,7.773147089966509
00-0031589,Brett Hundley,QB,GB,5100,1470,13.7999,13.7999,1.0946560534354517,0.9623567921440261,14.537525514749502,NO,21.0,45.5,9.230318433841095,statline_mc,4.53118103605463,27.180675589322977,34.37875,220.51023225438672,1.4905,0.237,1.0911622457403178,0.011,0.0,0.0,0.0,0.0,38.28042156989525,0.7694357768098816
00-0030506,Travis Kelce,TE,KC,6400,4582,14.443,14.443,1.0,1.0,14.442994874845649,OAK,0.0,0.0,12.309282969724503,statline_mc,3.7263264327262338,29.864259400670978,0.0,0.0,0.0,0.0,0.0,0.0,7.5795,5.36975,60.71994874845649,0.41925,58.91459891459891,1.9947258093050733
00-0031280,Derek Carr,QB,LV,6000,1441,14.4303,14.4303,1.0,1.0,14.430291888472485,BYE_OR_UNKNOWN,0.0,0.0,9.087390349564453,statline_mc,4.694608314464704,26.84297015137683,30.0585,202.91532417757173,1.54325,0.71825,2.6892892136961595,0.03175,0.0,0.0,0.0,0.0,30.369196948144314,0.4540659782737634
00-0032055,Devin Funchess,WR,CAR,6000,5381,14.7813,14.7813,0.9850148938527824,0.9623567921440261,14.011718926038826,CHI,21.0,39.5,13.35784565098048,statline_mc,3.4265396088055544,29.61627730189685,0.0,0.0,0.0,0.0,0.0,0.0,8.53075,5.23225,57.42468926038824,0.429,64.75902815830874,4.517386468884715
00-0032780,Jordan Howard,RB,CHI,6400,5447,18.9726,18.9726,0.8564573145044599,0.8477905073649754,13.7759423181713,CAR,18.5,39.5,13.834310610985286,statline_mc,2.16203676033021,31.559515923669963,0.0,0.0,0.0,24.33325,74.65595588281587,0.564,1.9045,1.403,7.383467298897096,0.034,60.07782386222754,2.9613135104816384
