position,ecr,exp_pts
RB,52.61,6.563
RB,52.62,6.563
RB,52.74,6.563
RB,52.77,6.563
RB,52.84,6.563
RB,52.86,6.563
RB,52.88,6.563
RB,52.94,6.563
RB,52.99,6.563
RB,53.06,6.563
RB,53.12,6.563
RB,53.15,6.563
RB,53.18,6.563
RB,53.19,6.563
RB,53.22,6.563
RB,53.27,6.563
RB,53.33,6.563
RB,53.4,6.563
RB,53.48,6.563
RB,53.51,6.563
RB,53.52,6.563
RB,53.55,6.563
RB,53.67,6.563
RB,53.7,6.563
RB,53.76,6.563
RB,53.79,6.563
RB,53.82,6.563
RB,53.85,6.563
RB,53.87,6.563
RB,53.95,6.563
RB,54.04,6.563
RB,54.06,6.563
RB,54.09,6.563
RB,54.1,6.563
RB,54.15,6.563
RB,54.16,6.563
RB,54.31,6.563
RB,54.34,6.563
RB,54.38,6.563
RB,54.42,6.563
RB,54.57,6.563
RB,54.61,6.563
RB,54.64,6.563
RB,54.65,6.563
RB,54.71,6.563
RB,54.76,6.563
RB,54.77,6.563
RB,54.79,6.563
RB,54.81,6.563
RB,54.9,6.563
RB,54.91,6.563
RB,54.95,6.563
RB,55.05,6.563
RB,55.06,6.563
RB,55.09,6.563
RB,55.1,6.563
RB,55.12,6.563
RB,55.2,6.563
RB,55.22,6.563
RB,55.23,6.563
RB,55.27,6.563
RB,55.38,6.563
RB,55.46,6.563
RB,55.6,6.563
RB,55.64,6.563
RB,55.65,6.563
RB,55.74,6.563
RB,55.75,6.563
RB,55.8,6.563
RB,55.86,6.563
RB,55.95,6.563
RB,55.97,6.563
RB,55.98,6.563
RB,56.03,6.563
RB,56.24,6.563
RB,56.27,6.563
RB,56.32,6.563
RB,56.38,6.563
RB,56.45,6.563
RB,56.47,6.563
RB,56.48,6.563
RB,56.5,5.7
RB,56.53,5.7
RB,56.55,5.311
RB,56.57,5.311
RB,56.58,5.311
RB,56.68,5.311
RB,56.7,5.311
RB,56.74,5.311
RB,56.79,5.311
RB,56.87,5.311
RB,56.89,5.311
RB,56.9,5.311
RB,56.94,5.311
RB,56.95,5.311
RB,56.97,5.311
RB,57.0,5.311
RB,57.07,5.311
RB,57.09,5.311
RB,57.14,5.311
RB,57.21,5.311
RB,57.31,5.311
RB,57.34,5.311
RB,57.54,5.311
RB,57.64,5.311
RB,57.68,5.311
RB,57.78,5.311
RB,57.81,5.311
RB,57.88,5.002
RB,57.9,5.002
RB,58.0,5.002
RB,58.14,5.002
RB,58.32,5.002
RB,58.39,5.002
RB,58.41,5.002
RB,58.46,5.002
RB,58.49,5.002
RB,58.56,5.002
RB,58.79,5.002
RB,58.83,5.002
RB,58.84,5.002
RB,58.91,5.002
RB,58.98,5.002
RB,59.0,5.002
RB,59.07,5.002
RB,59.09,5.002
RB,59.1,5.002
RB,59.29,5.002
RB,59.38,5.002
RB,59.39,5.002
RB,59.4,5.002
RB,59.42,5.002
