player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,estimated_ownership_pct_heuristic,roster_role,slate_format,ownership_available,act,slate_id,week,sub,S
00-0038128,Malik Willis,QB,MIA,5300,43727248,17.8202,17.8202,0.9867215125929134,0.8341112371459919,14.666665155992334,LV,18.69,40.39,4.0,1.0,7.8924,statline_mc+recal_10_4b,4.1958336074537375,27.577828853930363,30.74375,238.41356072979403,1.37525,3.4945,13.183044672142676,0.13275,0.0,0.0,0.0,0.0,17.021096896406025,-2.354431740413691,13.0,,58.774709485916375,0.4897899641515412,0.9260243517264124,,classic,True,17.7,dk_classic_wk1_main_13Sep2026,1,main,17.15234689640603
00-0039361,Bucky Irving,RB,TB,5700,43727359,10.7698,10.7698,1.2885323619611362,1.043866336909831,14.485959268475003,CIN,23.39,50.44,10.0,1.0,9.181,statline_mc+recal_10_4b,1.2739335930013045,33.67052028751741,0.0,0.0,0.0,15.97975,78.69519300541246,0.341,2.698,2.16425,25.66289674593469,0.15225,16.377308975134714,-1.8913497066597085,14.3,9.5,86.57696424438787,15.491816279288145,13.140111018036707,,classic,True,21.3,dk_classic_wk1_main_13Sep2026,1,main,13.395308975134716
00-0036554,Nico Collins,WR,HOU,7000,43727637,17.0156,17.0156,0.8598995844089445,0.9679974710378044,14.163470693603037,BUF,21.69,44.5,15.0,1.0,7.5531,statline_mc+recal_10_4b,6.966739602617886,25.0390038322437,0.0,0.0,0.0,0.07825,0.329846143407175,0.002,5.66275,3.3835,41.67151649117352,0.23475,9.28038626345807,4.883084430144967,15.1,,75.01424940002526,1.157612880929055,4.449546882504645,,classic,True,21.2,dk_classic_wk1_main_13Sep2026,1,main,5.620636263458069
00-0035228,Kyler Murray,QB,MIN,5500,43727246,14.3828,14.3828,0.9209785667893484,1.0635029845472972,14.087411268167608,GB,23.83,46.06,5.0,1.0,7.7718,statline_mc+recal_10_4b,4.98807224195016,25.047487527358072,31.57875,191.32537203552693,1.24775,3.4455,16.08938277463486,0.132,0.0,0.0,0.0,0.0,14.509703158884564,-0.4222918907169575,16.4,,74.59099090564608,0.709446549927042,2.865891984778393,,classic,True,0.62,dk_classic_wk1_main_13Sep2026,1,main,15.044953158884562
00-0039040,De'Von Achane,RB,MIA,7000,43727335,16.1242,16.1242,1.0448500756652517,0.8341112371459919,14.052617110996673,LV,18.69,40.39,16.0,1.0,7.6411,statline_mc+recal_10_4b,5.967088280353335,25.407618320448464,0.0,0.0,0.0,8.4795,40.374811347130645,0.23325,3.13625,2.439,16.186419480953447,0.099,10.382373082808408,3.670244028188265,20.9,17.2,63.75110892540307,7.797255088977071,1.6496971170048256,,classic,True,10.6,dk_classic_wk1_main_13Sep2026,1,main,7.64962308280841
00-0036912,DeVonta Smith,WR,PHI,6600,43727641,11.0716,11.0716,1.1341729570755004,1.1170574781040223,14.026996872768503,WAS,25.03,44.17,17.0,1.0,8.7128,statline_mc+recal_10_4b,3.720179638842599,30.037070318662263,0.0,0.0,0.0,0.0,0.0,0.0,5.868,3.91,64.90740610345362,0.3155,12.828740610345363,1.19825626242314,12.4,6.3,83.27373057976504,10.446613239508348,7.233001541154676,,classic,True,8.3,dk_classic_wk1_main_13Sep2026,1,main,8.383740610345363
00-0040126,Colston Loveland,TE,CHI,5300,43728219,12.1941,12.1941,1.0311460945818591,1.1130408910872678,13.99528075489552,CAR,24.94,46.94,16.0,1.0,7.6525,statline_mc+recal_10_4b,2.90383380904402,30.525048346926084,0.0,0.0,0.0,0.0,0.0,0.0,6.85,4.7255,64.79879972851641,0.4965,14.741629972851642,-0.7463492179561211,11.4,5.6,89.57436835827369,10.99985709870632,6.316981941158514,,classic,True,0.0,dk_classic_wk1_main_13Sep2026,1,main,9.45887997285164
00-0038117,Wan'Dale Robinson,WR,TEN,4800,43727699,15.7303,15.7303,0.986046222708545,0.8952526172899195,13.88606327514852,NYJ,20.06,39.22,16.0,0.8,8.1791,statline_mc+recal_10_4b,4.653875072701952,27.52479903827259,0.0,0.0,0.0,0.26175,1.2968698904102167,0.00875,8.0565,5.23425,53.21154445286816,0.26925,12.77984143432784,1.106221840820682,14.2,,58.01517857142857,6.347001225347713,1.6369862911479556,,classic,True,8.8,dk_classic_wk1_main_13Sep2026,1,main,7.1188414343278374
00-0035261,Tony Pollard,RB,TEN,5600,43727361,12.1326,12.1326,1.2741224839629843,0.8952526172899195,13.839173380851,NYJ,20.06,39.22,17.0,1.0,9.1683,statline_mc+recal_10_4b,1.272923671322753,32.2458522645303,0.0,0.0,0.0,17.05975,83.87959071699774,0.4495,2.31875,1.81725,14.552204482149218,0.05975,15.460429519914694,-1.6212561390636928,11.6,,65.19801550566999,2.816874880587701,1.8816116447521796,,classic,True,4.4,dk_classic_wk1_main_13Sep2026,1,main,12.898679519914698
00-0037238,Drake London,WR,ATL,6500,43727643,15.7362,15.7362,1.1448763082039513,0.7662755453074735,13.80518984502154,PIT,17.17,40.78,12.0,1.0,8.0637,statline_mc+recal_10_4b,5.125181513582504,26.98571563880408,0.0,0.0,0.0,0.0,0.0,0.0,6.6165,4.03775,48.06398429808939,0.31525,11.114398429808938,2.690791415212603,18.2,9.8,66.73680845017051,11.149986559395312,2.734350623444527,,classic,True,5.5,dk_classic_wk1_main_13Sep2026,1,main,6.697898429808939
00-0035640,DK Metcalf,WR,PIT,5400,43727675,11.6055,11.6055,1.092697471452753,1.0536846607285644,13.362039381151543,ATL,23.61,40.78,15.0,1.0,9.3471,statline_mc+recal_10_4b,0.7926151739078522,32.5154915553881,0.0,0.0,0.0,0.15625,1.1262834356944906,0.00875,8.064,4.83975,78.05250168503387,0.50475,16.511128512072837,-3.149089130921292,12.5,,78.77230169256032,4.47891221637318,5.550367636627746,,classic,True,8.0,dk_classic_wk1_main_13Sep2026,1,main,10.998878512072837
00-0036264,Jordan Love,QB,GB,5700,43727244,19.5143,19.5143,0.6821101248466479,0.9916507056920244,13.199775538265577,MIN,22.22,46.06,15.0,1.0,7.5665,statline_mc+recal_10_4b,5.74966561380792,22.526820875480965,31.02425,161.69344676820094,1.08675,2.5875,7.366167809110482,0.0505,0.0,0.0,0.0,0.0,11.301854651639088,1.8979208866264887,17.6,,68.71171213843628,0.6624697782029638,1.883122224140136,,classic,True,24.48,dk_classic_wk1_main_13Sep2026,1,main,11.854354651639087
00-0037740,Garrett Wilson,WR,NYJ,5800,43727661,13.2841,13.2841,1.156153053142855,0.8555330345686819,13.13968755687483,TEN,19.17,39.22,7.0,1.0,7.598,statline_mc+recal_10_4b,6.084184575013033,22.81241742784556,0.0,0.0,0.0,0.0,0.0,0.0,5.27,3.211,38.01182645210289,0.2825,8.94668264521029,4.19300491166454,14.2,36.8,66.52701465201466,19.25478942763131,2.700813878349804,,classic,True,13.9,dk_classic_wk1_main_13Sep2026,1,main,5.496182645210289
