player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,estimated_ownership_pct_heuristic,roster_role,slate_format,ownership_available
00-0040277,Jahdae Walker,WR,CHI,3400,44157561,3.7931,3.7931,1.158878504672897,1.1660064279841542,5.125482843639459,MIN,26.0,47.5,1.0,1.0,6.3755,statline_mc+recal_10_4b,0.820849477178454,11.189081500925093,0.0,0.0,0.0,0.051,0.36412458525426256,0.00225,2.03125,1.27475,19.954709079355784,0.15125,4.304633366461005,0.820849477178454,7.1,,71.75759803921568,0.6399212728634692,4.390668244215553,,classic,True
00-0033858,Jonnu Smith,TE,GB,2900,44157795,5.1418,5.1418,0.9274004683840747,1.0686897376485536,5.0960874220713235,NYJ,23.83,44.39,1.0,1.0,5.4344,statline_mc+recal_10_4b,0.8784484280236216,10.873845996640476,0.0,0.0,0.0,0.0,0.0,0.0,2.3195,1.545,18.246389940477023,0.1335,4.217638994047702,0.8784484280236216,7.0,,70.78984819734345,0.6283823207659242,2.3723102942545533,,classic,True
00-0032398,Chris Moore,WR,BAL,3300,44157571,3.983,3.983,1.0418529053230394,1.2171313252111517,5.050792811231487,NO,27.14,45.67,1.0,1.0,6.7888,statline_mc+recal_10_4b,0.0,13.139045790223534,0.0,0.0,0.0,0.0535,0.3613017334917942,0.0015,2.55325,1.559,28.384014680275385,0.1605,5.580531641376718,-0.5297388301452308,6.3,,70.72573529411764,0.6047239434356328,4.132091216350342,,classic,True
00-0039739,Roman Wilson,WR,PIT,3200,44157579,6.0907,6.0907,1.0151970743600165,0.8108229314597502,5.013556418913478,NE,18.08,41.5,1.0,1.0,6.4287,statline_mc+recal_10_4b,0.17485125574432714,11.652914466794128,0.0,0.0,0.0,0.044,0.25210852933934386,0.001,4.02775,2.403,24.203082294417726,0.15875,5.902769082375707,-0.8892126634622297,5.6,,45.67009803921568,0.418289705375542,0.9464119038282622,,classic,True
00-0039342,Xavier Legette,WR,CAR,3400,44157565,5.1122,5.1122,0.945631856968712,1.0314672247552132,4.9864228404446385,ATL,23.0,43.5,1.0,1.0,5.8576,statline_mc+recal_10_4b,1.0753669149097331,10.398918406091102,0.0,0.0,0.0,0.052,0.23822480722729814,0.00175,2.41825,1.42175,17.679834448121756,0.104,3.9110559255349053,1.0753669149097331,0.0,,55.70906862745098,0.32671346199166057,1.7082172678429302,,classic,True
00-0035249,Josh Oliver,TE,MIN,2500,44157809,5.2374,5.2374,0.9828571428571428,0.9641976231407429,4.963274881274672,CHI,21.5,47.5,1.0,1.0,5.5235,statline_mc+recal_10_4b,0.5486716764337704,10.913631769602969,0.0,0.0,0.0,0.0,0.0,0.0,2.888,1.8625,18.604596008670025,0.14175,4.6232096008670025,0.3400652804076696,4.2,,69.00478336495888,0.5187771426698947,2.1358409876936655,,classic,True
00-0035208,Olamide Zaccheaus,WR,ATL,3200,44157577,5.0204,5.0204,1.061357171881349,0.9193512220644292,4.898741258431215,CAR,20.5,43.5,1.0,1.0,5.5068,statline_mc+recal_10_4b,1.6957917620121221,9.800776599721502,0.0,0.0,0.0,0.05075,0.24719094198521208,0.00225,1.88275,1.1705,14.299804022205718,0.088,3.202949496419093,1.6957917620121221,1.5,,50.62279411764706,0.3378195793387685,1.26650061373346,,classic,True
00-0037005,Tommy Tremble,TE,CAR,2600,44157805,4.3332,4.3332,1.0907728337236535,1.0314672247552132,4.875277433419225,ATL,23.0,43.5,1.0,1.0,6.0221,statline_mc+recal_10_4b,0.0,12.334652015337486,0.0,0.0,0.0,0.0,0.0,0.0,3.357,2.20575,26.73711935665491,0.2025,6.208711935665491,-1.3334345022462664,5.5,,64.4155202403542,0.5368521200518215,1.630527887866135,,classic,True
00-0040556,Corey Kiner,RB,NE,4200,44157361,4.1919,4.1919,1.09619265437912,1.050302713207265,4.826314489445966,PIT,23.42,41.5,1.0,1.0,6.2449,statline_mc+recal_10_4b,0.5848349160068175,11.221298453189412,0.0,0.0,0.0,5.0025,22.175860475172826,0.16125,0.834,0.628,5.701880470661715,0.02625,4.607274094583454,0.21904039486251214,1.1,,51.559569479965894,0.23068493074311325,0.7788654465738695,,classic,True
00-0040466,Raheim Sanders,RB,CLE,4000,44157447,6.1851,6.1851,1.0307547423651289,0.7435533298452798,4.740384144326087,TB,16.58,41.5,1.0,1.0,5.6912,statline_mc+recal_10_4b,1.0277733037786478,9.797328139327378,0.0,0.0,0.0,2.2545,7.223991456178292,0.051,2.38475,1.82875,10.777865741137804,0.05125,4.254435719731609,0.4859484245944774,5.6,,43.98071184995737,0.2538331629027221,0.3910561859886911,,classic,True
