player_id,player_name,position,team,salary,site_player_id,season_avg,recent_form,matchup_factor,vegas_factor,final_projection,opponent,implied_total,over_under,games_played,participation_effective,sigma,sigma_source,statline_p10,statline_p90,proj_pass_att,proj_pass_yd,proj_pass_td,proj_rush_att,proj_rush_yd,proj_rush_td,proj_targets,proj_rec,proj_rec_yd,proj_rec_td,engine_projection,stack_delta,dk_avg_ppg,ffc_own_pct,chalk_score,estimated_ownership_pct,estimated_ownership_pct_heuristic,roster_role,slate_format,ownership_available,act,slate_id,week,sub,eng,tier,pw
00-0038128,Malik Willis,QB,MIA,5300,43727248,17.7165,17.7165,1.0,0.8341112371459919,14.777506342511792,LV,18.69,40.39,4.0,1.0,7.9036,statline_mc+recal_10_4b,4.177030323080082,27.81272143251193,30.74375,241.6219345449247,1.39175,3.4945,13.360451255897098,0.13375,0.0,0.0,0.0,0.0,17.2714225073867,-2.493916164874907,13.0,,57.62086333207022,0.8950116136523344,0.8523565612544717,,classic,True,17.7,dk_classic_wk1_main_13Sep2026,1,main,17.2714225073867,5-6k,00-0038128_1
00-0035228,Kyler Murray,QB,MIN,5500,43727246,13.8448,13.8448,1.0,1.0635029845472972,14.724003375672275,GB,23.83,46.06,5.0,1.0,7.852,statline_mc+recal_10_4b,4.887366646194679,26.62404898577492,31.57875,207.7413947889278,1.35675,3.4455,17.469877535505038,0.14575,0.0,0.0,0.0,0.0,15.947393545107618,-1.2233901694353424,16.4,,74.20637552103068,1.3071049522653009,2.786897866667413,,classic,True,0.62,dk_classic_wk1_main_13Sep2026,1,main,15.947393545107618,5-6k,00-0035228_1
00-0039150,Bryce Young,QB,CAR,5200,43727251,14.7961,14.7961,1.0,0.9818323818732916,14.527241938800104,CHI,22.0,46.94,16.0,1.0,7.9984,statline_mc+recal_10_4b,3.41238643814616,28.150821145309173,33.33475,208.004073052498,1.52325,5.14675,21.36906700039152,0.21075,0.0,0.0,0.0,0.0,17.30781962213907,-2.780577683338967,15.4,9.8,70.45065207780725,4.145821726444832,2.1311529860339533,,classic,True,35.44,dk_classic_wk1_main_13Sep2026,1,main,17.30781962213907,5-6k,00-0039150_1
00-0039163,C.J. Stroud,QB,HOU,5200,43727250,14.9535,14.9535,1.0,0.9679974710378044,14.474969976299118,BUF,21.69,44.5,14.0,1.0,7.9555,statline_mc+recal_10_4b,3.6671335350497047,28.13888897131179,33.34125,233.3059943965364,1.48125,3.381,14.455279617651687,0.1185,0.0,0.0,0.0,0.0,17.18976773762662,-2.714797761327503,15.0,,65.4538098395857,1.379178860413049,1.4914455814695935,,classic,True,18.46,dk_classic_wk1_main_13Sep2026,1,main,17.18976773762662,5-6k,00-0039163_1
00-0036554,Nico Collins,WR,HOU,7000,43727637,14.8926,14.8926,1.0,0.9679974710378044,14.416029055129354,BUF,21.69,44.5,15.0,1.0,7.9292,statline_mc+recal_10_4b,6.337519269464485,27.134795015797287,0.0,0.0,0.0,0.07825,0.3835868157023198,0.002,5.66275,3.3835,48.46091014198665,0.2695,10.250449695768896,4.165579359360457,15.1,,75.52706991284577,1.176766456271626,4.575847313617883,,classic,True,21.2,dk_classic_wk1_main_13Sep2026,1,main,10.250449695768896,6-7.5k,00-0036554_1
00-0039040,De'Von Achane,RB,MIA,7000,43727335,16.7098,16.7098,1.0,0.8341112371459919,13.937848960208434,LV,18.69,40.39,16.0,1.0,7.537,statline_mc+recal_10_4b,6.150945915533812,24.77962376540549,0.0,0.0,0.0,8.4795,38.64172696874637,0.2235,3.13625,2.439,15.491619188186036,0.09425,10.028584615693244,3.909264344515192,20.9,17.2,63.85178006634266,6.486986553268423,1.661617794184943,,classic,True,10.6,dk_classic_wk1_main_13Sep2026,1,main,10.028584615693244,6-7.5k,00-0039040_1
00-0040126,Colston Loveland,TE,CHI,5300,43728219,12.5108,12.5108,1.0,1.1130408910872678,13.92508496816853,CAR,24.94,46.94,16.0,1.0,7.5802,statline_mc+recal_10_4b,3.1021466995232747,30.057487012588027,0.0,0.0,0.0,0.0,0.0,0.0,6.85,4.7255,62.84153144641743,0.47925,14.422903144641744,-0.4978181764732134,11.4,5.6,89.77688408154413,10.27223851274333,6.415798862805962,,classic,True,0.0,dk_classic_wk1_main_13Sep2026,1,main,14.422903144641744,5-6k,00-0040126_1
00-0038117,Wan'Dale Robinson,WR,TEN,4800,43727699,15.5413,15.5413,1.0,0.8952526172899195,13.913370642832264,NYJ,20.06,39.22,16.0,0.8,8.2125,statline_mc+recal_10_4b,4.589543444321661,27.639585412203463,0.0,0.0,0.0,0.26175,1.3152222081921048,0.00875,8.0565,5.23425,53.96455381848401,0.27275,12.884727602667612,1.028643040164653,14.2,,58.06298076923077,6.249790755554619,1.638027092615487,,classic,True,8.8,dk_classic_wk1_main_13Sep2026,1,main,12.884727602667612,4-5k,00-0038117_1
00-0036912,DeVonta Smith,WR,PHI,6600,43727641,12.3031,12.3031,1.0,1.1170574781040223,13.743315233916402,WAS,25.03,44.17,17.0,1.0,8.3587,statline_mc+recal_10_4b,4.418330681455714,28.278935076491457,0.0,0.0,0.0,0.0,0.0,0.0,5.868,3.91,57.22884300717182,0.275,11.73913430071718,2.004180933199221,12.4,6.3,82.70596501199948,10.475805056839302,6.980215803830316,,classic,True,8.3,dk_classic_wk1_main_13Sep2026,1,main,11.73913430071718,6-7.5k,00-0036912_1
00-0037238,Drake London,WR,ATL,6500,43727643,17.7018,17.7018,1.0,0.7662755453074735,13.56443753077974,PIT,17.17,40.78,12.0,1.0,7.7262,statline_mc+recal_10_4b,5.736083304176227,25.28784602958246,0.0,0.0,0.0,0.0,0.0,0.0,6.6165,4.03775,41.98181406469208,0.27625,10.189681406469209,3.3747561243105317,18.2,9.8,66.60860332196538,10.329030511092691,2.7079075230405114,,classic,True,5.5,dk_classic_wk1_main_13Sep2026,1,main,10.189681406469209,6-7.5k,00-0037238_1
